2020-05-30 21:11:54.057+0000 INFO  Assigned admin role to user 'neo4j'.
2020-05-30 21:11:57.908+0000 INFO  [neo4j]: logged in
2020-05-30 21:11:58.271+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:05.934+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:07.386+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:07.446+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:07.470+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:07.490+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:07.534+0000 INFO  [neo4j]: logged in
2020-05-30 21:12:07.550+0000 INFO  [neo4j]: logged in
2020-05-30 21:28:36.745+0000 INFO  [neo4j]: logged in
