t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,40,6.676830,0.000000,0.000000,0.000000,events/second
1590873123,4036,448.463390,0.000000,0.000000,0.000000,events/second
1590873126,4272,356.778452,0.000000,0.000000,0.000000,events/second
1590873129,7116,475.286892,0.000000,0.000000,0.000000,events/second
1590873132,7444,413.941517,0.000000,0.000000,0.000000,events/second
1590873135,7444,354.874527,0.000000,0.000000,0.000000,events/second
1590873138,7826,326.291358,0.000000,0.000000,0.000000,events/second
1590873141,7870,291.647008,0.000000,0.000000,0.000000,events/second
1590873144,7922,264.226166,0.000000,0.000000,0.000000,events/second
1590873147,8034,243.690178,0.000000,0.000000,0.000000,events/second
1590873150,8058,223.987513,0.000000,0.000000,0.000000,events/second
1590873153,8058,206.742711,0.000000,0.000000,0.000000,events/second
1590873156,8058,191.939156,0.000000,0.000000,0.000000,events/second
1590873159,8142,181.035360,0.000000,0.000000,0.000000,events/second
1590873162,8146,169.780370,0.000000,0.000000,0.000000,events/second
1590873165,8178,160.400264,0.000000,0.000000,0.000000,events/second
1590873168,8409,155.778691,0.000000,0.000000,0.000000,events/second
1590873171,8501,149.203527,0.000000,0.000000,0.000000,events/second
1590873174,8561,142.748460,0.000000,0.000000,0.000000,events/second
1590873177,8589,136.385103,0.000000,0.000000,0.000000,events/second
1590873180,8773,132.964597,0.000000,0.000000,0.000000,events/second
1590873183,8773,127.187904,0.000000,0.000000,0.000000,events/second
1590873186,8773,121.884586,0.000000,0.000000,0.000000,events/second
1590873189,8909,118.821058,0.000000,0.000000,0.000000,events/second
1590873192,8985,115.220700,0.000000,0.000000,0.000000,events/second
1590873195,8985,110.947272,0.000000,0.000000,0.000000,events/second
1590873198,8985,107.002569,0.000000,0.000000,0.000000,events/second
1590873201,8985,103.300253,0.000000,0.000000,0.000000,events/second
1590873204,8985,99.857980,0.000000,0.000000,0.000000,events/second
1590873207,9109,97.962285,0.000000,0.000000,0.000000,events/second
1590873210,9109,94.902785,0.000000,0.000000,0.000000,events/second
1590873213,9109,92.029848,0.000000,0.000000,0.000000,events/second
1590873216,9109,89.322302,0.000000,0.000000,0.000000,events/second
1590873219,9109,86.772297,0.000000,0.000000,0.000000,events/second
1590873222,9109,84.310993,0.000000,0.000000,0.000000,events/second
1590873225,9109,82.080322,0.000000,0.000000,0.000000,events/second
1590873228,9533,83.641216,0.000000,0.000000,0.000000,events/second
1590873231,9533,81.489317,0.000000,0.000000,0.000000,events/second
1590873234,9533,79.463096,0.000000,0.000000,0.000000,events/second
1590873237,9533,77.514532,0.000000,0.000000,0.000000,events/second
1590873240,9533,75.673677,0.000000,0.000000,0.000000,events/second
1590873243,9533,73.910311,0.000000,0.000000,0.000000,events/second
1590873246,9533,72.229997,0.000000,0.000000,0.000000,events/second
1590873249,9629,71.335699,0.000000,0.000000,0.000000,events/second
1590873252,9629,69.785344,0.000000,0.000000,0.000000,events/second
1590873255,9629,68.300180,0.000000,0.000000,0.000000,events/second
1590873258,9629,66.875431,0.000000,0.000000,0.000000,events/second
1590873261,9629,65.515938,0.000000,0.000000,0.000000,events/second
1590873264,9629,64.202275,0.000000,0.000000,0.000000,events/second
1590873267,9701,63.412203,0.000000,0.000000,0.000000,events/second
1590873270,9701,62.195695,0.000000,0.000000,0.000000,events/second
1590873273,9701,61.021265,0.000000,0.000000,0.000000,events/second
1590873276,9701,59.891310,0.000000,0.000000,0.000000,events/second
1590873279,9721,58.923387,0.000000,0.000000,0.000000,events/second
1590873282,9721,57.872294,0.000000,0.000000,0.000000,events/second
1590873285,9773,57.160552,0.000000,0.000000,0.000000,events/second
1590873288,9897,56.886874,0.000000,0.000000,0.000000,events/second
1590873291,9925,56.081254,0.000000,0.000000,0.000000,events/second
1590873294,9953,55.301309,0.000000,0.000000,0.000000,events/second
1590873297,9953,54.396036,0.000000,0.000000,0.000000,events/second
1590873300,9973,53.625416,0.000000,0.000000,0.000000,events/second
1590873303,9993,52.880312,0.000000,0.000000,0.000000,events/second
1590873306,10077,52.491322,0.000000,0.000000,0.000000,events/second
1590873309,10169,52.155756,0.000000,0.000000,0.000000,events/second
1590873312,10257,51.810086,0.000000,0.000000,0.000000,events/second
1590873315,10257,51.036175,0.000000,0.000000,0.000000,events/second
1590873318,10257,50.285479,0.000000,0.000000,0.000000,events/second
1590873321,10641,51.398576,0.000000,0.000000,0.000000,events/second
1590873324,10661,50.772334,0.000000,0.000000,0.000000,events/second
1590873327,10829,50.832113,0.000000,0.000000,0.000000,events/second
1590873330,10829,50.140416,0.000000,0.000000,0.000000,events/second
1590873333,10849,49.544321,0.000000,0.000000,0.000000,events/second
1590873336,10849,48.874338,0.000000,0.000000,0.000000,events/second
1590873339,10849,48.223035,0.000000,0.000000,0.000000,events/second
1590873342,10849,47.588654,0.000000,0.000000,0.000000,events/second
1590873345,10849,46.970336,0.000000,0.000000,0.000000,events/second
1590873348,10897,46.572821,0.000000,0.000000,0.000000,events/second
1590873351,10897,45.983608,0.000000,0.000000,0.000000,events/second
1590873354,10897,45.408672,0.000000,0.000000,0.000000,events/second
1590873357,10897,44.848175,0.000000,0.000000,0.000000,events/second
1590873360,10897,44.299501,0.000000,0.000000,0.000000,events/second
1590873363,10897,43.767197,0.000000,0.000000,0.000000,events/second
1590873366,10897,43.246572,0.000000,0.000000,0.000000,events/second
1590873369,10973,43.034942,0.000000,0.000000,0.000000,events/second
1590873372,10973,42.534935,0.000000,0.000000,0.000000,events/second
1590873375,10973,42.046413,0.000000,0.000000,0.000000,events/second
1590873378,10973,41.561445,0.000000,0.000000,0.000000,events/second
1590873381,11141,41.730415,0.000000,0.000000,0.000000,events/second
1590873384,11141,41.267631,0.000000,0.000000,0.000000,events/second
1590873387,11197,41.018116,0.000000,0.000000,0.000000,events/second
1590873390,11253,40.775608,0.000000,0.000000,0.000000,events/second
1590873393,11277,40.423141,0.000000,0.000000,0.000000,events/second
1590873396,11317,40.133934,0.000000,0.000000,0.000000,events/second
1590873399,11341,39.796115,0.000000,0.000000,0.000000,events/second
1590873402,11341,39.381488,0.000000,0.000000,0.000000,events/second
1590873405,11341,38.975799,0.000000,0.000000,0.000000,events/second
