t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,8,1.335246,0.000000,0.000000,0.000000,events/second
1590873123,3680,408.881983,0.000000,0.000000,0.000000,events/second
1590873126,3916,327.033059,0.000000,0.000000,0.000000,events/second
1590873129,6788,453.364414,0.000000,0.000000,0.000000,events/second
1590873132,7076,393.460506,0.000000,0.000000,0.000000,events/second
1590873135,7076,337.318257,0.000000,0.000000,0.000000,events/second
1590873138,7378,307.605385,0.000000,0.000000,0.000000,events/second
1590873141,7406,274.439038,0.000000,0.000000,0.000000,events/second
1590873144,7442,248.212809,0.000000,0.000000,0.000000,events/second
1590873147,7518,228.036668,0.000000,0.000000,0.000000,events/second
1590873150,7542,209.641958,0.000000,0.000000,0.000000,events/second
1590873153,7542,193.501748,0.000000,0.000000,0.000000,events/second
1590873156,7542,179.645971,0.000000,0.000000,0.000000,events/second
1590873159,7570,168.315604,0.000000,0.000000,0.000000,events/second
1590873162,7574,157.857270,0.000000,0.000000,0.000000,events/second
1590873165,7606,149.179991,0.000000,0.000000,0.000000,events/second
1590873168,7738,143.345382,0.000000,0.000000,0.000000,events/second
1590873171,7786,136.653314,0.000000,0.000000,0.000000,events/second
1590873174,7850,130.892368,0.000000,0.000000,0.000000,events/second
1590873177,7878,125.094230,0.000000,0.000000,0.000000,events/second
1590873180,7942,120.369041,0.000000,0.000000,0.000000,events/second
1590873183,7942,115.139502,0.000000,0.000000,0.000000,events/second
1590873186,7942,110.338523,0.000000,0.000000,0.000000,events/second
1590873189,8042,107.257021,0.000000,0.000000,0.000000,events/second
1590873192,8082,103.640351,0.000000,0.000000,0.000000,events/second
1590873195,8082,99.796337,0.000000,0.000000,0.000000,events/second
1590873198,8082,96.248352,0.000000,0.000000,0.000000,events/second
1590873201,8082,92.917970,0.000000,0.000000,0.000000,events/second
1590873204,8082,89.821570,0.000000,0.000000,0.000000,events/second
1590873207,8174,87.906585,0.000000,0.000000,0.000000,events/second
1590873210,8174,85.160614,0.000000,0.000000,0.000000,events/second
1590873213,8174,82.583029,0.000000,0.000000,0.000000,events/second
1590873216,8174,80.153378,0.000000,0.000000,0.000000,events/second
1590873219,8174,77.865168,0.000000,0.000000,0.000000,events/second
1590873222,8174,75.656491,0.000000,0.000000,0.000000,events/second
1590873225,8174,73.654850,0.000000,0.000000,0.000000,events/second
1590873228,8506,74.630192,0.000000,0.000000,0.000000,events/second
1590873231,8506,72.710064,0.000000,0.000000,0.000000,events/second
1590873234,8506,70.902283,0.000000,0.000000,0.000000,events/second
1590873237,8506,69.163503,0.000000,0.000000,0.000000,events/second
1590873240,8506,67.521055,0.000000,0.000000,0.000000,events/second
1590873243,8506,65.947658,0.000000,0.000000,0.000000,events/second
1590873246,8506,64.448380,0.000000,0.000000,0.000000,events/second
1590873249,8542,63.282551,0.000000,0.000000,0.000000,events/second
1590873252,8542,61.907156,0.000000,0.000000,0.000000,events/second
1590873255,8542,60.589622,0.000000,0.000000,0.000000,events/second
1590873258,8542,59.325819,0.000000,0.000000,0.000000,events/second
1590873261,8542,58.119793,0.000000,0.000000,0.000000,events/second
1590873264,8542,56.954434,0.000000,0.000000,0.000000,events/second
1590873267,8590,56.149821,0.000000,0.000000,0.000000,events/second
1590873270,8590,55.072629,0.000000,0.000000,0.000000,events/second
1590873273,8590,54.032714,0.000000,0.000000,0.000000,events/second
1590873276,8590,53.032166,0.000000,0.000000,0.000000,events/second
1590873279,8610,52.188987,0.000000,0.000000,0.000000,events/second
1590873282,8610,51.258025,0.000000,0.000000,0.000000,events/second
1590873285,8666,50.685785,0.000000,0.000000,0.000000,events/second
1590873288,8746,50.270936,0.000000,0.000000,0.000000,events/second
1590873291,8774,49.577412,0.000000,0.000000,0.000000,events/second
