t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,1,0.166725,0.000000,0.000000,0.000000,events/second
1590873123,2,0.222059,0.000000,0.000000,0.000000,events/second
1590873126,3,0.250401,0.000000,0.000000,0.000000,events/second
1590873129,13,0.867885,0.000000,0.000000,0.000000,events/second
1590873132,15,0.833769,0.000000,0.000000,0.000000,events/second
1590873135,15,0.714822,0.000000,0.000000,0.000000,events/second
1590873138,16,0.666894,0.000000,0.000000,0.000000,events/second
1590873141,18,0.666848,0.000000,0.000000,0.000000,events/second
1590873144,18,0.599946,0.000000,0.000000,0.000000,events/second
1590873147,21,0.636852,0.000000,0.000000,0.000000,events/second
1590873150,21,0.583625,0.000000,0.000000,0.000000,events/second
1590873153,21,0.538699,0.000000,0.000000,0.000000,events/second
1590873156,21,0.500131,0.000000,0.000000,0.000000,events/second
1590873159,24,0.533553,0.000000,0.000000,0.000000,events/second
1590873162,24,0.500141,0.000000,0.000000,0.000000,events/second
1590873165,24,0.470664,0.000000,0.000000,0.000000,events/second
1590873168,28,0.518631,0.000000,0.000000,0.000000,events/second
1590873171,30,0.526475,0.000000,0.000000,0.000000,events/second
1590873174,30,0.500173,0.000000,0.000000,0.000000,events/second
1590873177,30,0.476319,0.000000,0.000000,0.000000,events/second
1590873180,33,0.500099,0.000000,0.000000,0.000000,events/second
1590873183,33,0.478374,0.000000,0.000000,0.000000,events/second
1590873186,33,0.458429,0.000000,0.000000,0.000000,events/second
1590873189,36,0.480095,0.000000,0.000000,0.000000,events/second
1590873192,39,0.500079,0.000000,0.000000,0.000000,events/second
1590873195,39,0.481532,0.000000,0.000000,0.000000,events/second
1590873198,39,0.464415,0.000000,0.000000,0.000000,events/second
1590873201,39,0.448345,0.000000,0.000000,0.000000,events/second
1590873204,39,0.433406,0.000000,0.000000,0.000000,events/second
1590873207,42,0.451655,0.000000,0.000000,0.000000,events/second
1590873210,42,0.437546,0.000000,0.000000,0.000000,events/second
1590873213,42,0.424304,0.000000,0.000000,0.000000,events/second
1590873216,42,0.411820,0.000000,0.000000,0.000000,events/second
1590873219,42,0.400065,0.000000,0.000000,0.000000,events/second
1590873222,42,0.388718,0.000000,0.000000,0.000000,events/second
1590873225,42,0.378434,0.000000,0.000000,0.000000,events/second
1590873228,45,0.394800,0.000000,0.000000,0.000000,events/second
1590873231,45,0.384642,0.000000,0.000000,0.000000,events/second
1590873234,45,0.375080,0.000000,0.000000,0.000000,events/second
1590873237,45,0.365882,0.000000,0.000000,0.000000,events/second
1590873240,45,0.357194,0.000000,0.000000,0.000000,events/second
1590873243,45,0.348871,0.000000,0.000000,0.000000,events/second
1590873246,45,0.340940,0.000000,0.000000,0.000000,events/second
1590873249,48,0.355586,0.000000,0.000000,0.000000,events/second
1590873252,48,0.347858,0.000000,0.000000,0.000000,events/second
1590873255,48,0.340455,0.000000,0.000000,0.000000,events/second
1590873258,48,0.333354,0.000000,0.000000,0.000000,events/second
1590873261,48,0.326578,0.000000,0.000000,0.000000,events/second
1590873264,48,0.320030,0.000000,0.000000,0.000000,events/second
1590873267,51,0.333355,0.000000,0.000000,0.000000,events/second
1590873270,51,0.326960,0.000000,0.000000,0.000000,events/second
1590873273,51,0.320787,0.000000,0.000000,0.000000,events/second
1590873276,51,0.314847,0.000000,0.000000,0.000000,events/second
1590873279,51,0.309121,0.000000,0.000000,0.000000,events/second
1590873282,51,0.303607,0.000000,0.000000,0.000000,events/second
1590873285,51,0.298278,0.000000,0.000000,0.000000,events/second
1590873288,54,0.310374,0.000000,0.000000,0.000000,events/second
1590873291,54,0.305115,0.000000,0.000000,0.000000,events/second
1590873294,54,0.300026,0.000000,0.000000,0.000000,events/second
1590873297,54,0.295115,0.000000,0.000000,0.000000,events/second
1590873300,54,0.290351,0.000000,0.000000,0.000000,events/second
1590873303,54,0.285743,0.000000,0.000000,0.000000,events/second
1590873306,54,0.281277,0.000000,0.000000,0.000000,events/second
1590873309,57,0.292337,0.000000,0.000000,0.000000,events/second
1590873312,57,0.287908,0.000000,0.000000,0.000000,events/second
1590873315,57,0.283608,0.000000,0.000000,0.000000,events/second
1590873318,57,0.279436,0.000000,0.000000,0.000000,events/second
1590873321,60,0.289805,0.000000,0.000000,0.000000,events/second
1590873324,60,0.285737,0.000000,0.000000,0.000000,events/second
1590873327,63,0.295717,0.000000,0.000000,0.000000,events/second
1590873330,63,0.291693,0.000000,0.000000,0.000000,events/second
1590873333,63,0.287694,0.000000,0.000000,0.000000,events/second
1590873336,63,0.283804,0.000000,0.000000,0.000000,events/second
1590873339,63,0.280022,0.000000,0.000000,0.000000,events/second
1590873342,63,0.276338,0.000000,0.000000,0.000000,events/second
1590873345,63,0.272748,0.000000,0.000000,0.000000,events/second
1590873348,66,0.282069,0.000000,0.000000,0.000000,events/second
1590873351,66,0.278501,0.000000,0.000000,0.000000,events/second
1590873354,66,0.275020,0.000000,0.000000,0.000000,events/second
1590873357,66,0.271625,0.000000,0.000000,0.000000,events/second
1590873360,66,0.268302,0.000000,0.000000,0.000000,events/second
1590873363,66,0.265078,0.000000,0.000000,0.000000,events/second
1590873366,66,0.261925,0.000000,0.000000,0.000000,events/second
1590873369,69,0.270603,0.000000,0.000000,0.000000,events/second
1590873372,69,0.267459,0.000000,0.000000,0.000000,events/second
1590873375,69,0.264388,0.000000,0.000000,0.000000,events/second
1590873378,69,0.261338,0.000000,0.000000,0.000000,events/second
1590873381,72,0.269680,0.000000,0.000000,0.000000,events/second
1590873384,72,0.266690,0.000000,0.000000,0.000000,events/second
1590873387,73,0.267415,0.000000,0.000000,0.000000,events/second
1590873390,75,0.271758,0.000000,0.000000,0.000000,events/second
1590873393,75,0.268836,0.000000,0.000000,0.000000,events/second
1590873396,75,0.265969,0.000000,0.000000,0.000000,events/second
1590873399,75,0.263172,0.000000,0.000000,0.000000,events/second
1590873402,75,0.260430,0.000000,0.000000,0.000000,events/second
1590873405,75,0.257748,0.000000,0.000000,0.000000,events/second
1590873408,78,0.265321,0.000000,0.000000,0.000000,events/second
1590873411,78,0.262644,0.000000,0.000000,0.000000,events/second
1590873414,78,0.260015,0.000000,0.000000,0.000000,events/second
1590873417,78,0.257441,0.000000,0.000000,0.000000,events/second
1590873420,78,0.254913,0.000000,0.000000,0.000000,events/second
1590873423,78,0.252441,0.000000,0.000000,0.000000,events/second
1590873426,78,0.250019,0.000000,0.000000,0.000000,events/second
1590873429,81,0.257159,0.000000,0.000000,0.000000,events/second
1590873432,81,0.254731,0.000000,0.000000,0.000000,events/second
1590873435,81,0.252353,0.000000,0.000000,0.000000,events/second
1590873438,81,0.250015,0.000000,0.000000,0.000000,events/second
1590873441,81,0.247720,0.000000,0.000000,0.000000,events/second
1590873444,81,0.245469,0.000000,0.000000,0.000000,events/second
1590873447,82,0.246254,0.000000,0.000000,0.000000,events/second
1590873450,84,0.250015,0.000000,0.000000,0.000000,events/second
1590873453,84,0.247805,0.000000,0.000000,0.000000,events/second
1590873456,87,0.254401,0.000000,0.000000,0.000000,events/second
1590873459,87,0.252182,0.000000,0.000000,0.000000,events/second
1590873462,87,0.250015,0.000000,0.000000,0.000000,events/second
1590873465,87,0.247878,0.000000,0.000000,0.000000,events/second
1590873468,90,0.254251,0.000000,0.000000,0.000000,events/second
1590873471,90,0.252114,0.000000,0.000000,0.000000,events/second
1590873474,90,0.250013,0.000000,0.000000,0.000000,events/second
1590873477,90,0.247948,0.000000,0.000000,0.000000,events/second
1590873480,90,0.245914,0.000000,0.000000,0.000000,events/second
1590873483,90,0.243915,0.000000,0.000000,0.000000,events/second
1590873486,90,0.241949,0.000000,0.000000,0.000000,events/second
1590873489,93,0.248007,0.000000,0.000000,0.000000,events/second
1590873492,93,0.246042,0.000000,0.000000,0.000000,events/second
1590873495,93,0.244105,0.000000,0.000000,0.000000,events/second
1590873498,93,0.242195,0.000000,0.000000,0.000000,events/second
1590873501,93,0.240322,0.000000,0.000000,0.000000,events/second
1590873504,93,0.238475,0.000000,0.000000,0.000000,events/second
1590873507,94,0.239201,0.000000,0.000000,0.000000,events/second
1590873510,96,0.242435,0.000000,0.000000,0.000000,events/second
1590873513,96,0.240614,0.000000,0.000000,0.000000,events/second
1590873516,96,0.238817,0.000000,0.000000,0.000000,events/second
1590873519,96,0.237048,0.000000,0.000000,0.000000,events/second
1590873522,96,0.235308,0.000000,0.000000,0.000000,events/second
1590873525,96,0.233585,0.000000,0.000000,0.000000,events/second
1590873528,99,0.239143,0.000000,0.000000,0.000000,events/second
1590873531,99,0.237420,0.000000,0.000000,0.000000,events/second
1590873534,99,0.235725,0.000000,0.000000,0.000000,events/second
1590873537,99,0.234053,0.000000,0.000000,0.000000,events/second
1590873540,99,0.232404,0.000000,0.000000,0.000000,events/second
1590873543,99,0.230780,0.000000,0.000000,0.000000,events/second
1590873546,102,0.236121,0.000000,0.000000,0.000000,events/second
1590873549,105,0.241391,0.000000,0.000000,0.000000,events/second
1590873552,105,0.239739,0.000000,0.000000,0.000000,events/second
