t,value
1590873117,0
1590873120,0
1590873123,0
1590873126,1
1590873129,7
1590873132,7
1590873135,7
1590873138,7
1590873141,7
1590873144,7
1590873147,7
1590873150,7
1590873153,7
1590873156,7
1590873159,7
1590873162,7
1590873165,7
1590873168,7
1590873171,7
1590873174,7
1590873177,7
1590873180,7
1590873183,7
1590873186,7
1590873189,7
1590873192,7
1590873195,7
1590873198,7
1590873201,7
1590873204,7
1590873207,7
1590873210,7
1590873213,7
1590873216,7
1590873219,7
1590873222,7
1590873225,7
1590873228,7
1590873231,7
1590873234,7
1590873237,7
1590873240,7
1590873243,7
1590873246,7
1590873249,7
1590873252,7
1590873255,7
1590873258,7
1590873261,7
1590873264,7
1590873267,6
1590873270,7
1590873273,7
1590873276,7
1590873279,7
1590873282,7
1590873285,7
1590873288,7
1590873291,7
1590873294,7
1590873297,7
1590873300,7
1590873303,7
1590873306,7
1590873309,7
1590873312,7
1590873315,7
1590873318,6
1590873321,7
1590873324,7
1590873327,6
1590873330,7
1590873333,7
1590873336,7
1590873339,7
1590873342,7
1590873345,7
1590873348,7
1590873351,7
1590873354,7
1590873357,7
1590873360,7
1590873363,7
1590873366,7
1590873369,7
1590873372,7
1590873375,7
1590873378,7
1590873381,7
1590873384,7
1590873387,7
1590873390,7
1590873393,7
1590873396,7
1590873399,7
1590873402,7
1590873405,7
1590873408,7
1590873411,7
1590873414,7
1590873417,7
1590873420,7
1590873423,7
1590873426,7
1590873429,7
1590873432,7
1590873435,7
1590873438,7
1590873441,7
1590873444,7
1590873447,7
1590873450,7
1590873453,7
1590873456,7
1590873459,7
1590873462,7
1590873465,7
1590873468,7
1590873471,7
1590873474,7
1590873477,7
1590873480,7
1590873483,7
1590873486,7
1590873489,7
1590873492,7
1590873495,7
1590873498,7
1590873501,7
1590873504,7
1590873507,7
1590873510,7
1590873513,7
1590873516,7
1590873519,7
1590873522,7
1590873525,7
1590873528,7
1590873531,7
1590873534,7
1590873537,7
1590873540,7
1590873543,7
1590873546,7
1590873549,7
1590873552,7
1590873555,7
1590873558,7
1590873561,7
1590873564,7
1590873567,7
1590873570,7
1590873573,7
1590873576,7
1590873579,7
1590873582,7
1590873585,7
1590873588,7
1590873591,7
1590873594,7
1590873597,7
1590873600,7
1590873603,7
1590873606,7
1590873609,7
1590873612,7
1590873615,7
1590873618,7
1590873621,7
1590873624,7
1590873627,7
1590873630,7
1590873633,7
1590873636,7
1590873639,7
1590873642,7
1590873645,7
1590873648,7
1590873651,7
1590873654,7
1590873657,7
1590873660,7
1590873663,7
1590873666,7
1590873669,7
1590873672,7
1590873675,7
1590873678,7
1590873681,7
1590873684,7
1590873687,7
1590873690,7
1590873693,7
1590873696,7
1590873699,7
1590873702,7
1590873705,7
1590873708,7
1590873711,7
1590873714,7
1590873717,7
1590873720,7
1590873723,7
1590873726,7
1590873729,7
1590873732,7
1590873735,7
1590873738,7
1590873741,7
1590873744,7
1590873747,7
1590873750,7
1590873753,7
1590873756,7
1590873759,7
1590873762,7
1590873765,7
1590873768,7
1590873771,7
1590873774,7
1590873777,7
1590873780,7
1590873783,7
1590873786,7
1590873789,7
1590873792,7
1590873795,7
1590873798,7
1590873801,7
1590873804,7
1590873807,7
1590873810,7
1590873813,7
1590873816,7
1590873819,7
1590873822,7
1590873825,7
1590873828,7
1590873831,7
1590873834,7
1590873837,7
1590873840,7
1590873843,7
1590873846,7
1590873849,7
1590873852,7
1590873855,7
1590873858,7
1590873861,7
1590873864,7
1590873867,7
1590873870,7
1590873873,7
1590873876,7
1590873879,7
1590873882,7
1590873885,7
1590873888,7
1590873891,7
1590873894,7
1590873897,7
1590873900,7
1590873903,7
1590873906,7
1590873909,7
1590873912,7
1590873915,7
1590873918,7
1590873921,7
1590873924,7
1590873927,7
1590873930,7
1590873933,7
1590873936,7
1590873939,7
1590873942,7
1590873945,7
1590873948,7
1590873951,7
1590873954,7
1590873957,7
1590873960,7
1590873963,7
1590873966,7
1590873969,7
1590873972,7
1590873975,7
1590873978,7
1590873981,7
1590873984,7
1590873987,7
1590873990,7
1590873993,7
1590873996,7
1590873999,7
1590874002,7
1590874005,7
1590874008,7
1590874011,7
1590874014,7
1590874017,7
1590874020,7
1590874023,7
1590874026,7
1590874029,7
1590874032,7
1590874035,7
1590874038,7
1590874041,7
1590874044,7
1590874047,7
1590874050,7
1590874053,7
1590874056,7
1590874059,7
1590874062,7
1590874065,7
1590874068,7
1590874071,7
1590874074,7
1590874077,7
1590874080,7
1590874083,7
1590874086,7
1590874089,7
1590874092,7
1590874095,7
1590874098,7
1590874101,7
1590874104,7
1590874107,7
1590874110,7
1590874113,7
1590874116,0
