t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,3,0.500609,0.000000,0.000000,0.000000,events/second
1590873123,21,2.333043,0.000000,0.000000,0.000000,events/second
1590873126,27,2.254648,0.000000,0.000000,0.000000,events/second
1590873129,103,6.878885,0.000000,0.000000,0.000000,events/second
1590873132,123,6.838937,0.000000,0.000000,0.000000,events/second
1590873135,123,5.862992,0.000000,0.000000,0.000000,events/second
1590873138,143,5.961721,0.000000,0.000000,0.000000,events/second
1590873141,153,5.669319,0.000000,0.000000,0.000000,events/second
1590873144,163,5.427816,0.000000,0.000000,0.000000,events/second
1590873147,188,5.702342,0.000000,0.000000,0.000000,events/second
1590873150,193,5.364608,0.000000,0.000000,0.000000,events/second
1590873153,193,4.951597,0.000000,0.000000,0.000000,events/second
1590873156,193,4.597046,0.000000,0.000000,0.000000,events/second
1590873159,223,4.958219,0.000000,0.000000,0.000000,events/second
1590873162,228,4.751893,0.000000,0.000000,0.000000,events/second
1590873165,233,4.569862,0.000000,0.000000,0.000000,events/second
1590873168,283,5.242405,0.000000,0.000000,0.000000,events/second
1590873171,298,5.230164,0.000000,0.000000,0.000000,events/second
1590873174,308,5.135601,0.000000,0.000000,0.000000,events/second
1590873177,313,4.969989,0.000000,0.000000,0.000000,events/second
1590873180,348,5.274221,0.000000,0.000000,0.000000,events/second
1590873183,348,5.045080,0.000000,0.000000,0.000000,events/second
1590873186,348,4.834719,0.000000,0.000000,0.000000,events/second
1590873189,388,5.174739,0.000000,0.000000,0.000000,events/second
1590873192,418,5.360205,0.000000,0.000000,0.000000,events/second
1590873195,418,5.161382,0.000000,0.000000,0.000000,events/second
1590873198,418,4.977920,0.000000,0.000000,0.000000,events/second
1590873201,418,4.805653,0.000000,0.000000,0.000000,events/second
1590873204,418,4.645514,0.000000,0.000000,0.000000,events/second
1590873207,443,4.764175,0.000000,0.000000,0.000000,events/second
1590873210,443,4.615330,0.000000,0.000000,0.000000,events/second
1590873213,443,4.475647,0.000000,0.000000,0.000000,events/second
1590873216,443,4.343944,0.000000,0.000000,0.000000,events/second
1590873219,443,4.219961,0.000000,0.000000,0.000000,events/second
1590873222,443,4.100264,0.000000,0.000000,0.000000,events/second
1590873225,443,3.991783,0.000000,0.000000,0.000000,events/second
1590873228,478,4.193859,0.000000,0.000000,0.000000,events/second
1590873231,478,4.085938,0.000000,0.000000,0.000000,events/second
1590873234,478,3.984381,0.000000,0.000000,0.000000,events/second
1590873237,478,3.886647,0.000000,0.000000,0.000000,events/second
1590873240,478,3.794362,0.000000,0.000000,0.000000,events/second
1590873243,478,3.705946,0.000000,0.000000,0.000000,events/second
1590873246,478,3.621694,0.000000,0.000000,0.000000,events/second
1590873249,503,3.726402,0.000000,0.000000,0.000000,events/second
1590873252,503,3.645411,0.000000,0.000000,0.000000,events/second
1590873255,503,3.567823,0.000000,0.000000,0.000000,events/second
1590873258,503,3.493411,0.000000,0.000000,0.000000,events/second
1590873261,503,3.422395,0.000000,0.000000,0.000000,events/second
1590873264,503,3.353764,0.000000,0.000000,0.000000,events/second
1590873267,526,3.438260,0.000000,0.000000,0.000000,events/second
1590873270,528,3.385122,0.000000,0.000000,0.000000,events/second
1590873273,528,3.321202,0.000000,0.000000,0.000000,events/second
1590873276,528,3.259702,0.000000,0.000000,0.000000,events/second
1590873279,533,3.230731,0.000000,0.000000,0.000000,events/second
1590873282,533,3.173100,0.000000,0.000000,0.000000,events/second
1590873285,543,3.175888,0.000000,0.000000,0.000000,events/second
1590873288,578,3.322258,0.000000,0.000000,0.000000,events/second
1590873291,583,3.294221,0.000000,0.000000,0.000000,events/second
1590873294,588,3.267046,0.000000,0.000000,0.000000,events/second
1590873297,588,3.213568,0.000000,0.000000,0.000000,events/second
1590873300,593,3.188576,0.000000,0.000000,0.000000,events/second
1590873303,598,3.164435,0.000000,0.000000,0.000000,events/second
1590873306,613,3.193110,0.000000,0.000000,0.000000,events/second
1590873309,638,3.272216,0.000000,0.000000,0.000000,events/second
1590873312,653,3.298409,0.000000,0.000000,0.000000,events/second
1590873315,653,3.249139,0.000000,0.000000,0.000000,events/second
1590873318,654,3.206257,0.000000,0.000000,0.000000,events/second
1590873321,688,3.323189,0.000000,0.000000,0.000000,events/second
1590873324,693,3.300349,0.000000,0.000000,0.000000,events/second
1590873327,731,3.431348,0.000000,0.000000,0.000000,events/second
1590873330,733,3.393916,0.000000,0.000000,0.000000,events/second
1590873333,738,3.370219,0.000000,0.000000,0.000000,events/second
1590873336,738,3.324645,0.000000,0.000000,0.000000,events/second
1590873339,738,3.280340,0.000000,0.000000,0.000000,events/second
1590873342,738,3.237187,0.000000,0.000000,0.000000,events/second
1590873345,738,3.195126,0.000000,0.000000,0.000000,events/second
1590873348,763,3.260966,0.000000,0.000000,0.000000,events/second
1590873351,763,3.219722,0.000000,0.000000,0.000000,events/second
1590873354,763,3.179464,0.000000,0.000000,0.000000,events/second
1590873357,763,3.140221,0.000000,0.000000,0.000000,events/second
1590873360,763,3.101802,0.000000,0.000000,0.000000,events/second
1590873363,763,3.064532,0.000000,0.000000,0.000000,events/second
1590873366,763,3.028079,0.000000,0.000000,0.000000,events/second
1590873369,788,3.090438,0.000000,0.000000,0.000000,events/second
1590873372,788,3.054526,0.000000,0.000000,0.000000,events/second
1590873375,788,3.019450,0.000000,0.000000,0.000000,events/second
1590873378,788,2.984619,0.000000,0.000000,0.000000,events/second
1590873381,818,3.063928,0.000000,0.000000,0.000000,events/second
1590873384,818,3.029961,0.000000,0.000000,0.000000,events/second
1590873387,838,3.069842,0.000000,0.000000,0.000000,events/second
1590873390,853,3.090860,0.000000,0.000000,0.000000,events/second
1590873393,858,3.075544,0.000000,0.000000,0.000000,events/second
1590873396,868,3.078209,0.000000,0.000000,0.000000,events/second
1590873399,873,3.063386,0.000000,0.000000,0.000000,events/second
1590873402,873,3.031470,0.000000,0.000000,0.000000,events/second
1590873405,873,3.000241,0.000000,0.000000,0.000000,events/second
1590873408,898,3.054657,0.000000,0.000000,0.000000,events/second
1590873411,898,3.023825,0.000000,0.000000,0.000000,events/second
1590873414,898,2.993562,0.000000,0.000000,0.000000,events/second
1590873417,898,2.963933,0.000000,0.000000,0.000000,events/second
1590873420,898,2.934823,0.000000,0.000000,0.000000,events/second
1590873423,908,2.938725,0.000000,0.000000,0.000000,events/second
1590873426,918,2.942579,0.000000,0.000000,0.000000,events/second
1590873429,948,3.009767,0.000000,0.000000,0.000000,events/second
1590873432,953,2.997071,0.000000,0.000000,0.000000,events/second
1590873435,958,2.984675,0.000000,0.000000,0.000000,events/second
1590873438,958,2.957020,0.000000,0.000000,0.000000,events/second
1590873441,973,2.975753,0.000000,0.000000,0.000000,events/second
1590873444,973,2.948705,0.000000,0.000000,0.000000,events/second
1590873447,988,2.967104,0.000000,0.000000,0.000000,events/second
1590873450,998,2.970461,0.000000,0.000000,0.000000,events/second
1590873453,1008,2.973706,0.000000,0.000000,0.000000,events/second
1590873456,1038,3.035322,0.000000,0.000000,0.000000,events/second
1590873459,1038,3.008840,0.000000,0.000000,0.000000,events/second
1590873462,1038,2.982983,0.000000,0.000000,0.000000,events/second
1590873465,1038,2.957486,0.000000,0.000000,0.000000,events/second
1590873468,1063,3.003040,0.000000,0.000000,0.000000,events/second
1590873471,1063,2.977790,0.000000,0.000000,0.000000,events/second
1590873474,1063,2.952981,0.000000,0.000000,0.000000,events/second
1590873477,1063,2.928582,0.000000,0.000000,0.000000,events/second
1590873480,1063,2.904560,0.000000,0.000000,0.000000,events/second
