t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,6,1.001054,0.000000,0.000000,0.000000,events/second
1590873123,23,2.554970,0.000000,0.000000,0.000000,events/second
1590873126,30,2.504965,0.000000,0.000000,0.000000,events/second
1590873129,116,7.746638,0.000000,0.000000,0.000000,events/second
1590873132,138,7.672480,0.000000,0.000000,0.000000,events/second
1590873135,138,6.577647,0.000000,0.000000,0.000000,events/second
1590873138,159,6.628478,0.000000,0.000000,0.000000,events/second
1590873141,171,6.336014,0.000000,0.000000,0.000000,events/second
1590873144,181,6.026960,0.000000,0.000000,0.000000,events/second
1590873147,209,6.339172,0.000000,0.000000,0.000000,events/second
1590873150,214,5.948175,0.000000,0.000000,0.000000,events/second
1590873153,214,5.490191,0.000000,0.000000,0.000000,events/second
1590873156,214,5.097128,0.000000,0.000000,0.000000,events/second
1590873159,247,5.491732,0.000000,0.000000,0.000000,events/second
1590873162,252,5.251993,0.000000,0.000000,0.000000,events/second
1590873165,257,5.040489,0.000000,0.000000,0.000000,events/second
1590873168,311,5.760987,0.000000,0.000000,0.000000,events/second
1590873171,328,5.756596,0.000000,0.000000,0.000000,events/second
1590873174,338,5.635753,0.000000,0.000000,0.000000,events/second
1590873177,343,5.446251,0.000000,0.000000,0.000000,events/second
1590873180,381,5.774276,0.000000,0.000000,0.000000,events/second
1590873183,381,5.523411,0.000000,0.000000,0.000000,events/second
1590873186,381,5.293117,0.000000,0.000000,0.000000,events/second
1590873189,424,5.654802,0.000000,0.000000,0.000000,events/second
1590873192,457,5.860250,0.000000,0.000000,0.000000,events/second
1590873195,457,5.642870,0.000000,0.000000,0.000000,events/second
1590873198,457,5.442320,0.000000,0.000000,0.000000,events/second
1590873201,457,5.253973,0.000000,0.000000,0.000000,events/second
1590873204,457,5.078900,0.000000,0.000000,0.000000,events/second
1590873207,485,5.215816,0.000000,0.000000,0.000000,events/second
1590873210,485,5.052837,0.000000,0.000000,0.000000,events/second
1590873213,485,4.899929,0.000000,0.000000,0.000000,events/second
1590873216,485,4.755731,0.000000,0.000000,0.000000,events/second
1590873219,485,4.620007,0.000000,0.000000,0.000000,events/second
1590873222,485,4.488965,0.000000,0.000000,0.000000,events/second
1590873225,485,4.370199,0.000000,0.000000,0.000000,events/second
1590873228,523,4.588641,0.000000,0.000000,0.000000,events/second
1590873231,523,4.470556,0.000000,0.000000,0.000000,events/second
1590873234,523,4.359454,0.000000,0.000000,0.000000,events/second
1590873237,523,4.252511,0.000000,0.000000,0.000000,events/second
1590873240,523,4.151543,0.000000,0.000000,0.000000,events/second
1590873243,523,4.054803,0.000000,0.000000,0.000000,events/second
1590873246,523,3.962622,0.000000,0.000000,0.000000,events/second
1590873249,551,4.081976,0.000000,0.000000,0.000000,events/second
1590873252,551,3.993257,0.000000,0.000000,0.000000,events/second
1590873255,551,3.908262,0.000000,0.000000,0.000000,events/second
1590873258,551,3.826754,0.000000,0.000000,0.000000,events/second
1590873261,551,3.748963,0.000000,0.000000,0.000000,events/second
1590873264,551,3.673777,0.000000,0.000000,0.000000,events/second
1590873267,577,3.771605,0.000000,0.000000,0.000000,events/second
1590873270,579,3.712072,0.000000,0.000000,0.000000,events/second
1590873273,579,3.641979,0.000000,0.000000,0.000000,events/second
1590873276,579,3.574540,0.000000,0.000000,0.000000,events/second
1590873279,584,3.539843,0.000000,0.000000,0.000000,events/second
1590873282,584,3.476699,0.000000,0.000000,0.000000,events/second
1590873285,594,3.474158,0.000000,0.000000,0.000000,events/second
1590873288,632,3.632622,0.000000,0.000000,0.000000,events/second
1590873291,637,3.599328,0.000000,0.000000,0.000000,events/second
1590873294,642,3.567063,0.000000,0.000000,0.000000,events/second
1590873297,642,3.508675,0.000000,0.000000,0.000000,events/second
1590873300,647,3.478917,0.000000,0.000000,0.000000,events/second
1590873303,652,3.450171,0.000000,0.000000,0.000000,events/second
1590873306,667,3.474377,0.000000,0.000000,0.000000,events/second
1590873309,695,3.564545,0.000000,0.000000,0.000000,events/second
1590873312,710,3.586309,0.000000,0.000000,0.000000,events/second
1590873315,710,3.532739,0.000000,0.000000,0.000000,events/second
1590873318,713,3.495495,0.000000,0.000000,0.000000,events/second
1590873321,748,3.612988,0.000000,0.000000,0.000000,events/second
1590873324,753,3.586079,0.000000,0.000000,0.000000,events/second
1590873327,794,3.727050,0.000000,0.000000,0.000000,events/second
1590873330,796,3.685602,0.000000,0.000000,0.000000,events/second
1590873333,801,3.657906,0.000000,0.000000,0.000000,events/second
1590873336,801,3.608442,0.000000,0.000000,0.000000,events/second
1590873339,801,3.560355,0.000000,0.000000,0.000000,events/second
1590873342,801,3.513518,0.000000,0.000000,0.000000,events/second
1590873345,801,3.467868,0.000000,0.000000,0.000000,events/second
1590873348,829,3.543026,0.000000,0.000000,0.000000,events/second
1590873351,829,3.498217,0.000000,0.000000,0.000000,events/second
1590873354,829,3.454474,0.000000,0.000000,0.000000,events/second
1590873357,829,3.411839,0.000000,0.000000,0.000000,events/second
1590873360,829,3.370094,0.000000,0.000000,0.000000,events/second
1590873363,829,3.329604,0.000000,0.000000,0.000000,events/second
1590873366,829,3.289998,0.000000,0.000000,0.000000,events/second
1590873369,857,3.361035,0.000000,0.000000,0.000000,events/second
1590873372,857,3.321976,0.000000,0.000000,0.000000,events/second
1590873375,857,3.283831,0.000000,0.000000,0.000000,events/second
1590873378,857,3.245950,0.000000,0.000000,0.000000,events/second
1590873381,890,3.333603,0.000000,0.000000,0.000000,events/second
1590873384,890,3.296648,0.000000,0.000000,0.000000,events/second
1590873387,911,3.337251,0.000000,0.000000,0.000000,events/second
1590873390,928,3.362612,0.000000,0.000000,0.000000,events/second
1590873393,933,3.344374,0.000000,0.000000,0.000000,events/second
1590873396,943,3.344174,0.000000,0.000000,0.000000,events/second
1590873399,948,3.326553,0.000000,0.000000,0.000000,events/second
1590873402,948,3.291895,0.000000,0.000000,0.000000,events/second
1590873405,948,3.257984,0.000000,0.000000,0.000000,events/second
1590873408,976,3.319973,0.000000,0.000000,0.000000,events/second
1590873411,976,3.286464,0.000000,0.000000,0.000000,events/second
1590873414,976,3.253572,0.000000,0.000000,0.000000,events/second
