t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,4,0.667388,0.000000,0.000000,0.000000,events/second
1590873123,21,2.332846,0.000000,0.000000,0.000000,events/second
1590873126,27,2.254501,0.000000,0.000000,0.000000,events/second
1590873129,103,6.878576,0.000000,0.000000,0.000000,events/second
1590873132,123,6.838551,0.000000,0.000000,0.000000,events/second
1590873135,123,5.862716,0.000000,0.000000,0.000000,events/second
1590873138,143,5.961494,0.000000,0.000000,0.000000,events/second
1590873141,153,5.669077,0.000000,0.000000,0.000000,events/second
1590873144,163,5.427614,0.000000,0.000000,0.000000,events/second
1590873147,188,5.702275,0.000000,0.000000,0.000000,events/second
1590873150,193,5.364507,0.000000,0.000000,0.000000,events/second
1590873153,193,4.951449,0.000000,0.000000,0.000000,events/second
1590873156,193,4.596962,0.000000,0.000000,0.000000,events/second
1590873159,223,4.958146,0.000000,0.000000,0.000000,events/second
1590873162,228,4.751823,0.000000,0.000000,0.000000,events/second
1590873165,233,4.569800,0.000000,0.000000,0.000000,events/second
1590873168,283,5.242331,0.000000,0.000000,0.000000,events/second
1590873171,298,5.230095,0.000000,0.000000,0.000000,events/second
1590873174,308,5.135563,0.000000,0.000000,0.000000,events/second
1590873177,313,4.969917,0.000000,0.000000,0.000000,events/second
1590873180,348,5.274156,0.000000,0.000000,0.000000,events/second
1590873183,348,5.045019,0.000000,0.000000,0.000000,events/second
1590873186,348,4.834672,0.000000,0.000000,0.000000,events/second
1590873189,388,5.174691,0.000000,0.000000,0.000000,events/second
1590873192,418,5.360154,0.000000,0.000000,0.000000,events/second
1590873195,418,5.161319,0.000000,0.000000,0.000000,events/second
1590873198,418,4.977895,0.000000,0.000000,0.000000,events/second
1590873201,418,4.805615,0.000000,0.000000,0.000000,events/second
1590873204,418,4.645473,0.000000,0.000000,0.000000,events/second
1590873207,443,4.764152,0.000000,0.000000,0.000000,events/second
1590873210,443,4.615279,0.000000,0.000000,0.000000,events/second
1590873213,443,4.475614,0.000000,0.000000,0.000000,events/second
1590873216,443,4.343903,0.000000,0.000000,0.000000,events/second
1590873219,443,4.219931,0.000000,0.000000,0.000000,events/second
1590873222,443,4.100233,0.000000,0.000000,0.000000,events/second
1590873225,443,3.991751,0.000000,0.000000,0.000000,events/second
1590873228,478,4.193833,0.000000,0.000000,0.000000,events/second
1590873231,478,4.085902,0.000000,0.000000,0.000000,events/second
1590873234,478,3.984367,0.000000,0.000000,0.000000,events/second
1590873237,478,3.886622,0.000000,0.000000,0.000000,events/second
1590873240,478,3.794342,0.000000,0.000000,0.000000,events/second
1590873243,478,3.705925,0.000000,0.000000,0.000000,events/second
1590873246,478,3.621675,0.000000,0.000000,0.000000,events/second
1590873249,503,3.726383,0.000000,0.000000,0.000000,events/second
1590873252,503,3.645392,0.000000,0.000000,0.000000,events/second
1590873255,503,3.567799,0.000000,0.000000,0.000000,events/second
1590873258,503,3.493394,0.000000,0.000000,0.000000,events/second
1590873261,503,3.422379,0.000000,0.000000,0.000000,events/second
1590873264,503,3.353741,0.000000,0.000000,0.000000,events/second
1590873267,526,3.438244,0.000000,0.000000,0.000000,events/second
1590873270,528,3.385107,0.000000,0.000000,0.000000,events/second
1590873273,528,3.321187,0.000000,0.000000,0.000000,events/second
1590873276,528,3.259688,0.000000,0.000000,0.000000,events/second
1590873279,533,3.230717,0.000000,0.000000,0.000000,events/second
1590873282,533,3.173087,0.000000,0.000000,0.000000,events/second
1590873285,543,3.175876,0.000000,0.000000,0.000000,events/second
1590873288,578,3.322243,0.000000,0.000000,0.000000,events/second
1590873291,583,3.294208,0.000000,0.000000,0.000000,events/second
1590873294,588,3.267034,0.000000,0.000000,0.000000,events/second
1590873297,588,3.213556,0.000000,0.000000,0.000000,events/second
1590873300,593,3.188561,0.000000,0.000000,0.000000,events/second
1590873303,598,3.164424,0.000000,0.000000,0.000000,events/second
1590873306,613,3.193096,0.000000,0.000000,0.000000,events/second
1590873309,638,3.272204,0.000000,0.000000,0.000000,events/second
1590873312,653,3.298397,0.000000,0.000000,0.000000,events/second
1590873315,653,3.249128,0.000000,0.000000,0.000000,events/second
1590873318,655,3.211154,0.000000,0.000000,0.000000,events/second
1590873321,688,3.323180,0.000000,0.000000,0.000000,events/second
1590873324,693,3.300339,0.000000,0.000000,0.000000,events/second
1590873327,731,3.431328,0.000000,0.000000,0.000000,events/second
1590873330,733,3.393905,0.000000,0.000000,0.000000,events/second
1590873333,738,3.370209,0.000000,0.000000,0.000000,events/second
1590873336,738,3.324636,0.000000,0.000000,0.000000,events/second
1590873339,738,3.280330,0.000000,0.000000,0.000000,events/second
1590873342,738,3.237177,0.000000,0.000000,0.000000,events/second
1590873345,738,3.195117,0.000000,0.000000,0.000000,events/second
1590873348,763,3.260954,0.000000,0.000000,0.000000,events/second
1590873351,763,3.219713,0.000000,0.000000,0.000000,events/second
1590873354,763,3.179451,0.000000,0.000000,0.000000,events/second
1590873357,763,3.140212,0.000000,0.000000,0.000000,events/second
1590873360,763,3.101790,0.000000,0.000000,0.000000,events/second
1590873363,763,3.064524,0.000000,0.000000,0.000000,events/second
1590873366,763,3.028071,0.000000,0.000000,0.000000,events/second
1590873369,788,3.090429,0.000000,0.000000,0.000000,events/second
1590873372,788,3.054513,0.000000,0.000000,0.000000,events/second
1590873375,788,3.019441,0.000000,0.000000,0.000000,events/second
1590873378,788,2.984609,0.000000,0.000000,0.000000,events/second
1590873381,818,3.063918,0.000000,0.000000,0.000000,events/second
1590873384,818,3.029956,0.000000,0.000000,0.000000,events/second
1590873387,838,3.069834,0.000000,0.000000,0.000000,events/second
1590873390,853,3.090852,0.000000,0.000000,0.000000,events/second
1590873393,858,3.075536,0.000000,0.000000,0.000000,events/second
1590873396,868,3.078203,0.000000,0.000000,0.000000,events/second
1590873399,873,3.063379,0.000000,0.000000,0.000000,events/second
1590873402,873,3.031462,0.000000,0.000000,0.000000,events/second
1590873405,873,3.000234,0.000000,0.000000,0.000000,events/second
1590873408,898,3.054649,0.000000,0.000000,0.000000,events/second
1590873411,898,3.023818,0.000000,0.000000,0.000000,events/second
1590873414,898,2.993555,0.000000,0.000000,0.000000,events/second
1590873417,898,2.963926,0.000000,0.000000,0.000000,events/second
1590873420,898,2.934816,0.000000,0.000000,0.000000,events/second
1590873423,908,2.938718,0.000000,0.000000,0.000000,events/second
1590873426,918,2.942573,0.000000,0.000000,0.000000,events/second
1590873429,948,3.009761,0.000000,0.000000,0.000000,events/second
1590873432,953,2.997065,0.000000,0.000000,0.000000,events/second
1590873435,958,2.984669,0.000000,0.000000,0.000000,events/second
1590873438,958,2.957012,0.000000,0.000000,0.000000,events/second
1590873441,973,2.975747,0.000000,0.000000,0.000000,events/second
