t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,2,0.333348,0.000000,0.000000,0.000000,events/second
1590873123,2,0.222019,0.000000,0.000000,0.000000,events/second
1590873126,4,0.333827,0.000000,0.000000,0.000000,events/second
1590873129,20,1.335094,0.000000,0.000000,0.000000,events/second
1590873132,22,1.222727,0.000000,0.000000,0.000000,events/second
1590873135,22,1.048301,0.000000,0.000000,0.000000,events/second
1590873138,23,0.958591,0.000000,0.000000,0.000000,events/second
1590873141,25,0.926102,0.000000,0.000000,0.000000,events/second
1590873144,25,0.832281,0.000000,0.000000,0.000000,events/second
1590873147,28,0.849118,0.000000,0.000000,0.000000,events/second
1590873150,28,0.778135,0.000000,0.000000,0.000000,events/second
1590873153,28,0.718230,0.000000,0.000000,0.000000,events/second
1590873156,28,0.666818,0.000000,0.000000,0.000000,events/second
1590873159,31,0.689154,0.000000,0.000000,0.000000,events/second
1590873162,31,0.645998,0.000000,0.000000,0.000000,events/second
1590873165,31,0.607925,0.000000,0.000000,0.000000,events/second
1590873168,35,0.648270,0.000000,0.000000,0.000000,events/second
1590873171,37,0.649303,0.000000,0.000000,0.000000,events/second
1590873174,37,0.616872,0.000000,0.000000,0.000000,events/second
1590873177,37,0.587440,0.000000,0.000000,0.000000,events/second
1590873180,40,0.606168,0.000000,0.000000,0.000000,events/second
1590873183,40,0.579835,0.000000,0.000000,0.000000,events/second
1590873186,40,0.555662,0.000000,0.000000,0.000000,events/second
1590873189,43,0.573436,0.000000,0.000000,0.000000,events/second
1590873192,46,0.589826,0.000000,0.000000,0.000000,events/second
1590873195,46,0.567948,0.000000,0.000000,0.000000,events/second
1590873198,46,0.547767,0.000000,0.000000,0.000000,events/second
1590873201,46,0.528810,0.000000,0.000000,0.000000,events/second
1590873204,46,0.511189,0.000000,0.000000,0.000000,events/second
1590873207,49,0.526926,0.000000,0.000000,0.000000,events/second
1590873210,49,0.510461,0.000000,0.000000,0.000000,events/second
1590873213,49,0.495014,0.000000,0.000000,0.000000,events/second
1590873216,49,0.480448,0.000000,0.000000,0.000000,events/second
1590873219,49,0.466737,0.000000,0.000000,0.000000,events/second
1590873222,49,0.453498,0.000000,0.000000,0.000000,events/second
1590873225,49,0.441501,0.000000,0.000000,0.000000,events/second
1590873228,52,0.456208,0.000000,0.000000,0.000000,events/second
1590873231,52,0.444468,0.000000,0.000000,0.000000,events/second
1590873234,52,0.433424,0.000000,0.000000,0.000000,events/second
1590873237,52,0.422791,0.000000,0.000000,0.000000,events/second
1590873240,52,0.412753,0.000000,0.000000,0.000000,events/second
1590873243,52,0.403136,0.000000,0.000000,0.000000,events/second
1590873246,52,0.393971,0.000000,0.000000,0.000000,events/second
1590873249,55,0.407438,0.000000,0.000000,0.000000,events/second
1590873252,55,0.398584,0.000000,0.000000,0.000000,events/second
1590873255,55,0.390100,0.000000,0.000000,0.000000,events/second
1590873258,55,0.381965,0.000000,0.000000,0.000000,events/second
1590873261,55,0.374201,0.000000,0.000000,0.000000,events/second
1590873264,55,0.366696,0.000000,0.000000,0.000000,events/second
1590873267,58,0.379107,0.000000,0.000000,0.000000,events/second
1590873270,58,0.371834,0.000000,0.000000,0.000000,events/second
1590873273,58,0.364813,0.000000,0.000000,0.000000,events/second
1590873276,58,0.358058,0.000000,0.000000,0.000000,events/second
1590873279,58,0.351547,0.000000,0.000000,0.000000,events/second
1590873282,58,0.345276,0.000000,0.000000,0.000000,events/second
1590873285,58,0.339216,0.000000,0.000000,0.000000,events/second
1590873288,61,0.350605,0.000000,0.000000,0.000000,events/second
1590873291,61,0.344665,0.000000,0.000000,0.000000,events/second
1590873294,61,0.338915,0.000000,0.000000,0.000000,events/second
1590873297,61,0.333368,0.000000,0.000000,0.000000,events/second
1590873300,61,0.327986,0.000000,0.000000,0.000000,events/second
1590873303,61,0.322782,0.000000,0.000000,0.000000,events/second
1590873306,61,0.317737,0.000000,0.000000,0.000000,events/second
1590873309,64,0.328236,0.000000,0.000000,0.000000,events/second
1590873312,64,0.323263,0.000000,0.000000,0.000000,events/second
1590873315,64,0.318435,0.000000,0.000000,0.000000,events/second
1590873318,64,0.313752,0.000000,0.000000,0.000000,events/second
1590873321,67,0.323614,0.000000,0.000000,0.000000,events/second
1590873324,67,0.319071,0.000000,0.000000,0.000000,events/second
1590873327,70,0.328572,0.000000,0.000000,0.000000,events/second
1590873330,70,0.324102,0.000000,0.000000,0.000000,events/second
1590873333,70,0.319658,0.000000,0.000000,0.000000,events/second
1590873336,70,0.315336,0.000000,0.000000,0.000000,events/second
1590873339,70,0.311134,0.000000,0.000000,0.000000,events/second
1590873342,70,0.307041,0.000000,0.000000,0.000000,events/second
1590873345,70,0.303052,0.000000,0.000000,0.000000,events/second
1590873348,73,0.311983,0.000000,0.000000,0.000000,events/second
1590873351,73,0.308038,0.000000,0.000000,0.000000,events/second
1590873354,73,0.304186,0.000000,0.000000,0.000000,events/second
1590873357,73,0.300432,0.000000,0.000000,0.000000,events/second
1590873360,73,0.296756,0.000000,0.000000,0.000000,events/second
1590873363,73,0.293191,0.000000,0.000000,0.000000,events/second
1590873366,73,0.289703,0.000000,0.000000,0.000000,events/second
1590873369,76,0.298054,0.000000,0.000000,0.000000,events/second
1590873372,76,0.294591,0.000000,0.000000,0.000000,events/second
1590873375,76,0.291208,0.000000,0.000000,0.000000,events/second
1590873378,76,0.287849,0.000000,0.000000,0.000000,events/second
1590873381,79,0.295897,0.000000,0.000000,0.000000,events/second
1590873384,79,0.292617,0.000000,0.000000,0.000000,events/second
1590873387,80,0.293056,0.000000,0.000000,0.000000,events/second
1590873390,82,0.297121,0.000000,0.000000,0.000000,events/second
1590873393,82,0.293926,0.000000,0.000000,0.000000,events/second
1590873396,82,0.290792,0.000000,0.000000,0.000000,events/second
1590873399,82,0.287734,0.000000,0.000000,0.000000,events/second
1590873402,82,0.284736,0.000000,0.000000,0.000000,events/second
1590873405,82,0.281803,0.000000,0.000000,0.000000,events/second
1590873408,85,0.289131,0.000000,0.000000,0.000000,events/second
1590873411,85,0.286213,0.000000,0.000000,0.000000,events/second
1590873414,85,0.283348,0.000000,0.000000,0.000000,events/second
1590873417,85,0.280544,0.000000,0.000000,0.000000,events/second
1590873420,85,0.277789,0.000000,0.000000,0.000000,events/second
1590873423,85,0.275095,0.000000,0.000000,0.000000,events/second
1590873426,85,0.272455,0.000000,0.000000,0.000000,events/second
1590873429,88,0.279382,0.000000,0.000000,0.000000,events/second
1590873432,88,0.276744,0.000000,0.000000,0.000000,events/second
1590873435,88,0.274161,0.000000,0.000000,0.000000,events/second
1590873438,88,0.271620,0.000000,0.000000,0.000000,events/second
1590873441,88,0.269127,0.000000,0.000000,0.000000,events/second
1590873444,88,0.266681,0.000000,0.000000,0.000000,events/second
1590873447,89,0.267274,0.000000,0.000000,0.000000,events/second
1590873450,91,0.270848,0.000000,0.000000,0.000000,events/second
1590873453,91,0.268454,0.000000,0.000000,0.000000,events/second
1590873456,94,0.274870,0.000000,0.000000,0.000000,events/second
1590873459,94,0.272472,0.000000,0.000000,0.000000,events/second
1590873462,94,0.270130,0.000000,0.000000,0.000000,events/second
1590873465,94,0.267821,0.000000,0.000000,0.000000,events/second
1590873468,97,0.274026,0.000000,0.000000,0.000000,events/second
1590873471,97,0.271722,0.000000,0.000000,0.000000,events/second
1590873474,97,0.269458,0.000000,0.000000,0.000000,events/second
1590873477,97,0.267232,0.000000,0.000000,0.000000,events/second
1590873480,97,0.265039,0.000000,0.000000,0.000000,events/second
1590873483,97,0.262886,0.000000,0.000000,0.000000,events/second
1590873486,97,0.260766,0.000000,0.000000,0.000000,events/second
1590873489,100,0.266673,0.000000,0.000000,0.000000,events/second
1590873492,100,0.264561,0.000000,0.000000,0.000000,events/second
1590873495,100,0.262477,0.000000,0.000000,0.000000,events/second
1590873498,100,0.260423,0.000000,0.000000,0.000000,events/second
1590873501,100,0.258409,0.000000,0.000000,0.000000,events/second
1590873504,100,0.256423,0.000000,0.000000,0.000000,events/second
1590873507,101,0.257013,0.000000,0.000000,0.000000,events/second
1590873510,103,0.260112,0.000000,0.000000,0.000000,events/second
1590873513,103,0.258158,0.000000,0.000000,0.000000,events/second
1590873516,103,0.256230,0.000000,0.000000,0.000000,events/second
1590873519,103,0.254332,0.000000,0.000000,0.000000,events/second
1590873522,103,0.252465,0.000000,0.000000,0.000000,events/second
1590873525,103,0.250617,0.000000,0.000000,0.000000,events/second
1590873528,106,0.256052,0.000000,0.000000,0.000000,events/second
1590873531,106,0.254206,0.000000,0.000000,0.000000,events/second
