t,value
1590873117,0
1590873120,0
1590873123,0
1590873126,0
1590873129,0
1590873132,0
1590873135,0
1590873138,1
1590873141,1
1590873144,1
1590873147,1
1590873150,1
1590873153,1
1590873156,1
1590873159,2
1590873162,2
1590873165,2
1590873168,3
1590873171,3
1590873174,3
1590873177,3
1590873180,4
1590873183,4
1590873186,4
1590873189,4
1590873192,5
1590873195,5
1590873198,5
1590873201,5
1590873204,5
1590873207,5
1590873210,5
1590873213,5
1590873216,5
1590873219,5
1590873222,5
1590873225,5
1590873228,5
1590873231,5
1590873234,5
1590873237,5
1590873240,5
1590873243,5
1590873246,5
1590873249,5
1590873252,5
1590873255,5
1590873258,5
1590873261,5
1590873264,5
1590873267,5
1590873270,5
1590873273,5
1590873276,5
1590873279,5
1590873282,5
1590873285,5
1590873288,5
1590873291,5
1590873294,5
1590873297,5
1590873300,5
1590873303,5
1590873306,5
1590873309,5
1590873312,5
1590873315,5
1590873318,6
1590873321,6
1590873324,6
1590873327,6
1590873330,6
1590873333,6
1590873336,6
1590873339,6
1590873342,6
1590873345,6
1590873348,6
1590873351,6
1590873354,6
1590873357,6
1590873360,6
1590873363,6
1590873366,6
1590873369,6
1590873372,6
1590873375,6
1590873378,6
1590873381,7
1590873384,7
1590873387,7
1590873390,7
1590873393,7
1590873396,7
1590873399,7
1590873402,7
1590873405,7
1590873408,7
1590873411,7
1590873414,7
1590873417,7
1590873420,7
1590873423,7
1590873426,7
1590873429,7
1590873432,7
1590873435,7
1590873438,7
1590873441,7
1590873444,7
1590873447,7
1590873450,7
1590873453,7
1590873456,8
1590873459,8
1590873462,8
1590873465,8
1590873468,8
1590873471,8
1590873474,8
1590873477,8
1590873480,8
1590873483,8
1590873486,8
1590873489,8
1590873492,8
1590873495,8
1590873498,8
1590873501,8
1590873504,8
1590873507,8
1590873510,8
1590873513,8
1590873516,8
1590873519,8
1590873522,8
1590873525,8
1590873528,8
1590873531,8
1590873534,8
1590873537,8
1590873540,8
1590873543,8
1590873546,8
1590873549,8
1590873552,8
1590873555,8
1590873558,8
1590873561,8
1590873564,8
1590873567,8
1590873570,8
1590873573,8
1590873576,8
1590873579,8
1590873582,8
1590873585,8
1590873588,8
1590873591,8
1590873594,8
1590873597,8
1590873600,8
1590873603,8
1590873606,8
1590873609,8
1590873612,8
1590873615,8
1590873618,8
1590873621,8
1590873624,8
1590873627,8
1590873630,8
1590873633,8
1590873636,8
1590873639,8
1590873642,8
1590873645,8
1590873648,8
1590873651,8
1590873654,8
1590873657,8
1590873660,8
1590873663,8
1590873666,8
1590873669,8
1590873672,8
1590873675,8
1590873678,8
1590873681,8
1590873684,8
1590873687,8
1590873690,8
1590873693,8
1590873696,8
1590873699,8
1590873702,8
1590873705,8
1590873708,8
1590873711,8
1590873714,8
1590873717,8
1590873720,8
1590873723,8
1590873726,8
1590873729,8
1590873732,8
1590873735,8
1590873738,8
1590873741,8
1590873744,8
1590873747,8
1590873750,8
1590873753,8
1590873756,8
1590873759,8
1590873762,8
1590873765,8
1590873768,8
1590873771,8
1590873774,8
1590873777,8
1590873780,8
1590873783,8
1590873786,8
1590873789,8
1590873792,8
1590873795,8
1590873798,8
1590873801,8
1590873804,8
1590873807,8
1590873810,8
1590873813,8
1590873816,8
1590873819,8
1590873822,8
1590873825,8
1590873828,8
1590873831,8
1590873834,8
1590873837,8
1590873840,8
1590873843,8
1590873846,8
1590873849,8
1590873852,8
1590873855,8
1590873858,8
1590873861,8
1590873864,8
1590873867,8
1590873870,8
1590873873,8
1590873876,8
1590873879,8
1590873882,8
1590873885,8
1590873888,8
1590873891,8
1590873894,8
1590873897,8
1590873900,8
1590873903,8
1590873906,8
1590873909,8
1590873912,8
1590873915,8
1590873918,8
1590873921,8
1590873924,8
1590873927,8
1590873930,8
1590873933,8
1590873936,8
1590873939,8
1590873942,8
1590873945,8
1590873948,8
1590873951,8
1590873954,8
1590873957,8
1590873960,8
1590873963,8
1590873966,8
1590873969,8
1590873972,8
1590873975,8
1590873978,8
1590873981,8
1590873984,8
1590873987,8
1590873990,8
1590873993,8
1590873996,8
1590873999,8
1590874002,8
1590874005,8
1590874008,8
1590874011,8
1590874014,8
1590874017,8
1590874020,8
1590874023,8
1590874026,8
1590874029,8
1590874032,8
1590874035,8
1590874038,8
1590874041,8
1590874044,8
1590874047,8
1590874050,8
1590874053,8
1590874056,8
1590874059,8
1590874062,8
1590874065,8
1590874068,8
1590874071,8
1590874074,8
1590874077,8
1590874080,8
1590874083,8
1590874086,8
1590874089,8
1590874092,8
1590874095,8
1590874098,8
1590874101,8
1590874104,8
1590874107,8
1590874110,8
1590874113,8
1590874116,8
