t,value
1590873117,0
1590873120,0
1590873123,0
1590873126,0
1590873129,0
1590873132,0
1590873135,0
1590873138,1
1590873141,1
1590873144,1
1590873147,1
1590873150,1
1590873153,1
1590873156,1
1590873159,2
1590873162,2
1590873165,2
1590873168,3
1590873171,3
1590873174,3
1590873177,3
1590873180,4
1590873183,4
1590873186,4
1590873189,4
1590873192,5
1590873195,5
1590873198,5
1590873201,5
1590873204,5
1590873207,5
1590873210,5
1590873213,5
1590873216,5
1590873219,5
1590873222,5
1590873225,5
1590873228,5
1590873231,5
1590873234,5
1590873237,5
1590873240,5
1590873243,5
1590873246,5
1590873249,5
1590873252,5
1590873255,5
1590873258,5
1590873261,5
1590873264,5
1590873267,5
1590873270,5
1590873273,5
1590873276,5
1590873279,5
1590873282,5
1590873285,5
1590873288,5
1590873291,5
1590873294,5
1590873297,5
1590873300,5
1590873303,5
1590873306,5
1590873309,5
1590873312,5
1590873315,5
1590873318,5
1590873321,7
1590873324,7
1590873327,7
1590873330,7
1590873333,7
1590873336,7
1590873339,7
1590873342,7
1590873345,7
1590873348,7
1590873351,7
1590873354,7
1590873357,7
1590873360,7
1590873363,7
1590873366,7
1590873369,7
1590873372,7
1590873375,7
1590873378,7
1590873381,10
1590873384,10
1590873387,10
1590873390,10
1590873393,10
1590873396,10
1590873399,10
1590873402,10
1590873405,10
1590873408,10
1590873411,10
1590873414,10
1590873417,10
1590873420,10
1590873423,10
1590873426,10
1590873429,10
1590873432,10
1590873435,10
1590873438,10
1590873441,10
1590873444,10
1590873447,10
1590873450,10
1590873453,10
1590873456,13
1590873459,13
1590873462,13
1590873465,13
1590873468,13
1590873471,13
1590873474,13
1590873477,13
1590873480,13
1590873483,13
1590873486,13
1590873489,13
1590873492,13
1590873495,13
1590873498,13
1590873501,13
1590873504,13
1590873507,13
1590873510,13
1590873513,13
1590873516,13
1590873519,13
1590873522,13
1590873525,13
1590873528,13
1590873531,13
1590873534,13
1590873537,13
1590873540,13
1590873543,13
1590873546,13
1590873549,13
1590873552,13
1590873555,13
1590873558,13
1590873561,13
1590873564,13
1590873567,13
1590873570,13
1590873573,13
1590873576,13
1590873579,13
1590873582,13
1590873585,13
1590873588,13
1590873591,13
1590873594,13
1590873597,13
1590873600,13
1590873603,13
1590873606,13
1590873609,13
1590873612,13
1590873615,13
1590873618,13
1590873621,13
1590873624,13
1590873627,13
1590873630,13
1590873633,13
1590873636,13
1590873639,13
1590873642,13
1590873645,13
1590873648,13
1590873651,13
1590873654,13
1590873657,13
1590873660,13
1590873663,13
1590873666,13
1590873669,13
1590873672,13
1590873675,13
1590873678,13
1590873681,13
1590873684,13
1590873687,13
1590873690,13
1590873693,13
1590873696,13
1590873699,13
1590873702,13
1590873705,13
1590873708,13
1590873711,13
1590873714,13
1590873717,13
1590873720,13
1590873723,13
1590873726,13
1590873729,13
1590873732,13
1590873735,13
1590873738,13
1590873741,13
1590873744,13
1590873747,13
1590873750,13
1590873753,13
1590873756,13
1590873759,13
1590873762,13
1590873765,13
1590873768,13
1590873771,13
1590873774,13
1590873777,13
1590873780,13
1590873783,13
1590873786,13
1590873789,13
1590873792,13
1590873795,13
1590873798,13
1590873801,13
1590873804,13
1590873807,13
1590873810,13
1590873813,13
1590873816,13
1590873819,13
1590873822,13
1590873825,13
1590873828,14
1590873831,14
1590873834,14
1590873837,14
1590873840,14
1590873843,14
1590873846,14
1590873849,14
1590873852,14
1590873855,14
1590873858,14
1590873861,14
1590873864,14
1590873867,14
1590873870,14
1590873873,14
1590873876,14
1590873879,14
1590873882,14
1590873885,15
1590873888,15
1590873891,15
1590873894,15
1590873897,15
1590873900,15
1590873903,15
1590873906,15
1590873909,15
1590873912,15
1590873915,15
1590873918,15
1590873921,15
1590873924,16
1590873927,16
1590873930,16
1590873933,16
1590873936,16
1590873939,16
1590873942,16
1590873945,16
1590873948,16
1590873951,16
1590873954,16
1590873957,16
1590873960,16
1590873963,16
1590873966,16
1590873969,16
1590873972,16
1590873975,16
1590873978,16
1590873981,16
1590873984,16
1590873987,18
1590873990,18
1590873993,18
1590873996,18
1590873999,18
1590874002,18
1590874005,18
1590874008,18
1590874011,18
1590874014,18
1590874017,18
1590874020,18
1590874023,18
1590874026,18
1590874029,18
1590874032,18
1590874035,18
1590874038,18
1590874041,18
1590874044,18
1590874047,18
1590874050,18
1590874053,18
1590874056,18
1590874059,18
1590874062,18
1590874065,18
1590874068,18
1590874071,18
1590874074,18
1590874077,18
1590874080,18
1590874083,18
1590874086,18
1590874089,18
1590874092,18
1590874095,18
1590874098,18
1590874101,18
1590874104,18
1590874107,18
1590874110,18
1590874113,18
1590874116,18
