t,value
1590873117,0
1590873120,0
1590873123,0
1590873126,0
1590873129,0
1590873132,0
1590873135,0
1590873138,0
1590873141,0
1590873144,0
1590873147,0
1590873150,0
1590873153,0
1590873156,0
1590873159,0
1590873162,0
1590873165,0
1590873168,0
1590873171,0
1590873174,0
1590873177,0
1590873180,0
1590873183,0
1590873186,0
1590873189,0
1590873192,0
1590873195,0
1590873198,0
1590873201,0
1590873204,0
1590873207,0
1590873210,0
1590873213,0
1590873216,0
1590873219,0
1590873222,0
1590873225,0
1590873228,0
1590873231,0
1590873234,0
1590873237,0
1590873240,0
1590873243,0
1590873246,0
1590873249,0
1590873252,0
1590873255,0
1590873258,0
1590873261,0
1590873264,0
1590873267,0
1590873270,0
1590873273,0
1590873276,0
1590873279,0
1590873282,0
1590873285,0
1590873288,0
1590873291,0
1590873294,0
1590873297,0
1590873300,0
1590873303,0
1590873306,0
1590873309,0
1590873312,0
1590873315,0
1590873318,0
1590873321,0
1590873324,0
1590873327,0
1590873330,0
1590873333,0
1590873336,0
1590873339,0
1590873342,0
1590873345,0
1590873348,0
1590873351,0
1590873354,0
1590873357,0
1590873360,0
1590873363,0
1590873366,0
1590873369,0
1590873372,0
1590873375,0
1590873378,0
1590873381,0
1590873384,0
1590873387,0
1590873390,0
1590873393,0
1590873396,0
1590873399,0
1590873402,0
1590873405,0
1590873408,0
1590873411,0
1590873414,0
1590873417,0
1590873420,0
1590873423,0
1590873426,0
1590873429,0
1590873432,0
1590873435,0
1590873438,0
1590873441,0
1590873444,0
1590873447,0
1590873450,0
1590873453,0
1590873456,0
1590873459,0
1590873462,0
1590873465,0
1590873468,0
1590873471,0
1590873474,0
1590873477,0
1590873480,0
1590873483,0
1590873486,0
1590873489,0
1590873492,0
1590873495,0
1590873498,0
1590873501,0
1590873504,0
1590873507,0
1590873510,0
1590873513,0
1590873516,0
1590873519,0
1590873522,0
1590873525,0
1590873528,0
1590873531,0
1590873534,0
1590873537,0
1590873540,0
1590873543,0
1590873546,0
1590873549,0
1590873552,0
1590873555,0
1590873558,0
1590873561,0
1590873564,0
1590873567,0
1590873570,0
1590873573,0
1590873576,0
1590873579,0
1590873582,0
1590873585,0
1590873588,0
1590873591,0
1590873594,0
1590873597,0
1590873600,0
1590873603,0
1590873606,0
1590873609,0
1590873612,0
1590873615,0
1590873618,0
1590873621,0
1590873624,0
1590873627,0
1590873630,0
1590873633,0
1590873636,0
1590873639,0
1590873642,0
1590873645,0
1590873648,0
1590873651,0
1590873654,0
1590873657,0
1590873660,0
1590873663,0
1590873666,0
1590873669,0
1590873672,0
1590873675,0
1590873678,0
1590873681,0
1590873684,0
1590873687,0
1590873690,0
1590873693,0
1590873696,0
1590873699,0
1590873702,0
1590873705,0
1590873708,0
1590873711,0
1590873714,0
1590873717,0
1590873720,0
1590873723,0
1590873726,0
1590873729,0
1590873732,0
1590873735,0
1590873738,0
1590873741,0
1590873744,0
1590873747,0
1590873750,0
1590873753,0
1590873756,0
1590873759,0
1590873762,0
1590873765,0
1590873768,0
1590873771,0
1590873774,0
1590873777,0
1590873780,0
1590873783,0
1590873786,0
1590873789,0
1590873792,0
1590873795,0
1590873798,0
1590873801,0
1590873804,0
1590873807,0
1590873810,0
1590873813,0
1590873816,0
1590873819,0
1590873822,0
1590873825,0
1590873828,1
1590873831,1
1590873834,1
1590873837,1
1590873840,1
1590873843,1
1590873846,1
1590873849,1
1590873852,1
1590873855,1
1590873858,1
1590873861,1
1590873864,1
1590873867,1
1590873870,1
1590873873,1
1590873876,1
1590873879,1
1590873882,1
1590873885,1
1590873888,1
1590873891,1
1590873894,1
1590873897,1
1590873900,1
1590873903,1
1590873906,1
1590873909,1
1590873912,1
1590873915,1
1590873918,1
1590873921,1
1590873924,1
1590873927,1
1590873930,1
1590873933,1
1590873936,1
1590873939,1
1590873942,1
1590873945,1
1590873948,1
1590873951,1
1590873954,1
1590873957,1
1590873960,1
1590873963,1
1590873966,1
1590873969,1
1590873972,1
1590873975,1
1590873978,1
1590873981,1
1590873984,1
1590873987,1
1590873990,1
1590873993,1
1590873996,1
1590873999,1
1590874002,1
1590874005,1
1590874008,1
1590874011,1
1590874014,1
1590874017,1
1590874020,1
1590874023,1
1590874026,1
1590874029,1
1590874032,1
1590874035,1
1590874038,1
1590874041,1
1590874044,1
1590874047,1
1590874050,1
1590874053,1
1590874056,1
1590874059,1
1590874062,1
1590874065,1
1590874068,1
1590874071,1
1590874074,1
1590874077,1
1590874080,1
1590874083,1
1590874086,1
1590874089,1
1590874092,1
1590874095,1
1590874098,1
1590874101,1
1590874104,1
1590874107,1
1590874110,1
1590874113,1
1590874116,1
