t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,64,10.919262,0.000000,0.000000,0.000000,events/second
1590873120,64,7.249355,0.000000,0.000000,0.000000,events/second
1590873123,64,5.407642,0.000000,0.000000,0.000000,events/second
1590873126,64,4.321774,0.000000,0.000000,0.000000,events/second
1590873129,64,3.594180,0.000000,0.000000,0.000000,events/second
1590873132,64,3.074049,0.000000,0.000000,0.000000,events/second
1590873135,64,2.687569,0.000000,0.000000,0.000000,events/second
1590873138,626,23.340473,0.000000,0.000000,0.000000,events/second
1590873141,626,20.991238,0.000000,0.000000,0.000000,events/second
1590873144,626,19.047775,0.000000,0.000000,0.000000,events/second
1590873147,626,17.485408,0.000000,0.000000,0.000000,events/second
1590873150,626,16.129751,0.000000,0.000000,0.000000,events/second
1590873153,626,14.972080,0.000000,0.000000,0.000000,events/second
1590873156,626,13.967828,0.000000,0.000000,0.000000,events/second
1590873159,863,18.050984,0.000000,0.000000,0.000000,events/second
1590873162,863,16.983374,0.000000,0.000000,0.000000,events/second
1590873165,863,16.035079,0.000000,0.000000,0.000000,events/second
1590873168,1100,19.360628,0.000000,0.000000,0.000000,events/second
1590873171,1100,18.391339,0.000000,0.000000,0.000000,events/second
1590873174,1100,17.514232,0.000000,0.000000,0.000000,events/second
1590873177,1100,16.714346,0.000000,0.000000,0.000000,events/second
1590873180,1337,19.428947,0.000000,0.000000,0.000000,events/second
1590873183,1337,18.618147,0.000000,0.000000,0.000000,events/second
1590873186,1337,17.871316,0.000000,0.000000,0.000000,events/second
1590873189,1337,17.182240,0.000000,0.000000,0.000000,events/second
1590873192,1612,19.946658,0.000000,0.000000,0.000000,events/second
1590873195,1612,19.231635,0.000000,0.000000,0.000000,events/second
1590873198,1612,18.570720,0.000000,0.000000,0.000000,events/second
1590873201,1612,17.948174,0.000000,0.000000,0.000000,events/second
1590873204,1612,17.368349,0.000000,0.000000,0.000000,events/second
1590873207,1612,16.823524,0.000000,0.000000,0.000000,events/second
1590873210,1612,16.312778,0.000000,0.000000,0.000000,events/second
1590873213,1612,15.832873,0.000000,0.000000,0.000000,events/second
1590873216,1612,15.379524,0.000000,0.000000,0.000000,events/second
1590873219,1612,14.952134,0.000000,0.000000,0.000000,events/second
1590873222,1612,14.538829,0.000000,0.000000,0.000000,events/second
1590873225,1612,14.163764,0.000000,0.000000,0.000000,events/second
1590873228,1612,13.800226,0.000000,0.000000,0.000000,events/second
1590873231,1612,13.452674,0.000000,0.000000,0.000000,events/second
1590873234,1612,13.126942,0.000000,0.000000,0.000000,events/second
1590873237,1612,12.812095,0.000000,0.000000,0.000000,events/second
1590873240,1612,12.514565,0.000000,0.000000,0.000000,events/second
1590873243,1612,12.229234,0.000000,0.000000,0.000000,events/second
1590873246,1612,11.957056,0.000000,0.000000,0.000000,events/second
1590873249,1612,11.696724,0.000000,0.000000,0.000000,events/second
1590873252,1612,11.447640,0.000000,0.000000,0.000000,events/second
1590873255,1612,11.208739,0.000000,0.000000,0.000000,events/second
1590873258,1612,10.979525,0.000000,0.000000,0.000000,events/second
1590873261,1612,10.760550,0.000000,0.000000,0.000000,events/second
1590873264,1612,10.548746,0.000000,0.000000,0.000000,events/second
1590873267,1612,10.345420,0.000000,0.000000,0.000000,events/second
1590873270,1612,10.150497,0.000000,0.000000,0.000000,events/second
1590873273,1612,9.962185,0.000000,0.000000,0.000000,events/second
1590873276,1612,9.780884,0.000000,0.000000,0.000000,events/second
1590873279,1612,9.606020,0.000000,0.000000,0.000000,events/second
1590873282,1612,9.437508,0.000000,0.000000,0.000000,events/second
1590873285,1612,9.274526,0.000000,0.000000,0.000000,events/second
1590873288,1612,9.117042,0.000000,0.000000,0.000000,events/second
1590873291,1612,8.965026,0.000000,0.000000,0.000000,events/second
1590873294,1612,8.817747,0.000000,0.000000,0.000000,events/second
1590873297,1612,8.675647,0.000000,0.000000,0.000000,events/second
1590873300,1612,8.537684,0.000000,0.000000,0.000000,events/second
1590873303,1612,8.404215,0.000000,0.000000,0.000000,events/second
1590873306,1612,8.274746,0.000000,0.000000,0.000000,events/second
1590873309,1612,8.149306,0.000000,0.000000,0.000000,events/second
1590873312,1612,8.027588,0.000000,0.000000,0.000000,events/second
1590873315,1612,7.909344,0.000000,0.000000,0.000000,events/second
1590873318,2049,9.907716,0.000000,0.000000,0.000000,events/second
1590873321,2744,13.075207,0.000000,0.000000,0.000000,events/second
1590873324,2744,12.894068,0.000000,0.000000,0.000000,events/second
1590873327,2744,12.711305,0.000000,0.000000,0.000000,events/second
1590873330,2744,12.540674,0.000000,0.000000,0.000000,events/second
1590873333,2744,12.370941,0.000000,0.000000,0.000000,events/second
1590873336,2744,12.205744,0.000000,0.000000,0.000000,events/second
1590873339,2744,12.045128,0.000000,0.000000,0.000000,events/second
1590873342,2744,11.888618,0.000000,0.000000,0.000000,events/second
1590873345,2744,11.736022,0.000000,0.000000,0.000000,events/second
1590873348,2744,11.587193,0.000000,0.000000,0.000000,events/second
1590873351,2744,11.442380,0.000000,0.000000,0.000000,events/second
1590873354,2744,11.300963,0.000000,0.000000,0.000000,events/second
1590873357,2744,11.163101,0.000000,0.000000,0.000000,events/second
1590873360,2744,11.028073,0.000000,0.000000,0.000000,events/second
1590873363,2744,10.897065,0.000000,0.000000,0.000000,events/second
1590873366,2744,10.768884,0.000000,0.000000,0.000000,events/second
1590873369,2744,10.643344,0.000000,0.000000,0.000000,events/second
1590873372,2744,10.520983,0.000000,0.000000,0.000000,events/second
1590873375,2744,10.401503,0.000000,0.000000,0.000000,events/second
1590873378,2744,10.282767,0.000000,0.000000,0.000000,events/second
1590873381,3183,11.797145,0.000000,0.000000,0.000000,events/second
1590873384,3183,11.667752,0.000000,0.000000,0.000000,events/second
1590873387,3183,11.540491,0.000000,0.000000,0.000000,events/second
1590873390,3183,11.416448,0.000000,0.000000,0.000000,events/second
1590873393,3183,11.294910,0.000000,0.000000,0.000000,events/second
1590873396,3183,11.175677,0.000000,0.000000,0.000000,events/second
1590873399,3183,11.059298,0.000000,0.000000,0.000000,events/second
1590873402,3183,10.945197,0.000000,0.000000,0.000000,events/second
1590873405,3183,10.833535,0.000000,0.000000,0.000000,events/second
1590873408,3183,10.724008,0.000000,0.000000,0.000000,events/second
1590873411,3183,10.616791,0.000000,0.000000,0.000000,events/second
1590873414,3183,10.511529,0.000000,0.000000,0.000000,events/second
1590873417,3183,10.408454,0.000000,0.000000,0.000000,events/second
1590873420,3183,10.307166,0.000000,0.000000,0.000000,events/second
1590873423,3183,10.208114,0.000000,0.000000,0.000000,events/second
1590873426,3183,10.111047,0.000000,0.000000,0.000000,events/second
1590873429,3183,10.015488,0.000000,0.000000,0.000000,events/second
1590873432,3183,9.921751,0.000000,0.000000,0.000000,events/second
1590873435,3183,9.829957,0.000000,0.000000,0.000000,events/second
1590873438,3183,9.739655,0.000000,0.000000,0.000000,events/second
1590873441,3183,9.651033,0.000000,0.000000,0.000000,events/second
1590873444,3183,9.564054,0.000000,0.000000,0.000000,events/second
1590873447,3183,9.478327,0.000000,0.000000,0.000000,events/second
1590873450,3183,9.394701,0.000000,0.000000,0.000000,events/second
1590873453,3183,9.312373,0.000000,0.000000,0.000000,events/second
1590873456,3622,10.504420,0.000000,0.000000,0.000000,events/second
1590873459,3622,10.413541,0.000000,0.000000,0.000000,events/second
1590873462,3622,10.324761,0.000000,0.000000,0.000000,events/second
1590873465,3622,10.237212,0.000000,0.000000,0.000000,events/second
1590873468,3622,10.151121,0.000000,0.000000,0.000000,events/second
1590873471,3622,10.066443,0.000000,0.000000,0.000000,events/second
1590873474,3622,9.983228,0.000000,0.000000,0.000000,events/second
1590873477,3622,9.901384,0.000000,0.000000,0.000000,events/second
1590873480,3622,9.820775,0.000000,0.000000,0.000000,events/second
1590873483,3622,9.741589,0.000000,0.000000,0.000000,events/second
1590873486,3622,9.663628,0.000000,0.000000,0.000000,events/second
1590873489,3622,9.586633,0.000000,0.000000,0.000000,events/second
1590873492,3622,9.511284,0.000000,0.000000,0.000000,events/second
1590873495,3622,9.436864,0.000000,0.000000,0.000000,events/second
1590873498,3622,9.363586,0.000000,0.000000,0.000000,events/second
1590873501,3622,9.291717,0.000000,0.000000,0.000000,events/second
1590873504,3622,9.220827,0.000000,0.000000,0.000000,events/second
1590873507,3622,9.151051,0.000000,0.000000,0.000000,events/second
1590873510,3622,9.082034,0.000000,0.000000,0.000000,events/second
1590873513,3622,9.014268,0.000000,0.000000,0.000000,events/second
1590873516,3622,8.947444,0.000000,0.000000,0.000000,events/second
1590873519,3622,8.881607,0.000000,0.000000,0.000000,events/second
1590873522,3622,8.816861,0.000000,0.000000,0.000000,events/second
1590873525,3622,8.752754,0.000000,0.000000,0.000000,events/second
1590873528,3622,8.689929,0.000000,0.000000,0.000000,events/second
