t,value
1590873117,810923
1590873120,810923
1590873123,810923
1590873126,810923
1590873129,810923
1590873132,810923
1590873135,810923
1590873138,810923
1590873141,810923
1590873144,810923
1590873147,810923
1590873150,810923
1590873153,810923
1590873156,810923
1590873159,810923
1590873162,810923
1590873165,810923
1590873168,810923
1590873171,810923
1590873174,810923
1590873177,810923
1590873180,810923
1590873183,810923
1590873186,810923
1590873189,810923
1590873192,810923
1590873195,810923
1590873198,810923
1590873201,810923
1590873204,810923
1590873207,810923
1590873210,810923
1590873213,810923
1590873216,810923
1590873219,810923
1590873222,810923
1590873225,810923
1590873228,810923
1590873231,810923
1590873234,810923
1590873237,810923
1590873240,810923
1590873243,810923
1590873246,810923
1590873249,810923
1590873252,810923
1590873255,810923
1590873258,810923
1590873261,810923
1590873264,810923
1590873267,810923
1590873270,810923
1590873273,810923
1590873276,810923
1590873279,810923
1590873282,810923
1590873285,810923
1590873288,810923
1590873291,810923
1590873294,810923
1590873297,810923
1590873300,810923
1590873303,810923
1590873306,810923
1590873309,810923
1590873312,810923
1590873315,810923
1590873318,810923
1590873321,810923
1590873324,810923
1590873327,810923
1590873330,810923
1590873333,810923
1590873336,810923
1590873339,810923
1590873342,810923
1590873345,810923
1590873348,810923
1590873351,810923
1590873354,810923
1590873357,810923
1590873360,810923
1590873363,810923
1590873366,810923
1590873369,810923
1590873372,810923
1590873375,810923
1590873378,810923
1590873381,810923
1590873384,810923
1590873387,810923
1590873390,810923
1590873393,810923
1590873396,810923
1590873399,810923
1590873402,810923
1590873405,810923
1590873408,810923
1590873411,810923
1590873414,810923
1590873417,810923
1590873420,810923
1590873423,810923
1590873426,810923
1590873429,810923
1590873432,810923
1590873435,810923
1590873438,810923
1590873441,810923
1590873444,810923
1590873447,810923
1590873450,810923
1590873453,810923
1590873456,810923
1590873459,810923
1590873462,810923
1590873465,810923
1590873468,810923
1590873471,810923
1590873474,810923
1590873477,810923
1590873480,810923
1590873483,810923
1590873486,810923
1590873489,810923
1590873492,810923
1590873495,810923
1590873498,810923
1590873501,810923
1590873504,810923
1590873507,810923
1590873510,810923
1590873513,810923
1590873516,810923
1590873519,810923
1590873522,810923
1590873525,810923
1590873528,810923
1590873531,810923
1590873534,810923
1590873537,810923
1590873540,810923
1590873543,810923
1590873546,810923
1590873549,810923
1590873552,810923
1590873555,810923
1590873558,810923
1590873561,810923
1590873564,810923
1590873567,810923
1590873570,810923
1590873573,810923
1590873576,810923
1590873579,810923
1590873582,810923
1590873585,810923
1590873588,810923
1590873591,810923
1590873594,810923
1590873597,810923
1590873600,810923
1590873603,810923
1590873606,810923
1590873609,810923
1590873612,810923
1590873615,810923
1590873618,810923
1590873621,810923
1590873624,810923
1590873627,810923
1590873630,810923
1590873633,810923
1590873636,810923
1590873639,810923
1590873642,810923
1590873645,810923
1590873648,810923
1590873651,810923
1590873654,810923
1590873657,810923
1590873660,810923
1590873663,810923
1590873666,810923
1590873669,810923
1590873672,810923
1590873675,810923
1590873678,810923
1590873681,810923
1590873684,810923
1590873687,810923
1590873690,810923
1590873693,810923
1590873696,810923
1590873699,810923
1590873702,810923
1590873705,810923
1590873708,810923
1590873711,810923
1590873714,823617
1590873717,823617
1590873720,823617
1590873723,823617
1590873726,823617
1590873729,823617
1590873732,823617
1590873735,823617
1590873738,823617
1590873741,823617
1590873744,823617
1590873747,823617
1590873750,823617
1590873753,823617
1590873756,823617
1590873759,823617
1590873762,823617
1590873765,823617
1590873768,823617
1590873771,823617
1590873774,823617
1590873777,823617
1590873780,823617
1590873783,823617
1590873786,823617
1590873789,823617
1590873792,823617
1590873795,823617
1590873798,823617
1590873801,823617
1590873804,823617
1590873807,823617
1590873810,823617
1590873813,823617
1590873816,823617
1590873819,823617
1590873822,823617
1590873825,823617
1590873828,823617
1590873831,823617
1590873834,823617
1590873837,823617
1590873840,823617
1590873843,823617
1590873846,823617
1590873849,823617
1590873852,823617
1590873855,823617
1590873858,823617
1590873861,823617
1590873864,823617
1590873867,823617
1590873870,823617
1590873873,823617
1590873876,823617
1590873879,823617
1590873882,823617
1590873885,823617
1590873888,823617
1590873891,823617
1590873894,823617
1590873897,823617
1590873900,823617
1590873903,823617
1590873906,823617
1590873909,823617
1590873912,823617
1590873915,823617
1590873918,823617
1590873921,823617
1590873924,823617
1590873927,823617
1590873930,823617
1590873933,823617
1590873936,823617
1590873939,823617
1590873942,823617
1590873945,823617
1590873948,823617
1590873951,823617
1590873954,823617
1590873957,823617
1590873960,823617
1590873963,823617
1590873966,823617
1590873969,823617
1590873972,823617
1590873975,823617
1590873978,823617
1590873981,823617
1590873984,823617
1590873987,823617
1590873990,823617
1590873993,823617
1590873996,823617
1590873999,823617
1590874002,823617
1590874005,823617
1590874008,823617
1590874011,823617
1590874014,823617
1590874017,823617
1590874020,823617
1590874023,823617
1590874026,823617
1590874029,823617
1590874032,823617
1590874035,823617
1590874038,823617
1590874041,823617
1590874044,823617
1590874047,823617
1590874050,823617
1590874053,823617
1590874056,823617
1590874059,823617
1590874062,823617
1590874065,823617
1590874068,823617
1590874071,823617
1590874074,823617
1590874077,823617
1590874080,823617
1590874083,823617
1590874086,823617
1590874089,823617
1590874092,823617
1590874095,823617
1590874098,823617
1590874101,823617
1590874104,823617
1590874107,823617
1590874110,823617
1590874113,823617
1590874116,823617
