t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873123,6,0.506911,0.000000,0.000000,0.000000,events/second
1590873126,6,0.405142,0.000000,0.000000,0.000000,events/second
1590873129,8,0.449254,0.000000,0.000000,0.000000,events/second
1590873132,10,0.480294,0.000000,0.000000,0.000000,events/second
1590873135,10,0.419913,0.000000,0.000000,0.000000,events/second
1590873138,15,0.559257,0.000000,0.000000,0.000000,events/second
1590873141,15,0.502967,0.000000,0.000000,0.000000,events/second
1590873144,17,0.517256,0.000000,0.000000,0.000000,events/second
1590873147,18,0.502770,0.000000,0.000000,0.000000,events/second
1590873150,19,0.489544,0.000000,0.000000,0.000000,events/second
1590873153,19,0.454416,0.000000,0.000000,0.000000,events/second
1590873156,19,0.423936,0.000000,0.000000,0.000000,events/second
1590873159,21,0.439242,0.000000,0.000000,0.000000,events/second
1590873162,22,0.432942,0.000000,0.000000,0.000000,events/second
1590873165,23,0.427349,0.000000,0.000000,0.000000,events/second
1590873168,27,0.475209,0.000000,0.000000,0.000000,events/second
1590873171,28,0.468138,0.000000,0.000000,0.000000,events/second
1590873174,30,0.477657,0.000000,0.000000,0.000000,events/second
1590873177,31,0.471035,0.000000,0.000000,0.000000,events/second
1590873180,34,0.494074,0.000000,0.000000,0.000000,events/second
1590873183,34,0.473455,0.000000,0.000000,0.000000,events/second
1590873186,34,0.454464,0.000000,0.000000,0.000000,events/second
1590873189,38,0.488347,0.000000,0.000000,0.000000,events/second
1590873192,40,0.494950,0.000000,0.000000,0.000000,events/second
1590873195,40,0.477205,0.000000,0.000000,0.000000,events/second
1590873198,40,0.460810,0.000000,0.000000,0.000000,events/second
1590873201,40,0.445361,0.000000,0.000000,0.000000,events/second
1590873204,40,0.430974,0.000000,0.000000,0.000000,events/second
1590873207,41,0.427892,0.000000,0.000000,0.000000,events/second
1590873210,41,0.414900,0.000000,0.000000,0.000000,events/second
1590873213,41,0.402694,0.000000,0.000000,0.000000,events/second
1590873216,41,0.391164,0.000000,0.000000,0.000000,events/second
1590873219,41,0.380294,0.000000,0.000000,0.000000,events/second
1590873222,41,0.369779,0.000000,0.000000,0.000000,events/second
1590873225,41,0.360240,0.000000,0.000000,0.000000,events/second
1590873228,44,0.376679,0.000000,0.000000,0.000000,events/second
1590873231,44,0.367189,0.000000,0.000000,0.000000,events/second
1590873234,44,0.358302,0.000000,0.000000,0.000000,events/second
1590873237,44,0.349708,0.000000,0.000000,0.000000,events/second
1590873240,44,0.341587,0.000000,0.000000,0.000000,events/second
1590873243,44,0.333799,0.000000,0.000000,0.000000,events/second
1590873246,44,0.326369,0.000000,0.000000,0.000000,events/second
1590873249,45,0.326520,0.000000,0.000000,0.000000,events/second
1590873252,45,0.319567,0.000000,0.000000,0.000000,events/second
1590873255,45,0.312897,0.000000,0.000000,0.000000,events/second
