t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873123,6,0.506901,0.000000,0.000000,0.000000,events/second
1590873126,6,0.405132,0.000000,0.000000,0.000000,events/second
1590873129,8,0.449251,0.000000,0.000000,0.000000,events/second
1590873132,10,0.480288,0.000000,0.000000,0.000000,events/second
1590873135,10,0.419909,0.000000,0.000000,0.000000,events/second
1590873138,11,0.410119,0.000000,0.000000,0.000000,events/second
1590873141,11,0.368839,0.000000,0.000000,0.000000,events/second
1590873144,13,0.395546,0.000000,0.000000,0.000000,events/second
1590873147,14,0.391043,0.000000,0.000000,0.000000,events/second
1590873150,15,0.386481,0.000000,0.000000,0.000000,events/second
1590873153,15,0.358749,0.000000,0.000000,0.000000,events/second
1590873156,15,0.334685,0.000000,0.000000,0.000000,events/second
1590873159,16,0.334659,0.000000,0.000000,0.000000,events/second
1590873162,17,0.334545,0.000000,0.000000,0.000000,events/second
1590873165,18,0.334446,0.000000,0.000000,0.000000,events/second
1590873168,21,0.369606,0.000000,0.000000,0.000000,events/second
1590873171,22,0.367822,0.000000,0.000000,0.000000,events/second
1590873174,24,0.382126,0.000000,0.000000,0.000000,events/second
1590873177,25,0.379865,0.000000,0.000000,0.000000,events/second
1590873180,27,0.392352,0.000000,0.000000,0.000000,events/second
1590873183,27,0.375978,0.000000,0.000000,0.000000,events/second
1590873186,27,0.360898,0.000000,0.000000,0.000000,events/second
1590873189,31,0.398387,0.000000,0.000000,0.000000,events/second
1590873192,32,0.395959,0.000000,0.000000,0.000000,events/second
1590873195,32,0.381763,0.000000,0.000000,0.000000,events/second
1590873198,32,0.368648,0.000000,0.000000,0.000000,events/second
1590873201,32,0.356288,0.000000,0.000000,0.000000,events/second
1590873204,32,0.344778,0.000000,0.000000,0.000000,events/second
1590873207,33,0.344400,0.000000,0.000000,0.000000,events/second
1590873210,33,0.333943,0.000000,0.000000,0.000000,events/second
1590873213,33,0.324119,0.000000,0.000000,0.000000,events/second
1590873216,33,0.314839,0.000000,0.000000,0.000000,events/second
1590873219,33,0.306090,0.000000,0.000000,0.000000,events/second
1590873222,33,0.297626,0.000000,0.000000,0.000000,events/second
1590873225,33,0.289949,0.000000,0.000000,0.000000,events/second
1590873228,36,0.308191,0.000000,0.000000,0.000000,events/second
1590873231,36,0.300426,0.000000,0.000000,0.000000,events/second
1590873234,36,0.293156,0.000000,0.000000,0.000000,events/second
1590873237,36,0.286124,0.000000,0.000000,0.000000,events/second
1590873240,36,0.279480,0.000000,0.000000,0.000000,events/second
1590873243,36,0.273108,0.000000,0.000000,0.000000,events/second
1590873246,36,0.267029,0.000000,0.000000,0.000000,events/second
1590873249,37,0.268472,0.000000,0.000000,0.000000,events/second
1590873252,37,0.262754,0.000000,0.000000,0.000000,events/second
1590873255,37,0.257271,0.000000,0.000000,0.000000,events/second
