t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873123,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873126,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873129,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873132,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873135,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873138,4,0.149133,0.000000,0.000000,0.000000,events/second
1590873141,4,0.134122,0.000000,0.000000,0.000000,events/second
1590873144,4,0.121706,0.000000,0.000000,0.000000,events/second
1590873147,4,0.111726,0.000000,0.000000,0.000000,events/second
1590873150,4,0.103061,0.000000,0.000000,0.000000,events/second
1590873153,4,0.095666,0.000000,0.000000,0.000000,events/second
1590873156,4,0.089249,0.000000,0.000000,0.000000,events/second
1590873159,5,0.104581,0.000000,0.000000,0.000000,events/second
1590873162,5,0.098395,0.000000,0.000000,0.000000,events/second
1590873165,5,0.092901,0.000000,0.000000,0.000000,events/second
1590873168,6,0.105601,0.000000,0.000000,0.000000,events/second
1590873171,6,0.100315,0.000000,0.000000,0.000000,events/second
1590873174,6,0.095531,0.000000,0.000000,0.000000,events/second
1590873177,6,0.091167,0.000000,0.000000,0.000000,events/second
1590873180,7,0.101720,0.000000,0.000000,0.000000,events/second
1590873183,7,0.097476,0.000000,0.000000,0.000000,events/second
1590873186,7,0.093566,0.000000,0.000000,0.000000,events/second
1590873189,7,0.089958,0.000000,0.000000,0.000000,events/second
1590873192,8,0.098990,0.000000,0.000000,0.000000,events/second
1590873195,8,0.095441,0.000000,0.000000,0.000000,events/second
1590873198,8,0.092162,0.000000,0.000000,0.000000,events/second
1590873201,8,0.089072,0.000000,0.000000,0.000000,events/second
1590873204,8,0.086194,0.000000,0.000000,0.000000,events/second
1590873207,8,0.083491,0.000000,0.000000,0.000000,events/second
1590873210,8,0.080956,0.000000,0.000000,0.000000,events/second
1590873213,8,0.078574,0.000000,0.000000,0.000000,events/second
1590873216,8,0.076325,0.000000,0.000000,0.000000,events/second
1590873219,8,0.074203,0.000000,0.000000,0.000000,events/second
1590873222,8,0.072152,0.000000,0.000000,0.000000,events/second
1590873225,8,0.070291,0.000000,0.000000,0.000000,events/second
1590873228,8,0.068487,0.000000,0.000000,0.000000,events/second
1590873231,8,0.066761,0.000000,0.000000,0.000000,events/second
1590873234,8,0.065146,0.000000,0.000000,0.000000,events/second
1590873237,8,0.063583,0.000000,0.000000,0.000000,events/second
1590873240,8,0.062107,0.000000,0.000000,0.000000,events/second
1590873243,8,0.060691,0.000000,0.000000,0.000000,events/second
1590873246,8,0.059340,0.000000,0.000000,0.000000,events/second
1590873249,8,0.058048,0.000000,0.000000,0.000000,events/second
1590873252,8,0.056812,0.000000,0.000000,0.000000,events/second
1590873255,8,0.055626,0.000000,0.000000,0.000000,events/second
