t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,1,0.170388,0.000000,0.000000,0.000000,events/second
1590873120,1,0.113248,0.000000,0.000000,0.000000,events/second
1590873123,1,0.084481,0.000000,0.000000,0.000000,events/second
1590873126,1,0.067520,0.000000,0.000000,0.000000,events/second
1590873129,1,0.056155,0.000000,0.000000,0.000000,events/second
1590873132,1,0.048028,0.000000,0.000000,0.000000,events/second
1590873135,1,0.041990,0.000000,0.000000,0.000000,events/second
1590873138,5,0.186415,0.000000,0.000000,0.000000,events/second
1590873141,5,0.167651,0.000000,0.000000,0.000000,events/second
1590873144,5,0.152131,0.000000,0.000000,0.000000,events/second
1590873147,5,0.139658,0.000000,0.000000,0.000000,events/second
1590873150,5,0.128826,0.000000,0.000000,0.000000,events/second
1590873153,5,0.119582,0.000000,0.000000,0.000000,events/second
1590873156,5,0.111561,0.000000,0.000000,0.000000,events/second
1590873159,6,0.125497,0.000000,0.000000,0.000000,events/second
1590873162,6,0.118074,0.000000,0.000000,0.000000,events/second
1590873165,6,0.111481,0.000000,0.000000,0.000000,events/second
1590873168,7,0.123201,0.000000,0.000000,0.000000,events/second
1590873171,7,0.117034,0.000000,0.000000,0.000000,events/second
1590873174,7,0.111453,0.000000,0.000000,0.000000,events/second
1590873177,7,0.106362,0.000000,0.000000,0.000000,events/second
1590873180,8,0.116252,0.000000,0.000000,0.000000,events/second
1590873183,8,0.111401,0.000000,0.000000,0.000000,events/second
1590873186,8,0.106932,0.000000,0.000000,0.000000,events/second
1590873189,8,0.102809,0.000000,0.000000,0.000000,events/second
1590873192,9,0.111363,0.000000,0.000000,0.000000,events/second
1590873195,9,0.107370,0.000000,0.000000,0.000000,events/second
1590873198,9,0.103682,0.000000,0.000000,0.000000,events/second
1590873201,9,0.100206,0.000000,0.000000,0.000000,events/second
1590873204,9,0.096969,0.000000,0.000000,0.000000,events/second
1590873207,9,0.093927,0.000000,0.000000,0.000000,events/second
1590873210,9,0.091075,0.000000,0.000000,0.000000,events/second
1590873213,9,0.088396,0.000000,0.000000,0.000000,events/second
1590873216,9,0.085865,0.000000,0.000000,0.000000,events/second
1590873219,9,0.083479,0.000000,0.000000,0.000000,events/second
1590873222,9,0.081170,0.000000,0.000000,0.000000,events/second
1590873225,9,0.079077,0.000000,0.000000,0.000000,events/second
1590873228,9,0.077048,0.000000,0.000000,0.000000,events/second
1590873231,9,0.075106,0.000000,0.000000,0.000000,events/second
1590873234,9,0.073289,0.000000,0.000000,0.000000,events/second
1590873237,9,0.071531,0.000000,0.000000,0.000000,events/second
1590873240,9,0.069870,0.000000,0.000000,0.000000,events/second
1590873243,9,0.068277,0.000000,0.000000,0.000000,events/second
1590873246,9,0.066757,0.000000,0.000000,0.000000,events/second
1590873249,9,0.065304,0.000000,0.000000,0.000000,events/second
1590873252,9,0.063913,0.000000,0.000000,0.000000,events/second
1590873255,9,0.062579,0.000000,0.000000,0.000000,events/second
1590873258,9,0.061300,0.000000,0.000000,0.000000,events/second
1590873261,9,0.060077,0.000000,0.000000,0.000000,events/second
1590873264,9,0.058895,0.000000,0.000000,0.000000,events/second
1590873267,9,0.057759,0.000000,0.000000,0.000000,events/second
1590873270,9,0.056671,0.000000,0.000000,0.000000,events/second
1590873273,9,0.055620,0.000000,0.000000,0.000000,events/second
1590873276,9,0.054608,0.000000,0.000000,0.000000,events/second
1590873279,9,0.053631,0.000000,0.000000,0.000000,events/second
1590873282,9,0.052690,0.000000,0.000000,0.000000,events/second
1590873285,9,0.051780,0.000000,0.000000,0.000000,events/second
1590873288,9,0.050901,0.000000,0.000000,0.000000,events/second
1590873291,9,0.050053,0.000000,0.000000,0.000000,events/second
1590873294,9,0.049230,0.000000,0.000000,0.000000,events/second
1590873297,9,0.048437,0.000000,0.000000,0.000000,events/second
1590873300,9,0.047667,0.000000,0.000000,0.000000,events/second
1590873303,9,0.046922,0.000000,0.000000,0.000000,events/second
1590873306,9,0.046199,0.000000,0.000000,0.000000,events/second
1590873309,9,0.045498,0.000000,0.000000,0.000000,events/second
1590873312,9,0.044819,0.000000,0.000000,0.000000,events/second
1590873315,9,0.044159,0.000000,0.000000,0.000000,events/second
1590873318,12,0.058025,0.000000,0.000000,0.000000,events/second
1590873321,17,0.081005,0.000000,0.000000,0.000000,events/second
1590873324,17,0.079882,0.000000,0.000000,0.000000,events/second
1590873327,17,0.078750,0.000000,0.000000,0.000000,events/second
1590873330,17,0.077693,0.000000,0.000000,0.000000,events/second
1590873333,17,0.076642,0.000000,0.000000,0.000000,events/second
1590873336,17,0.075618,0.000000,0.000000,0.000000,events/second
1590873339,17,0.074623,0.000000,0.000000,0.000000,events/second
1590873342,17,0.073654,0.000000,0.000000,0.000000,events/second
1590873345,17,0.072708,0.000000,0.000000,0.000000,events/second
1590873348,17,0.071786,0.000000,0.000000,0.000000,events/second
1590873351,17,0.070889,0.000000,0.000000,0.000000,events/second
1590873354,17,0.070013,0.000000,0.000000,0.000000,events/second
1590873357,17,0.069159,0.000000,0.000000,0.000000,events/second
1590873360,17,0.068322,0.000000,0.000000,0.000000,events/second
1590873363,17,0.067511,0.000000,0.000000,0.000000,events/second
1590873366,17,0.066717,0.000000,0.000000,0.000000,events/second
1590873369,17,0.065939,0.000000,0.000000,0.000000,events/second
1590873372,17,0.065181,0.000000,0.000000,0.000000,events/second
1590873375,17,0.064441,0.000000,0.000000,0.000000,events/second
1590873378,17,0.063705,0.000000,0.000000,0.000000,events/second
1590873381,18,0.066713,0.000000,0.000000,0.000000,events/second
1590873384,18,0.065981,0.000000,0.000000,0.000000,events/second
1590873387,18,0.065262,0.000000,0.000000,0.000000,events/second
1590873390,18,0.064560,0.000000,0.000000,0.000000,events/second
1590873393,18,0.063873,0.000000,0.000000,0.000000,events/second
1590873396,18,0.063199,0.000000,0.000000,0.000000,events/second
1590873399,18,0.062541,0.000000,0.000000,0.000000,events/second
1590873402,18,0.061895,0.000000,0.000000,0.000000,events/second
1590873405,18,0.061264,0.000000,0.000000,0.000000,events/second
1590873408,18,0.060644,0.000000,0.000000,0.000000,events/second
1590873411,18,0.060038,0.000000,0.000000,0.000000,events/second
1590873414,18,0.059443,0.000000,0.000000,0.000000,events/second
1590873417,18,0.058860,0.000000,0.000000,0.000000,events/second
1590873420,18,0.058287,0.000000,0.000000,0.000000,events/second
1590873423,18,0.057727,0.000000,0.000000,0.000000,events/second
1590873426,18,0.057178,0.000000,0.000000,0.000000,events/second
1590873429,18,0.056638,0.000000,0.000000,0.000000,events/second
1590873432,18,0.056108,0.000000,0.000000,0.000000,events/second
1590873435,18,0.055589,0.000000,0.000000,0.000000,events/second
1590873438,18,0.055078,0.000000,0.000000,0.000000,events/second
1590873441,18,0.054577,0.000000,0.000000,0.000000,events/second
1590873444,18,0.054085,0.000000,0.000000,0.000000,events/second
1590873447,18,0.053600,0.000000,0.000000,0.000000,events/second
1590873450,18,0.053127,0.000000,0.000000,0.000000,events/second
1590873453,18,0.052662,0.000000,0.000000,0.000000,events/second
1590873456,19,0.055103,0.000000,0.000000,0.000000,events/second
1590873459,19,0.054626,0.000000,0.000000,0.000000,events/second
1590873462,19,0.054161,0.000000,0.000000,0.000000,events/second
1590873465,19,0.053701,0.000000,0.000000,0.000000,events/second
1590873468,19,0.053250,0.000000,0.000000,0.000000,events/second
1590873471,19,0.052806,0.000000,0.000000,0.000000,events/second
1590873474,19,0.052369,0.000000,0.000000,0.000000,events/second
1590873477,19,0.051940,0.000000,0.000000,0.000000,events/second
1590873480,19,0.051517,0.000000,0.000000,0.000000,events/second
1590873483,19,0.051102,0.000000,0.000000,0.000000,events/second
1590873486,19,0.050693,0.000000,0.000000,0.000000,events/second
1590873489,19,0.050289,0.000000,0.000000,0.000000,events/second
1590873492,19,0.049893,0.000000,0.000000,0.000000,events/second
1590873495,19,0.049503,0.000000,0.000000,0.000000,events/second
1590873498,19,0.049118,0.000000,0.000000,0.000000,events/second
1590873501,19,0.048742,0.000000,0.000000,0.000000,events/second
1590873504,19,0.048370,0.000000,0.000000,0.000000,events/second
1590873507,19,0.048004,0.000000,0.000000,0.000000,events/second
1590873510,19,0.047642,0.000000,0.000000,0.000000,events/second
1590873513,19,0.047286,0.000000,0.000000,0.000000,events/second
1590873516,19,0.046936,0.000000,0.000000,0.000000,events/second
1590873519,19,0.046590,0.000000,0.000000,0.000000,events/second
1590873522,19,0.046251,0.000000,0.000000,0.000000,events/second
1590873525,19,0.045914,0.000000,0.000000,0.000000,events/second
1590873528,19,0.045585,0.000000,0.000000,0.000000,events/second
1590873531,19,0.045258,0.000000,0.000000,0.000000,events/second
1590873534,19,0.044937,0.000000,0.000000,0.000000,events/second
1590873537,19,0.044621,0.000000,0.000000,0.000000,events/second
1590873540,19,0.044308,0.000000,0.000000,0.000000,events/second
1590873543,19,0.044001,0.000000,0.000000,0.000000,events/second
1590873546,19,0.043697,0.000000,0.000000,0.000000,events/second
1590873549,19,0.043398,0.000000,0.000000,0.000000,events/second
1590873552,19,0.043103,0.000000,0.000000,0.000000,events/second
1590873555,19,0.042811,0.000000,0.000000,0.000000,events/second
1590873558,19,0.042523,0.000000,0.000000,0.000000,events/second
1590873561,19,0.042240,0.000000,0.000000,0.000000,events/second
1590873564,19,0.041960,0.000000,0.000000,0.000000,events/second
1590873567,20,0.043878,0.000000,0.000000,0.000000,events/second
1590873570,20,0.043592,0.000000,0.000000,0.000000,events/second
1590873573,20,0.043308,0.000000,0.000000,0.000000,events/second
1590873576,20,0.043029,0.000000,0.000000,0.000000,events/second
1590873579,20,0.042753,0.000000,0.000000,0.000000,events/second
1590873582,20,0.042481,0.000000,0.000000,0.000000,events/second
1590873585,20,0.042212,0.000000,0.000000,0.000000,events/second
1590873588,20,0.041945,0.000000,0.000000,0.000000,events/second
1590873591,20,0.041683,0.000000,0.000000,0.000000,events/second
1590873594,20,0.041424,0.000000,0.000000,0.000000,events/second
1590873597,20,0.041169,0.000000,0.000000,0.000000,events/second
1590873600,20,0.040915,0.000000,0.000000,0.000000,events/second
1590873603,20,0.040666,0.000000,0.000000,0.000000,events/second
1590873606,20,0.040420,0.000000,0.000000,0.000000,events/second
1590873609,20,0.040176,0.000000,0.000000,0.000000,events/second
1590873612,20,0.039935,0.000000,0.000000,0.000000,events/second
1590873615,20,0.039698,0.000000,0.000000,0.000000,events/second
1590873618,20,0.039462,0.000000,0.000000,0.000000,events/second
1590873621,20,0.039230,0.000000,0.000000,0.000000,events/second
1590873624,20,0.039001,0.000000,0.000000,0.000000,events/second
1590873627,20,0.038774,0.000000,0.000000,0.000000,events/second
1590873630,20,0.038550,0.000000,0.000000,0.000000,events/second
1590873633,20,0.038328,0.000000,0.000000,0.000000,events/second
1590873636,20,0.038109,0.000000,0.000000,0.000000,events/second
1590873639,20,0.037893,0.000000,0.000000,0.000000,events/second
1590873642,20,0.037678,0.000000,0.000000,0.000000,events/second
1590873645,20,0.037466,0.000000,0.000000,0.000000,events/second
1590873648,20,0.037258,0.000000,0.000000,0.000000,events/second
1590873651,20,0.037050,0.000000,0.000000,0.000000,events/second
1590873654,20,0.036845,0.000000,0.000000,0.000000,events/second
1590873657,20,0.036643,0.000000,0.000000,0.000000,events/second
1590873660,20,0.036442,0.000000,0.000000,0.000000,events/second
1590873663,20,0.036244,0.000000,0.000000,0.000000,events/second
1590873666,20,0.036048,0.000000,0.000000,0.000000,events/second
1590873669,20,0.035854,0.000000,0.000000,0.000000,events/second
1590873672,20,0.035663,0.000000,0.000000,0.000000,events/second
1590873675,20,0.035473,0.000000,0.000000,0.000000,events/second
1590873678,20,0.035286,0.000000,0.000000,0.000000,events/second
1590873681,20,0.035099,0.000000,0.000000,0.000000,events/second
1590873684,20,0.034915,0.000000,0.000000,0.000000,events/second
1590873687,20,0.034734,0.000000,0.000000,0.000000,events/second
1590873690,20,0.034553,0.000000,0.000000,0.000000,events/second
1590873693,20,0.034376,0.000000,0.000000,0.000000,events/second
1590873696,20,0.034199,0.000000,0.000000,0.000000,events/second
1590873699,20,0.034024,0.000000,0.000000,0.000000,events/second
1590873702,20,0.033852,0.000000,0.000000,0.000000,events/second
1590873705,20,0.033681,0.000000,0.000000,0.000000,events/second
1590873708,20,0.033511,0.000000,0.000000,0.000000,events/second
1590873711,20,0.033344,0.000000,0.000000,0.000000,events/second
1590873714,20,0.033178,0.000000,0.000000,0.000000,events/second
1590873717,20,0.033014,0.000000,0.000000,0.000000,events/second
1590873720,20,0.032851,0.000000,0.000000,0.000000,events/second
1590873723,20,0.032690,0.000000,0.000000,0.000000,events/second
1590873726,20,0.032530,0.000000,0.000000,0.000000,events/second
1590873729,20,0.032372,0.000000,0.000000,0.000000,events/second
1590873732,20,0.032216,0.000000,0.000000,0.000000,events/second
1590873735,20,0.032061,0.000000,0.000000,0.000000,events/second
1590873738,20,0.031908,0.000000,0.000000,0.000000,events/second
1590873741,20,0.031756,0.000000,0.000000,0.000000,events/second
1590873744,20,0.031605,0.000000,0.000000,0.000000,events/second
1590873747,20,0.031456,0.000000,0.000000,0.000000,events/second
1590873750,20,0.031308,0.000000,0.000000,0.000000,events/second
1590873753,20,0.031162,0.000000,0.000000,0.000000,events/second
1590873756,20,0.031017,0.000000,0.000000,0.000000,events/second
1590873759,20,0.030873,0.000000,0.000000,0.000000,events/second
1590873762,20,0.030731,0.000000,0.000000,0.000000,events/second
1590873765,20,0.030590,0.000000,0.000000,0.000000,events/second
1590873768,20,0.030450,0.000000,0.000000,0.000000,events/second
1590873771,20,0.030312,0.000000,0.000000,0.000000,events/second
1590873774,20,0.030174,0.000000,0.000000,0.000000,events/second
1590873777,20,0.030039,0.000000,0.000000,0.000000,events/second
1590873780,20,0.029904,0.000000,0.000000,0.000000,events/second
1590873783,20,0.029770,0.000000,0.000000,0.000000,events/second
1590873786,20,0.029638,0.000000,0.000000,0.000000,events/second
1590873789,20,0.029507,0.000000,0.000000,0.000000,events/second
1590873792,20,0.029377,0.000000,0.000000,0.000000,events/second
1590873795,20,0.029248,0.000000,0.000000,0.000000,events/second
1590873798,20,0.029120,0.000000,0.000000,0.000000,events/second
1590873801,20,0.028993,0.000000,0.000000,0.000000,events/second
1590873804,20,0.028868,0.000000,0.000000,0.000000,events/second
1590873807,20,0.028744,0.000000,0.000000,0.000000,events/second
1590873810,20,0.028620,0.000000,0.000000,0.000000,events/second
1590873813,20,0.028498,0.000000,0.000000,0.000000,events/second
1590873816,20,0.028376,0.000000,0.000000,0.000000,events/second
1590873819,20,0.028256,0.000000,0.000000,0.000000,events/second
1590873822,20,0.028137,0.000000,0.000000,0.000000,events/second
1590873825,20,0.028019,0.000000,0.000000,0.000000,events/second
1590873828,23,0.032087,0.000000,0.000000,0.000000,events/second
1590873831,23,0.031953,0.000000,0.000000,0.000000,events/second
1590873834,23,0.031820,0.000000,0.000000,0.000000,events/second
1590873837,23,0.031689,0.000000,0.000000,0.000000,events/second
1590873840,23,0.031558,0.000000,0.000000,0.000000,events/second
1590873843,23,0.031429,0.000000,0.000000,0.000000,events/second
1590873846,23,0.031301,0.000000,0.000000,0.000000,events/second
1590873849,23,0.031173,0.000000,0.000000,0.000000,events/second
1590873852,23,0.031047,0.000000,0.000000,0.000000,events/second
1590873855,23,0.030922,0.000000,0.000000,0.000000,events/second
1590873858,23,0.030798,0.000000,0.000000,0.000000,events/second
1590873861,23,0.030674,0.000000,0.000000,0.000000,events/second
1590873864,23,0.030553,0.000000,0.000000,0.000000,events/second
1590873867,23,0.030431,0.000000,0.000000,0.000000,events/second
1590873870,23,0.030310,0.000000,0.000000,0.000000,events/second
1590873873,23,0.030191,0.000000,0.000000,0.000000,events/second
1590873876,23,0.030073,0.000000,0.000000,0.000000,events/second
1590873879,23,0.029955,0.000000,0.000000,0.000000,events/second
1590873882,23,0.029838,0.000000,0.000000,0.000000,events/second
1590873885,24,0.031015,0.000000,0.000000,0.000000,events/second
1590873888,24,0.030896,0.000000,0.000000,0.000000,events/second
1590873891,24,0.030777,0.000000,0.000000,0.000000,events/second
1590873894,24,0.030659,0.000000,0.000000,0.000000,events/second
1590873897,24,0.030542,0.000000,0.000000,0.000000,events/second
1590873900,24,0.030426,0.000000,0.000000,0.000000,events/second
1590873903,24,0.030310,0.000000,0.000000,0.000000,events/second
1590873906,24,0.030196,0.000000,0.000000,0.000000,events/second
1590873909,24,0.030082,0.000000,0.000000,0.000000,events/second
1590873912,24,0.029970,0.000000,0.000000,0.000000,events/second
1590873915,24,0.029858,0.000000,0.000000,0.000000,events/second
1590873918,24,0.029747,0.000000,0.000000,0.000000,events/second
1590873921,24,0.029637,0.000000,0.000000,0.000000,events/second
1590873924,25,0.030757,0.000000,0.000000,0.000000,events/second
1590873927,25,0.030645,0.000000,0.000000,0.000000,events/second
1590873930,25,0.030532,0.000000,0.000000,0.000000,events/second
1590873933,25,0.030421,0.000000,0.000000,0.000000,events/second
1590873936,25,0.030310,0.000000,0.000000,0.000000,events/second
1590873939,25,0.030200,0.000000,0.000000,0.000000,events/second
1590873942,25,0.030091,0.000000,0.000000,0.000000,events/second
1590873945,25,0.029983,0.000000,0.000000,0.000000,events/second
1590873948,25,0.029875,0.000000,0.000000,0.000000,events/second
1590873951,25,0.029769,0.000000,0.000000,0.000000,events/second
1590873954,25,0.029663,0.000000,0.000000,0.000000,events/second
1590873957,25,0.029557,0.000000,0.000000,0.000000,events/second
1590873960,25,0.029453,0.000000,0.000000,0.000000,events/second
1590873963,25,0.029349,0.000000,0.000000,0.000000,events/second
1590873966,25,0.029246,0.000000,0.000000,0.000000,events/second
1590873969,25,0.029144,0.000000,0.000000,0.000000,events/second
1590873972,25,0.029042,0.000000,0.000000,0.000000,events/second
1590873975,25,0.028942,0.000000,0.000000,0.000000,events/second
1590873978,25,0.028841,0.000000,0.000000,0.000000,events/second
1590873981,25,0.028742,0.000000,0.000000,0.000000,events/second
1590873984,25,0.028643,0.000000,0.000000,0.000000,events/second
1590873987,26,0.029687,0.000000,0.000000,0.000000,events/second
1590873990,26,0.029585,0.000000,0.000000,0.000000,events/second
1590873993,26,0.029485,0.000000,0.000000,0.000000,events/second
1590873996,26,0.029385,0.000000,0.000000,0.000000,events/second
1590873999,26,0.029286,0.000000,0.000000,0.000000,events/second
1590874002,26,0.029187,0.000000,0.000000,0.000000,events/second
1590874005,26,0.029089,0.000000,0.000000,0.000000,events/second
1590874008,26,0.028992,0.000000,0.000000,0.000000,events/second
1590874011,26,0.028895,0.000000,0.000000,0.000000,events/second
1590874014,26,0.028799,0.000000,0.000000,0.000000,events/second
1590874017,26,0.028704,0.000000,0.000000,0.000000,events/second
1590874020,26,0.028609,0.000000,0.000000,0.000000,events/second
1590874023,26,0.028515,0.000000,0.000000,0.000000,events/second
1590874026,26,0.028421,0.000000,0.000000,0.000000,events/second
1590874029,26,0.028328,0.000000,0.000000,0.000000,events/second
1590874032,26,0.028236,0.000000,0.000000,0.000000,events/second
1590874035,26,0.028144,0.000000,0.000000,0.000000,events/second
1590874038,26,0.028053,0.000000,0.000000,0.000000,events/second
1590874041,26,0.027963,0.000000,0.000000,0.000000,events/second
1590874044,26,0.027873,0.000000,0.000000,0.000000,events/second
1590874047,26,0.027784,0.000000,0.000000,0.000000,events/second
1590874050,26,0.027695,0.000000,0.000000,0.000000,events/second
1590874053,26,0.027606,0.000000,0.000000,0.000000,events/second
1590874056,26,0.027519,0.000000,0.000000,0.000000,events/second
