t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,1,0.113239,0.000000,0.000000,0.000000,events/second
1590873123,1,0.084477,0.000000,0.000000,0.000000,events/second
1590873126,1,0.067512,0.000000,0.000000,0.000000,events/second
1590873129,2,0.112308,0.000000,0.000000,0.000000,events/second
1590873132,2,0.096053,0.000000,0.000000,0.000000,events/second
1590873135,2,0.083978,0.000000,0.000000,0.000000,events/second
1590873138,2,0.074564,0.000000,0.000000,0.000000,events/second
1590873141,2,0.067059,0.000000,0.000000,0.000000,events/second
1590873144,2,0.060852,0.000000,0.000000,0.000000,events/second
1590873147,2,0.055863,0.000000,0.000000,0.000000,events/second
1590873150,2,0.051530,0.000000,0.000000,0.000000,events/second
1590873153,2,0.047832,0.000000,0.000000,0.000000,events/second
1590873156,2,0.044624,0.000000,0.000000,0.000000,events/second
1590873159,2,0.041831,0.000000,0.000000,0.000000,events/second
1590873162,2,0.039358,0.000000,0.000000,0.000000,events/second
1590873165,2,0.037160,0.000000,0.000000,0.000000,events/second
1590873168,2,0.035200,0.000000,0.000000,0.000000,events/second
1590873171,2,0.033438,0.000000,0.000000,0.000000,events/second
1590873174,2,0.031844,0.000000,0.000000,0.000000,events/second
1590873177,2,0.030388,0.000000,0.000000,0.000000,events/second
1590873180,2,0.029063,0.000000,0.000000,0.000000,events/second
1590873183,2,0.027850,0.000000,0.000000,0.000000,events/second
1590873186,2,0.026733,0.000000,0.000000,0.000000,events/second
1590873189,2,0.025702,0.000000,0.000000,0.000000,events/second
1590873192,2,0.024747,0.000000,0.000000,0.000000,events/second
1590873195,2,0.023860,0.000000,0.000000,0.000000,events/second
1590873198,2,0.023040,0.000000,0.000000,0.000000,events/second
1590873201,2,0.022268,0.000000,0.000000,0.000000,events/second
1590873204,2,0.021549,0.000000,0.000000,0.000000,events/second
1590873207,2,0.020873,0.000000,0.000000,0.000000,events/second
1590873210,2,0.020239,0.000000,0.000000,0.000000,events/second
1590873213,2,0.019643,0.000000,0.000000,0.000000,events/second
1590873216,2,0.019081,0.000000,0.000000,0.000000,events/second
1590873219,2,0.018551,0.000000,0.000000,0.000000,events/second
1590873222,2,0.018038,0.000000,0.000000,0.000000,events/second
1590873225,2,0.017573,0.000000,0.000000,0.000000,events/second
1590873228,2,0.017122,0.000000,0.000000,0.000000,events/second
1590873231,2,0.016690,0.000000,0.000000,0.000000,events/second
1590873234,2,0.016286,0.000000,0.000000,0.000000,events/second
1590873237,2,0.015896,0.000000,0.000000,0.000000,events/second
1590873240,2,0.015527,0.000000,0.000000,0.000000,events/second
1590873243,2,0.015173,0.000000,0.000000,0.000000,events/second
1590873246,2,0.014835,0.000000,0.000000,0.000000,events/second
1590873249,2,0.014512,0.000000,0.000000,0.000000,events/second
1590873252,2,0.014203,0.000000,0.000000,0.000000,events/second
1590873255,2,0.013906,0.000000,0.000000,0.000000,events/second
1590873258,2,0.013622,0.000000,0.000000,0.000000,events/second
1590873261,2,0.013350,0.000000,0.000000,0.000000,events/second
