t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,1,0.113207,0.000000,0.000000,0.000000,events/second
1590873123,6,0.506831,0.000000,0.000000,0.000000,events/second
1590873126,6,0.405045,0.000000,0.000000,0.000000,events/second
1590873129,10,0.561522,0.000000,0.000000,0.000000,events/second
1590873132,12,0.576295,0.000000,0.000000,0.000000,events/second
1590873135,12,0.503848,0.000000,0.000000,0.000000,events/second
1590873138,18,0.671059,0.000000,0.000000,0.000000,events/second
1590873141,18,0.603505,0.000000,0.000000,0.000000,events/second
1590873144,20,0.608497,0.000000,0.000000,0.000000,events/second
1590873147,22,0.614486,0.000000,0.000000,0.000000,events/second
1590873150,23,0.592586,0.000000,0.000000,0.000000,events/second
1590873153,23,0.550064,0.000000,0.000000,0.000000,events/second
1590873156,23,0.513168,0.000000,0.000000,0.000000,events/second
1590873159,26,0.543798,0.000000,0.000000,0.000000,events/second
1590873162,27,0.531323,0.000000,0.000000,0.000000,events/second
1590873165,28,0.520236,0.000000,0.000000,0.000000,events/second
1590873168,34,0.598394,0.000000,0.000000,0.000000,events/second
1590873171,35,0.585159,0.000000,0.000000,0.000000,events/second
1590873174,37,0.589105,0.000000,0.000000,0.000000,events/second
1590873177,38,0.577365,0.000000,0.000000,0.000000,events/second
1590873180,42,0.610310,0.000000,0.000000,0.000000,events/second
1590873183,42,0.584840,0.000000,0.000000,0.000000,events/second
1590873186,42,0.561387,0.000000,0.000000,0.000000,events/second
1590873189,47,0.603996,0.000000,0.000000,0.000000,events/second
1590873192,50,0.618675,0.000000,0.000000,0.000000,events/second
1590873195,50,0.596490,0.000000,0.000000,0.000000,events/second
1590873198,50,0.576009,0.000000,0.000000,0.000000,events/second
1590873201,50,0.556693,0.000000,0.000000,0.000000,events/second
1590873204,50,0.538710,0.000000,0.000000,0.000000,events/second
1590873207,52,0.542688,0.000000,0.000000,0.000000,events/second
1590873210,52,0.526207,0.000000,0.000000,0.000000,events/second
1590873213,52,0.510727,0.000000,0.000000,0.000000,events/second
1590873216,52,0.496107,0.000000,0.000000,0.000000,events/second
1590873219,52,0.482317,0.000000,0.000000,0.000000,events/second
1590873222,52,0.468973,0.000000,0.000000,0.000000,events/second
1590873225,52,0.456883,0.000000,0.000000,0.000000,events/second
1590873228,56,0.479404,0.000000,0.000000,0.000000,events/second
1590873231,56,0.467320,0.000000,0.000000,0.000000,events/second
1590873234,56,0.456019,0.000000,0.000000,0.000000,events/second
1590873237,56,0.445077,0.000000,0.000000,0.000000,events/second
1590873240,56,0.434742,0.000000,0.000000,0.000000,events/second
1590873243,56,0.424829,0.000000,0.000000,0.000000,events/second
1590873246,56,0.415374,0.000000,0.000000,0.000000,events/second
