t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,243,79.180459,0.000000,0.000000,0.000000,events/second
1590873120,243,40.344074,0.000000,0.000000,0.000000,events/second
1590873123,243,26.917082,0.000000,0.000000,0.000000,events/second
1590873126,243,20.245520,0.000000,0.000000,0.000000,events/second
1590873129,243,16.199646,0.000000,0.000000,0.000000,events/second
1590873132,243,13.490585,0.000000,0.000000,0.000000,events/second
1590873135,243,11.567769,0.000000,0.000000,0.000000,events/second
1590873138,243,10.119510,0.000000,0.000000,0.000000,events/second
1590873141,243,8.994740,0.000000,0.000000,0.000000,events/second
1590873144,243,8.084473,0.000000,0.000000,0.000000,events/second
1590873147,243,7.365610,0.000000,0.000000,0.000000,events/second
1590873150,243,6.749490,0.000000,0.000000,0.000000,events/second
1590873153,243,6.230317,0.000000,0.000000,0.000000,events/second
1590873156,243,5.784445,0.000000,0.000000,0.000000,events/second
1590873159,243,5.399849,0.000000,0.000000,0.000000,events/second
1590873162,243,5.061884,0.000000,0.000000,0.000000,events/second
1590873165,243,4.763678,0.000000,0.000000,0.000000,events/second
1590873168,243,4.499324,0.000000,0.000000,0.000000,events/second
1590873171,243,4.262995,0.000000,0.000000,0.000000,events/second
1590873174,243,4.050271,0.000000,0.000000,0.000000,events/second
1590873177,243,3.856796,0.000000,0.000000,0.000000,events/second
1590873180,243,3.681431,0.000000,0.000000,0.000000,events/second
1590873183,243,3.521508,0.000000,0.000000,0.000000,events/second
1590873186,243,3.374813,0.000000,0.000000,0.000000,events/second
1590873189,243,3.239809,0.000000,0.000000,0.000000,events/second
1590873192,243,3.115094,0.000000,0.000000,0.000000,events/second
1590873195,243,2.999479,0.000000,0.000000,0.000000,events/second
1590873198,243,2.893097,0.000000,0.000000,0.000000,events/second
1590873201,243,2.792929,0.000000,0.000000,0.000000,events/second
1590873204,243,2.699899,0.000000,0.000000,0.000000,events/second
1590873207,243,2.612675,0.000000,0.000000,0.000000,events/second
1590873210,243,2.530988,0.000000,0.000000,0.000000,events/second
1590873213,243,2.454418,0.000000,0.000000,0.000000,events/second
1590873216,243,2.382234,0.000000,0.000000,0.000000,events/second
1590873219,243,2.314235,0.000000,0.000000,0.000000,events/second
1590873222,243,2.248525,0.000000,0.000000,0.000000,events/second
1590873225,243,2.189104,0.000000,0.000000,0.000000,events/second
1590873228,243,2.131561,0.000000,0.000000,0.000000,events/second
1590873231,243,2.076526,0.000000,0.000000,0.000000,events/second
1590873234,243,2.025160,0.000000,0.000000,0.000000,events/second
1590873237,243,1.975416,0.000000,0.000000,0.000000,events/second
1590873240,243,1.928549,0.000000,0.000000,0.000000,events/second
1590873243,243,1.883619,0.000000,0.000000,0.000000,events/second
1590873246,243,1.840801,0.000000,0.000000,0.000000,events/second
1590873249,243,1.799895,0.000000,0.000000,0.000000,events/second
1590873252,243,1.760784,0.000000,0.000000,0.000000,events/second
1590873255,243,1.723295,0.000000,0.000000,0.000000,events/second
1590873258,243,1.687382,0.000000,0.000000,0.000000,events/second
1590873261,243,1.653079,0.000000,0.000000,0.000000,events/second
1590873264,243,1.619939,0.000000,0.000000,0.000000,events/second
1590873267,243,1.588132,0.000000,0.000000,0.000000,events/second
1590873270,243,1.557677,0.000000,0.000000,0.000000,events/second
1590873273,243,1.528266,0.000000,0.000000,0.000000,events/second
1590873276,243,1.499975,0.000000,0.000000,0.000000,events/second
1590873279,243,1.472687,0.000000,0.000000,0.000000,events/second
1590873282,243,1.446433,0.000000,0.000000,0.000000,events/second
1590873285,243,1.421044,0.000000,0.000000,0.000000,events/second
1590873288,243,1.396521,0.000000,0.000000,0.000000,events/second
1590873291,243,1.372871,0.000000,0.000000,0.000000,events/second
1590873294,243,1.349959,0.000000,0.000000,0.000000,events/second
1590873297,243,1.327874,0.000000,0.000000,0.000000,events/second
1590873300,243,1.306442,0.000000,0.000000,0.000000,events/second
1590873303,243,1.285713,0.000000,0.000000,0.000000,events/second
1590873306,243,1.265612,0.000000,0.000000,0.000000,events/second
1590873309,243,1.246151,0.000000,0.000000,0.000000,events/second
1590873312,243,1.227280,0.000000,0.000000,0.000000,events/second
1590873315,243,1.208949,0.000000,0.000000,0.000000,events/second
1590873318,243,1.191187,0.000000,0.000000,0.000000,events/second
1590873321,243,1.173612,0.000000,0.000000,0.000000,events/second
1590873324,243,1.157120,0.000000,0.000000,0.000000,events/second
1590873327,243,1.140511,0.000000,0.000000,0.000000,events/second
1590873330,243,1.125003,0.000000,0.000000,0.000000,events/second
1590873333,243,1.109581,0.000000,0.000000,0.000000,events/second
1590873336,243,1.094573,0.000000,0.000000,0.000000,events/second
1590873339,243,1.079994,0.000000,0.000000,0.000000,events/second
1590873342,243,1.065787,0.000000,0.000000,0.000000,events/second
1590873345,243,1.051942,0.000000,0.000000,0.000000,events/second
1590873348,243,1.038440,0.000000,0.000000,0.000000,events/second
1590873351,243,1.025306,0.000000,0.000000,0.000000,events/second
1590873354,243,1.012487,0.000000,0.000000,0.000000,events/second
1590873357,243,0.999994,0.000000,0.000000,0.000000,events/second
1590873360,243,0.987759,0.000000,0.000000,0.000000,events/second
1590873363,243,0.975895,0.000000,0.000000,0.000000,events/second
1590873366,243,0.964285,0.000000,0.000000,0.000000,events/second
1590873369,243,0.952921,0.000000,0.000000,0.000000,events/second
1590873372,243,0.941847,0.000000,0.000000,0.000000,events/second
1590873375,243,0.931036,0.000000,0.000000,0.000000,events/second
1590873378,243,0.920291,0.000000,0.000000,0.000000,events/second
1590873381,243,0.910094,0.000000,0.000000,0.000000,events/second
1590873384,243,0.900022,0.000000,0.000000,0.000000,events/second
1590873387,243,0.890101,0.000000,0.000000,0.000000,events/second
1590873390,243,0.880436,0.000000,0.000000,0.000000,events/second
1590873393,243,0.870965,0.000000,0.000000,0.000000,events/second
1590873396,243,0.861685,0.000000,0.000000,0.000000,events/second
1590873399,243,0.852621,0.000000,0.000000,0.000000,events/second
1590873402,243,0.843739,0.000000,0.000000,0.000000,events/second
1590873405,243,0.835048,0.000000,0.000000,0.000000,events/second
1590873408,243,0.826525,0.000000,0.000000,0.000000,events/second
1590873411,243,0.818183,0.000000,0.000000,0.000000,events/second
1590873414,243,0.809995,0.000000,0.000000,0.000000,events/second
1590873417,243,0.801979,0.000000,0.000000,0.000000,events/second
1590873420,243,0.794101,0.000000,0.000000,0.000000,events/second
1590873423,243,0.786402,0.000000,0.000000,0.000000,events/second
1590873426,243,0.778858,0.000000,0.000000,0.000000,events/second
1590873429,243,0.771431,0.000000,0.000000,0.000000,events/second
1590873432,243,0.764146,0.000000,0.000000,0.000000,events/second
1590873435,243,0.757016,0.000000,0.000000,0.000000,events/second
1590873438,243,0.750002,0.000000,0.000000,0.000000,events/second
1590873441,243,0.743117,0.000000,0.000000,0.000000,events/second
1590873444,243,0.736363,0.000000,0.000000,0.000000,events/second
1590873447,243,0.729704,0.000000,0.000000,0.000000,events/second
1590873450,243,0.723216,0.000000,0.000000,0.000000,events/second
1590873453,243,0.716829,0.000000,0.000000,0.000000,events/second
1590873456,243,0.710527,0.000000,0.000000,0.000000,events/second
1590873459,243,0.704335,0.000000,0.000000,0.000000,events/second
1590873462,243,0.698279,0.000000,0.000000,0.000000,events/second
1590873465,243,0.692310,0.000000,0.000000,0.000000,events/second
1590873468,243,0.686441,0.000000,0.000000,0.000000,events/second
1590873471,243,0.680668,0.000000,0.000000,0.000000,events/second
1590873474,243,0.675000,0.000000,0.000000,0.000000,events/second
1590873477,243,0.669424,0.000000,0.000000,0.000000,events/second
1590873480,243,0.663930,0.000000,0.000000,0.000000,events/second
1590873483,243,0.658538,0.000000,0.000000,0.000000,events/second
1590873486,243,0.653228,0.000000,0.000000,0.000000,events/second
1590873489,243,0.647981,0.000000,0.000000,0.000000,events/second
1590873492,243,0.642855,0.000000,0.000000,0.000000,events/second
1590873495,243,0.637784,0.000000,0.000000,0.000000,events/second
1590873498,243,0.632789,0.000000,0.000000,0.000000,events/second
1590873501,243,0.627905,0.000000,0.000000,0.000000,events/second
1590873504,243,0.623081,0.000000,0.000000,0.000000,events/second
1590873507,243,0.618334,0.000000,0.000000,0.000000,events/second
1590873510,243,0.613635,0.000000,0.000000,0.000000,events/second
1590873513,243,0.609024,0.000000,0.000000,0.000000,events/second
1590873516,243,0.604478,0.000000,0.000000,0.000000,events/second
1590873519,243,0.599999,0.000000,0.000000,0.000000,events/second
1590873522,243,0.595594,0.000000,0.000000,0.000000,events/second
