t,value
1590873117,0.0
1590873120,1.0
1590873123,1.0
1590873126,1.0
1590873129,1.0
1590873132,1.0
1590873135,1.0
1590873138,0.9553571428571429
1590873141,0.9553571428571429
1590873144,0.9553571428571429
1590873147,0.9576271186440678
1590873150,0.9576271186440678
1590873153,0.9576271186440678
1590873156,0.9576271186440678
1590873159,0.9624060150375939
1590873162,0.9624060150375939
1590873165,0.9624060150375939
1590873168,0.9819494584837545
1590873171,0.9819494584837545
1590873174,0.9869109947643979
1590873177,0.9869109947643979
1590873180,0.9854651162790697
1590873183,0.9850746268656716
1590873186,0.9846625766871165
1590873189,0.9848484848484849
1590873192,0.9855907780979827
1590873195,1.0
1590873198,1.0
1590873201,1.0
1590873204,1.0
1590873207,1.0
1590873210,1.0
1590873213,1.0
1590873216,1.0
1590873219,1.0
1590873222,1.0
1590873225,1.0
1590873228,1.0
1590873231,1.0
1590873234,1.0
1590873237,1.0
1590873240,1.0
1590873243,1.0
1590873246,1.0
1590873249,1.0
1590873252,1.0
1590873255,1.0
1590873258,1.0
1590873261,1.0
1590873264,1.0
1590873267,1.0
1590873270,1.0
1590873273,1.0
1590873276,1.0
1590873279,1.0
1590873282,1.0
1590873285,1.0
1590873288,1.0
1590873291,1.0
1590873294,1.0
1590873297,1.0
1590873300,1.0
1590873303,1.0
1590873306,1.0
1590873309,1.0
1590873312,1.0
1590873315,1.0
1590873318,1.0
1590873321,1.0
1590873324,1.0
1590873327,1.0
1590873330,1.0
1590873333,1.0
1590873336,1.0
1590873339,1.0
1590873342,1.0
1590873345,1.0
1590873348,1.0
1590873351,1.0
1590873354,1.0
1590873357,1.0
1590873360,1.0
1590873363,1.0
1590873366,1.0
1590873369,1.0
1590873372,1.0
1590873375,1.0
1590873378,1.0
1590873381,1.0
1590873384,1.0
1590873387,1.0
1590873390,1.0
1590873393,1.0
1590873396,1.0
1590873399,1.0
1590873402,1.0
1590873405,1.0
1590873408,1.0
1590873411,1.0
1590873414,1.0
1590873417,1.0
1590873420,1.0
1590873423,1.0
1590873426,1.0
1590873429,1.0
1590873432,1.0
1590873435,1.0
1590873438,1.0
1590873441,1.0
1590873444,1.0
1590873447,1.0
1590873450,1.0
1590873453,1.0
1590873456,1.0
1590873459,1.0
1590873462,1.0
1590873465,1.0
1590873468,1.0
1590873471,1.0
1590873474,1.0
1590873477,1.0
1590873480,1.0
1590873483,1.0
1590873486,1.0
1590873489,1.0
1590873492,1.0
1590873495,1.0
1590873498,1.0
1590873501,1.0
1590873504,1.0
1590873507,1.0
1590873510,1.0
1590873513,1.0
1590873516,1.0
1590873519,1.0
1590873522,1.0
1590873525,1.0
1590873528,1.0
1590873531,1.0
1590873534,1.0
1590873537,1.0
1590873540,1.0
1590873543,1.0
1590873546,1.0
1590873549,1.0
1590873552,1.0
1590873555,1.0
1590873558,1.0
1590873561,1.0
1590873564,1.0
1590873567,1.0
1590873570,1.0
1590873573,1.0
1590873576,1.0
1590873579,1.0
1590873582,1.0
1590873585,1.0
1590873588,1.0
1590873591,1.0
1590873594,1.0
1590873597,1.0
1590873600,1.0
1590873603,1.0
1590873606,1.0
1590873609,1.0
1590873612,1.0
1590873615,1.0
1590873618,1.0
1590873621,1.0
1590873624,1.0
1590873627,1.0
1590873630,1.0
1590873633,1.0
1590873636,1.0
1590873639,1.0
1590873642,1.0
1590873645,1.0
1590873648,1.0
1590873651,1.0
1590873654,1.0
1590873657,1.0
1590873660,1.0
1590873663,1.0
1590873666,1.0
1590873669,1.0
1590873672,1.0
1590873675,1.0
1590873678,1.0
1590873681,1.0
1590873684,1.0
1590873687,1.0
1590873690,1.0
1590873693,1.0
1590873696,1.0
1590873699,1.0
1590873702,1.0
1590873705,1.0
1590873708,1.0
1590873711,1.0
1590873714,1.0
1590873717,1.0
1590873720,1.0
1590873723,1.0
1590873726,1.0
1590873729,1.0
1590873732,1.0
1590873735,1.0
1590873738,1.0
1590873741,1.0
1590873744,1.0
1590873747,1.0
1590873750,1.0
1590873753,1.0
1590873756,1.0
1590873759,1.0
1590873762,1.0
1590873765,1.0
1590873768,1.0
1590873771,1.0
1590873774,1.0
1590873777,1.0
1590873780,1.0
1590873783,1.0
1590873786,1.0
1590873789,1.0
1590873792,1.0
1590873795,1.0
1590873798,1.0
1590873801,1.0
1590873804,1.0
1590873807,1.0
1590873810,1.0
1590873813,1.0
1590873816,1.0
1590873819,1.0
1590873822,1.0
1590873825,1.0
1590873828,0.9932432432432432
1590873831,0.9895287958115183
1590873834,0.9932885906040269
1590873837,0.9932885906040269
1590873840,0.9932885906040269
1590873843,0.9932885906040269
1590873846,0.9932885906040269
1590873849,0.9932659932659933
1590873852,0.9932659932659933
1590873855,0.9932659932659933
1590873858,0.9932659932659933
1590873861,0.9932659932659933
1590873864,0.9932659932659933
1590873867,0.9932432432432432
1590873870,0.9932432432432432
1590873873,0.9932432432432432
1590873876,0.9932432432432432
1590873879,0.9932432432432432
1590873882,0.9932432432432432
1590873885,1.0
1590873888,1.0
1590873891,1.0
1590873894,1.0
1590873897,1.0
1590873900,1.0
1590873903,1.0
1590873906,1.0
1590873909,1.0
1590873912,1.0
1590873915,1.0
1590873918,1.0
1590873921,1.0
1590873924,1.0
1590873927,1.0
1590873930,1.0
1590873933,1.0
1590873936,1.0
1590873939,1.0
1590873942,1.0
1590873945,1.0
1590873948,1.0
1590873951,1.0
1590873954,1.0
1590873957,1.0
1590873960,1.0
1590873963,1.0
1590873966,1.0
1590873969,1.0
1590873972,1.0
1590873975,1.0
1590873978,1.0
1590873981,1.0
1590873984,1.0
1590873987,1.0
1590873990,1.0
1590873993,1.0
1590873996,1.0
1590873999,1.0
1590874002,1.0
1590874005,1.0
1590874008,1.0
1590874011,1.0
1590874014,1.0
1590874017,1.0
1590874020,1.0
1590874023,1.0
1590874026,1.0
1590874029,1.0
1590874032,1.0
1590874035,1.0
1590874038,1.0
1590874041,1.0
1590874044,1.0
1590874047,1.0
1590874050,1.0
1590874053,1.0
1590874056,1.0
1590874059,1.0
1590874062,1.0
1590874065,1.0
1590874068,1.0
1590874071,1.0
1590874074,1.0
1590874077,1.0
1590874080,1.0
1590874083,1.0
1590874086,1.0
1590874089,1.0
1590874092,1.0
1590874095,1.0
1590874098,1.0
1590874101,1.0
1590874104,1.0
1590874107,1.0
1590874110,1.0
1590874113,1.0
1590874116,1.0
