t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,1729,563.173728,0.000000,0.000000,0.000000,events/second
1590873120,1782,295.823530,0.000000,0.000000,0.000000,events/second
1590873123,1791,198.375176,0.000000,0.000000,0.000000,events/second
1590873126,1791,149.210212,0.000000,0.000000,0.000000,events/second
1590873129,1800,119.991823,0.000000,0.000000,0.000000,events/second
1590873132,1801,99.980033,0.000000,0.000000,0.000000,events/second
1590873135,1801,85.731775,0.000000,0.000000,0.000000,events/second
1590873138,1836,76.456498,0.000000,0.000000,0.000000,events/second
1590873141,1836,67.958454,0.000000,0.000000,0.000000,events/second
1590873144,1836,61.081391,0.000000,0.000000,0.000000,events/second
1590873147,1842,55.832272,0.000000,0.000000,0.000000,events/second
1590873150,1842,51.161875,0.000000,0.000000,0.000000,events/second
1590873153,1842,47.226618,0.000000,0.000000,0.000000,events/second
1590873156,1842,43.846731,0.000000,0.000000,0.000000,events/second
1590873159,1857,41.264991,0.000000,0.000000,0.000000,events/second
1590873162,1857,38.682323,0.000000,0.000000,0.000000,events/second
1590873165,1857,36.403490,0.000000,0.000000,0.000000,events/second
1590873168,2001,37.049574,0.000000,0.000000,0.000000,events/second
1590873171,2001,35.103559,0.000000,0.000000,0.000000,events/second
1590873174,2106,35.102022,0.000000,0.000000,0.000000,events/second
1590873177,2106,33.425243,0.000000,0.000000,0.000000,events/second
1590873180,2121,32.132692,0.000000,0.000000,0.000000,events/second
1590873183,2121,30.736807,0.000000,0.000000,0.000000,events/second
1590873186,2121,29.456457,0.000000,0.000000,0.000000,events/second
1590873189,2126,28.344773,0.000000,0.000000,0.000000,events/second
1590873192,2143,27.471590,0.000000,0.000000,0.000000,events/second
1590873195,2143,26.451410,0.000000,0.000000,0.000000,events/second
1590873198,2143,25.513874,0.000000,0.000000,0.000000,events/second
1590873201,2143,24.630484,0.000000,0.000000,0.000000,events/second
1590873204,2143,23.810062,0.000000,0.000000,0.000000,events/second
1590873207,2148,23.094636,0.000000,0.000000,0.000000,events/second
1590873210,2148,22.372546,0.000000,0.000000,0.000000,events/second
1590873213,2148,21.695714,0.000000,0.000000,0.000000,events/second
1590873216,2148,21.057665,0.000000,0.000000,0.000000,events/second
1590873219,2148,20.456580,0.000000,0.000000,0.000000,events/second
1590873222,2148,19.875730,0.000000,0.000000,0.000000,events/second
1590873225,2148,19.350495,0.000000,0.000000,0.000000,events/second
1590873228,2285,20.043594,0.000000,0.000000,0.000000,events/second
1590873231,2285,19.526069,0.000000,0.000000,0.000000,events/second
1590873234,2390,19.918162,0.000000,0.000000,0.000000,events/second
1590873237,2390,19.428885,0.000000,0.000000,0.000000,events/second
1590873240,2390,18.967943,0.000000,0.000000,0.000000,events/second
1590873243,2390,18.526046,0.000000,0.000000,0.000000,events/second
1590873246,2390,18.104916,0.000000,0.000000,0.000000,events/second
1590873249,2395,17.739630,0.000000,0.000000,0.000000,events/second
1590873252,2395,17.354154,0.000000,0.000000,0.000000,events/second
1590873255,2395,16.984657,0.000000,0.000000,0.000000,events/second
1590873258,2395,16.630714,0.000000,0.000000,0.000000,events/second
1590873261,2395,16.292624,0.000000,0.000000,0.000000,events/second
1590873264,2395,15.966003,0.000000,0.000000,0.000000,events/second
1590873267,2400,15.685195,0.000000,0.000000,0.000000,events/second
1590873270,2400,15.384405,0.000000,0.000000,0.000000,events/second
1590873273,2400,15.093933,0.000000,0.000000,0.000000,events/second
1590873276,2400,14.814512,0.000000,0.000000,0.000000,events/second
1590873279,2400,14.545008,0.000000,0.000000,0.000000,events/second
1590873282,2400,14.285705,0.000000,0.000000,0.000000,events/second
1590873285,2400,14.034953,0.000000,0.000000,0.000000,events/second
1590873288,2530,14.539863,0.000000,0.000000,0.000000,events/second
1590873291,2530,14.293635,0.000000,0.000000,0.000000,events/second
1590873294,2635,14.638395,0.000000,0.000000,0.000000,events/second
1590873297,2635,14.398922,0.000000,0.000000,0.000000,events/second
1590873300,2635,14.166509,0.000000,0.000000,0.000000,events/second
1590873303,2635,13.941748,0.000000,0.000000,0.000000,events/second
1590873306,2635,13.723777,0.000000,0.000000,0.000000,events/second
1590873309,2640,13.538385,0.000000,0.000000,0.000000,events/second
1590873312,2640,13.333373,0.000000,0.000000,0.000000,events/second
1590873315,2640,13.134225,0.000000,0.000000,0.000000,events/second
1590873318,2661,13.044205,0.000000,0.000000,0.000000,events/second
1590873321,2706,13.069076,0.000000,0.000000,0.000000,events/second
1590873324,2706,12.885427,0.000000,0.000000,0.000000,events/second
1590873327,2711,12.723942,0.000000,0.000000,0.000000,events/second
1590873330,2711,12.550931,0.000000,0.000000,0.000000,events/second
1590873333,2711,12.378873,0.000000,0.000000,0.000000,events/second
1590873336,2711,12.211434,0.000000,0.000000,0.000000,events/second
1590873339,2711,12.048788,0.000000,0.000000,0.000000,events/second
1590873342,2711,11.890287,0.000000,0.000000,0.000000,events/second
1590873345,2711,11.735829,0.000000,0.000000,0.000000,events/second
1590873348,2841,12.140747,0.000000,0.000000,0.000000,events/second
1590873351,2841,11.987195,0.000000,0.000000,0.000000,events/second
1590873354,2946,12.274813,0.000000,0.000000,0.000000,events/second
1590873357,2946,12.123350,0.000000,0.000000,0.000000,events/second
1590873360,2946,11.975023,0.000000,0.000000,0.000000,events/second
1590873363,2946,11.831189,0.000000,0.000000,0.000000,events/second
1590873366,2946,11.690446,0.000000,0.000000,0.000000,events/second
1590873369,2951,11.572277,0.000000,0.000000,0.000000,events/second
1590873372,2951,11.437797,0.000000,0.000000,0.000000,events/second
1590873375,2951,11.306507,0.000000,0.000000,0.000000,events/second
1590873378,2951,11.176016,0.000000,0.000000,0.000000,events/second
1590873381,2968,11.115856,0.000000,0.000000,0.000000,events/second
1590873384,2968,10.992836,0.000000,0.000000,0.000000,events/second
1590873387,2973,10.889974,0.000000,0.000000,0.000000,events/second
1590873390,2973,10.771727,0.000000,0.000000,0.000000,events/second
1590873393,2973,10.655856,0.000000,0.000000,0.000000,events/second
1590873396,2973,10.542322,0.000000,0.000000,0.000000,events/second
1590873399,2973,10.431431,0.000000,0.000000,0.000000,events/second
1590873402,2973,10.322761,0.000000,0.000000,0.000000,events/second
1590873405,2973,10.216428,0.000000,0.000000,0.000000,events/second
1590873408,3103,10.554329,0.000000,0.000000,0.000000,events/second
1590873411,3103,10.447809,0.000000,0.000000,0.000000,events/second
1590873414,3208,10.693247,0.000000,0.000000,0.000000,events/second
1590873417,3208,10.587417,0.000000,0.000000,0.000000,events/second
1590873420,3208,10.483423,0.000000,0.000000,0.000000,events/second
1590873423,3208,10.381784,0.000000,0.000000,0.000000,events/second
1590873426,3208,10.282194,0.000000,0.000000,0.000000,events/second
1590873429,3213,10.200007,0.000000,0.000000,0.000000,events/second
1590873432,3213,10.103690,0.000000,0.000000,0.000000,events/second
1590873435,3213,10.009420,0.000000,0.000000,0.000000,events/second
1590873438,3213,9.916667,0.000000,0.000000,0.000000,events/second
1590873441,3213,9.825640,0.000000,0.000000,0.000000,events/second
1590873444,3213,9.736338,0.000000,0.000000,0.000000,events/second
1590873447,3218,9.663304,0.000000,0.000000,0.000000,events/second
1590873450,3218,9.577384,0.000000,0.000000,0.000000,events/second
1590873453,3218,9.492806,0.000000,0.000000,0.000000,events/second
1590873456,3234,9.456135,0.000000,0.000000,0.000000,events/second
1590873459,3234,9.373733,0.000000,0.000000,0.000000,events/second
1590873462,3234,9.293135,0.000000,0.000000,0.000000,events/second
1590873465,3234,9.213685,0.000000,0.000000,0.000000,events/second
1590873468,3365,9.505641,0.000000,0.000000,0.000000,events/second
1590873471,3365,9.425697,0.000000,0.000000,0.000000,events/second
1590873474,3470,9.638867,0.000000,0.000000,0.000000,events/second
1590873477,3470,9.559252,0.000000,0.000000,0.000000,events/second
1590873480,3470,9.480802,0.000000,0.000000,0.000000,events/second
1590873483,3470,9.403797,0.000000,0.000000,0.000000,events/second
1590873486,3470,9.327978,0.000000,0.000000,0.000000,events/second
1590873489,3475,9.266382,0.000000,0.000000,0.000000,events/second
1590873492,3475,9.193068,0.000000,0.000000,0.000000,events/second
1590873495,3475,9.120559,0.000000,0.000000,0.000000,events/second
1590873498,3475,9.049119,0.000000,0.000000,0.000000,events/second
1590873501,3475,8.979282,0.000000,0.000000,0.000000,events/second
1590873504,3475,8.910304,0.000000,0.000000,0.000000,events/second
1590873507,3480,8.855148,0.000000,0.000000,0.000000,events/second
1590873510,3480,8.787847,0.000000,0.000000,0.000000,events/second
1590873513,3480,8.721817,0.000000,0.000000,0.000000,events/second
1590873516,3480,8.656705,0.000000,0.000000,0.000000,events/second
1590873519,3480,8.592568,0.000000,0.000000,0.000000,events/second
1590873522,3480,8.529485,0.000000,0.000000,0.000000,events/second
1590873525,3480,8.467054,0.000000,0.000000,0.000000,events/second
1590873528,3610,8.719922,0.000000,0.000000,0.000000,events/second
1590873531,3610,8.657030,0.000000,0.000000,0.000000,events/second
1590873534,3715,8.845222,0.000000,0.000000,0.000000,events/second
1590873537,3715,8.782478,0.000000,0.000000,0.000000,events/second
1590873540,3715,8.720597,0.000000,0.000000,0.000000,events/second
1590873543,3715,8.659650,0.000000,0.000000,0.000000,events/second
1590873546,3720,8.611040,0.000000,0.000000,0.000000,events/second
1590873549,3725,8.563227,0.000000,0.000000,0.000000,events/second
1590873552,3725,8.504701,0.000000,0.000000,0.000000,events/second
1590873555,3725,8.446725,0.000000,0.000000,0.000000,events/second
1590873558,3725,8.389559,0.000000,0.000000,0.000000,events/second
1590873561,3725,8.333300,0.000000,0.000000,0.000000,events/second
1590873564,3725,8.277758,0.000000,0.000000,0.000000,events/second
1590873567,3749,8.275918,0.000000,0.000000,0.000000,events/second
1590873570,3757,8.239215,0.000000,0.000000,0.000000,events/second
1590873573,3761,8.193850,0.000000,0.000000,0.000000,events/second
1590873576,3761,8.140767,0.000000,0.000000,0.000000,events/second
1590873579,3761,8.088220,0.000000,0.000000,0.000000,events/second
1590873582,3761,8.036467,0.000000,0.000000,0.000000,events/second
1590873585,3761,7.985308,0.000000,0.000000,0.000000,events/second
1590873588,3891,8.208811,0.000000,0.000000,0.000000,events/second
1590873591,3891,8.157212,0.000000,0.000000,0.000000,events/second
1590873594,3996,8.324991,0.000000,0.000000,0.000000,events/second
1590873597,3996,8.273317,0.000000,0.000000,0.000000,events/second
1590873600,3996,8.222157,0.000000,0.000000,0.000000,events/second
1590873603,3996,8.171772,0.000000,0.000000,0.000000,events/second
1590873606,3996,8.121951,0.000000,0.000000,0.000000,events/second
1590873609,4001,8.082768,0.000000,0.000000,0.000000,events/second
1590873612,4001,8.034147,0.000000,0.000000,0.000000,events/second
