t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,216,70.298209,0.000000,0.000000,0.000000,events/second
1590873120,216,35.844969,0.000000,0.000000,0.000000,events/second
1590873123,216,23.918950,0.000000,0.000000,0.000000,events/second
1590873126,216,17.992239,0.000000,0.000000,0.000000,events/second
1590873129,216,14.397051,0.000000,0.000000,0.000000,events/second
1590873132,216,11.989379,0.000000,0.000000,0.000000,events/second
1590873135,216,10.281059,0.000000,0.000000,0.000000,events/second
1590873138,221,9.202301,0.000000,0.000000,0.000000,events/second
1590873141,221,8.179531,0.000000,0.000000,0.000000,events/second
1590873144,221,7.351881,0.000000,0.000000,0.000000,events/second
1590873147,221,6.698262,0.000000,0.000000,0.000000,events/second
1590873150,221,6.137947,0.000000,0.000000,0.000000,events/second
1590873153,221,5.665874,0.000000,0.000000,0.000000,events/second
1590873156,221,5.260393,0.000000,0.000000,0.000000,events/second
1590873159,221,4.910691,0.000000,0.000000,0.000000,events/second
1590873162,221,4.603356,0.000000,0.000000,0.000000,events/second
1590873165,221,4.332176,0.000000,0.000000,0.000000,events/second
1590873168,221,4.091776,0.000000,0.000000,0.000000,events/second
1590873171,221,3.876867,0.000000,0.000000,0.000000,events/second
1590873174,221,3.683423,0.000000,0.000000,0.000000,events/second
1590873177,221,3.507473,0.000000,0.000000,0.000000,events/second
1590873180,221,3.347998,0.000000,0.000000,0.000000,events/second
1590873183,221,3.202557,0.000000,0.000000,0.000000,events/second
1590873186,221,3.069163,0.000000,0.000000,0.000000,events/second
1590873189,221,2.946390,0.000000,0.000000,0.000000,events/second
1590873192,221,2.832974,0.000000,0.000000,0.000000,events/second
1590873195,221,2.727768,0.000000,0.000000,0.000000,events/second
1590873198,221,2.631095,0.000000,0.000000,0.000000,events/second
1590873201,221,2.539996,0.000000,0.000000,0.000000,events/second
1590873204,221,2.455393,0.000000,0.000000,0.000000,events/second
1590873207,221,2.376074,0.000000,0.000000,0.000000,events/second
1590873210,221,2.301782,0.000000,0.000000,0.000000,events/second
1590873213,221,2.232148,0.000000,0.000000,0.000000,events/second
1590873216,221,2.166506,0.000000,0.000000,0.000000,events/second
1590873219,221,2.104664,0.000000,0.000000,0.000000,events/second
1590873222,221,2.044904,0.000000,0.000000,0.000000,events/second
1590873225,221,1.990866,0.000000,0.000000,0.000000,events/second
1590873228,221,1.938536,0.000000,0.000000,0.000000,events/second
1590873231,221,1.888484,0.000000,0.000000,0.000000,events/second
1590873234,221,1.841775,0.000000,0.000000,0.000000,events/second
1590873237,221,1.796532,0.000000,0.000000,0.000000,events/second
1590873240,221,1.753911,0.000000,0.000000,0.000000,events/second
1590873243,221,1.713051,0.000000,0.000000,0.000000,events/second
1590873246,221,1.674111,0.000000,0.000000,0.000000,events/second
1590873249,221,1.636909,0.000000,0.000000,0.000000,events/second
1590873252,221,1.601341,0.000000,0.000000,0.000000,events/second
1590873255,221,1.567246,0.000000,0.000000,0.000000,events/second
1590873258,221,1.534587,0.000000,0.000000,0.000000,events/second
1590873261,221,1.503391,0.000000,0.000000,0.000000,events/second
1590873264,221,1.473252,0.000000,0.000000,0.000000,events/second
1590873267,221,1.444326,0.000000,0.000000,0.000000,events/second
1590873270,221,1.416629,0.000000,0.000000,0.000000,events/second
1590873273,221,1.389882,0.000000,0.000000,0.000000,events/second
