t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,1945,633.008885,0.000000,0.000000,0.000000,events/second
1590873120,1998,331.585902,0.000000,0.000000,0.000000,events/second
1590873123,2007,222.256303,0.000000,0.000000,0.000000,events/second
1590873126,2007,167.184646,0.000000,0.000000,0.000000,events/second
1590873129,2016,134.376569,0.000000,0.000000,0.000000,events/second
1590873132,2017,111.957634,0.000000,0.000000,0.000000,events/second
1590873135,2017,96.005689,0.000000,0.000000,0.000000,events/second
1590873138,2057,85.653580,0.000000,0.000000,0.000000,events/second
1590873141,2057,76.132952,0.000000,0.000000,0.000000,events/second
1590873144,2057,68.429918,0.000000,0.000000,0.000000,events/second
1590873147,2063,62.528206,0.000000,0.000000,0.000000,events/second
1590873150,2063,57.297349,0.000000,0.000000,0.000000,events/second
1590873153,2063,52.890624,0.000000,0.000000,0.000000,events/second
1590873156,2063,49.105412,0.000000,0.000000,0.000000,events/second
1590873159,2078,46.174291,0.000000,0.000000,0.000000,events/second
1590873162,2078,43.284427,0.000000,0.000000,0.000000,events/second
1590873165,2078,40.734568,0.000000,0.000000,0.000000,events/second
1590873168,2222,41.140256,0.000000,0.000000,0.000000,events/second
1590873171,2222,38.979477,0.000000,0.000000,0.000000,events/second
1590873174,2327,38.784608,0.000000,0.000000,0.000000,events/second
1590873177,2327,36.931866,0.000000,0.000000,0.000000,events/second
1590873180,2342,35.479915,0.000000,0.000000,0.000000,events/second
1590873183,2342,33.938577,0.000000,0.000000,0.000000,events/second
1590873186,2342,32.524991,0.000000,0.000000,0.000000,events/second
1590873189,2347,31.290578,0.000000,0.000000,0.000000,events/second
1590873192,2364,30.304009,0.000000,0.000000,0.000000,events/second
1590873195,2364,29.178603,0.000000,0.000000,0.000000,events/second
1590873198,2364,28.144560,0.000000,0.000000,0.000000,events/second
1590873201,2364,27.170045,0.000000,0.000000,0.000000,events/second
1590873204,2364,26.265072,0.000000,0.000000,0.000000,events/second
1590873207,2369,25.470370,0.000000,0.000000,0.000000,events/second
1590873210,2369,24.673957,0.000000,0.000000,0.000000,events/second
1590873213,2369,23.927520,0.000000,0.000000,0.000000,events/second
1590873216,2369,23.223878,0.000000,0.000000,0.000000,events/second
1590873219,2369,22.560947,0.000000,0.000000,0.000000,events/second
1590873222,2369,21.920345,0.000000,0.000000,0.000000,events/second
1590873225,2369,21.341089,0.000000,0.000000,0.000000,events/second
1590873228,2506,21.981862,0.000000,0.000000,0.000000,events/second
1590873231,2506,21.414296,0.000000,0.000000,0.000000,events/second
1590873234,2611,21.759715,0.000000,0.000000,0.000000,events/second
1590873237,2611,21.225154,0.000000,0.000000,0.000000,events/second
1590873240,2611,20.721618,0.000000,0.000000,0.000000,events/second
1590873243,2611,20.238872,0.000000,0.000000,0.000000,events/second
1590873246,2611,19.778812,0.000000,0.000000,0.000000,events/second
1590873249,2616,19.376289,0.000000,0.000000,0.000000,events/second
1590873252,2616,18.955300,0.000000,0.000000,0.000000,events/second
1590873255,2616,18.551699,0.000000,0.000000,0.000000,events/second
1590873258,2616,18.165126,0.000000,0.000000,0.000000,events/second
1590873261,2616,17.795845,0.000000,0.000000,0.000000,events/second
1590873264,2616,17.439094,0.000000,0.000000,0.000000,events/second
1590873267,2621,17.129364,0.000000,0.000000,0.000000,events/second
1590873270,2621,16.800882,0.000000,0.000000,0.000000,events/second
1590873273,2621,16.483668,0.000000,0.000000,0.000000,events/second
1590873276,2621,16.178524,0.000000,0.000000,0.000000,events/second
1590873279,2621,15.884208,0.000000,0.000000,0.000000,events/second
1590873282,2621,15.601033,0.000000,0.000000,0.000000,events/second
1590873285,2621,15.327190,0.000000,0.000000,0.000000,events/second
1590873288,2751,15.809802,0.000000,0.000000,0.000000,events/second
1590873291,2751,15.542070,0.000000,0.000000,0.000000,events/second
1590873294,2856,15.865980,0.000000,0.000000,0.000000,events/second
1590873297,2856,15.606437,0.000000,0.000000,0.000000,events/second
1590873300,2856,15.354531,0.000000,0.000000,0.000000,events/second
