t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,1809,588.785808,0.000000,0.000000,0.000000,events/second
1590873120,1862,309.043638,0.000000,0.000000,0.000000,events/second
1590873123,1871,207.207528,0.000000,0.000000,0.000000,events/second
1590873126,1871,155.864447,0.000000,0.000000,0.000000,events/second
1590873129,1880,125.316862,0.000000,0.000000,0.000000,events/second
1590873132,1881,104.411008,0.000000,0.000000,0.000000,events/second
1590873135,1881,89.534566,0.000000,0.000000,0.000000,events/second
1590873138,1921,79.992442,0.000000,0.000000,0.000000,events/second
1590873141,1921,71.100634,0.000000,0.000000,0.000000,events/second
1590873144,1921,63.906807,0.000000,0.000000,0.000000,events/second
1590873147,1927,58.407385,0.000000,0.000000,0.000000,events/second
1590873150,1927,53.520949,0.000000,0.000000,0.000000,events/second
1590873153,1927,49.404682,0.000000,0.000000,0.000000,events/second
1590873156,1927,45.868867,0.000000,0.000000,0.000000,events/second
1590873159,1942,43.152905,0.000000,0.000000,0.000000,events/second
1590873162,1942,40.451993,0.000000,0.000000,0.000000,events/second
1590873165,1942,38.069053,0.000000,0.000000,0.000000,events/second
1590873168,2086,38.622650,0.000000,0.000000,0.000000,events/second
1590873171,2086,36.594096,0.000000,0.000000,0.000000,events/second
1590873174,2191,36.518295,0.000000,0.000000,0.000000,events/second
1590873177,2191,34.773738,0.000000,0.000000,0.000000,events/second
1590873180,2206,33.419900,0.000000,0.000000,0.000000,events/second
1590873183,2206,31.968002,0.000000,0.000000,0.000000,events/second
1590873186,2206,30.636531,0.000000,0.000000,0.000000,events/second
1590873189,2211,29.477651,0.000000,0.000000,0.000000,events/second
1590873192,2228,28.560854,0.000000,0.000000,0.000000,events/second
1590873195,2228,27.500153,0.000000,0.000000,0.000000,events/second
1590873198,2228,26.525639,0.000000,0.000000,0.000000,events/second
1590873201,2228,25.607145,0.000000,0.000000,0.000000,events/second
1590873204,2228,24.754237,0.000000,0.000000,0.000000,events/second
1590873207,2233,24.008343,0.000000,0.000000,0.000000,events/second
1590873210,2233,23.257619,0.000000,0.000000,0.000000,events/second
1590873213,2233,22.554024,0.000000,0.000000,0.000000,events/second
1590873216,2233,21.890783,0.000000,0.000000,0.000000,events/second
1590873219,2233,21.265892,0.000000,0.000000,0.000000,events/second
1590873222,2233,20.662058,0.000000,0.000000,0.000000,events/second
1590873225,2233,20.116047,0.000000,0.000000,0.000000,events/second
1590873228,2370,20.789023,0.000000,0.000000,0.000000,events/second
1590873231,2370,20.252255,0.000000,0.000000,0.000000,events/second
1590873234,2475,20.626433,0.000000,0.000000,0.000000,events/second
1590873237,2475,20.119686,0.000000,0.000000,0.000000,events/second
1590873240,2475,19.642372,0.000000,0.000000,0.000000,events/second
