t,value
1590873117,4
1590873120,4
1590873123,4
1590873126,4
1590873129,4
1590873132,4
1590873135,4
1590873138,4
1590873141,4
1590873144,4
1590873147,4
1590873150,4
1590873153,4
1590873156,4
1590873159,4
1590873162,4
1590873165,4
1590873168,4
1590873171,4
1590873174,4
1590873177,5
1590873180,5
1590873183,5
1590873186,5
1590873189,5
1590873192,5
1590873195,5
1590873198,5
1590873201,5
1590873204,5
1590873207,5
1590873210,5
1590873213,5
1590873216,5
1590873219,5
1590873222,5
1590873225,5
1590873228,5
1590873231,5
1590873234,5
1590873237,5
1590873240,5
1590873243,5
1590873246,5
1590873249,5
1590873252,5
1590873255,5
1590873258,5
1590873261,5
1590873264,5
1590873267,5
1590873270,5
1590873273,5
1590873276,5
1590873279,5
1590873282,5
1590873285,5
1590873288,5
1590873291,5
1590873294,5
1590873297,5
1590873300,5
1590873303,5
1590873306,5
1590873309,5
1590873312,5
1590873315,5
1590873318,5
1590873321,5
1590873324,5
1590873327,5
1590873330,5
1590873333,5
1590873336,5
1590873339,5
1590873342,5
1590873345,5
1590873348,5
1590873351,5
1590873354,5
1590873357,5
1590873360,5
1590873363,5
1590873366,5
1590873369,5
1590873372,5
1590873375,5
1590873378,5
1590873381,5
1590873384,5
1590873387,5
1590873390,5
1590873393,5
1590873396,5
1590873399,5
1590873402,5
1590873405,5
1590873408,5
1590873411,5
1590873414,5
1590873417,5
1590873420,5
1590873423,5
1590873426,5
1590873429,5
1590873432,5
1590873435,5
1590873438,5
1590873441,5
1590873444,5
1590873447,5
1590873450,5
1590873453,5
1590873456,5
1590873459,5
1590873462,5
1590873465,5
1590873468,5
1590873471,5
1590873474,5
1590873477,5
1590873480,5
1590873483,5
1590873486,5
1590873489,5
1590873492,5
1590873495,5
1590873498,5
1590873501,5
1590873504,5
1590873507,5
1590873510,5
1590873513,5
1590873516,5
1590873519,5
1590873522,5
1590873525,5
1590873528,5
1590873531,5
1590873534,5
1590873537,5
1590873540,5
1590873543,5
1590873546,5
1590873549,5
1590873552,5
1590873555,5
1590873558,5
1590873561,5
1590873564,5
1590873567,5
1590873570,5
1590873573,5
1590873576,5
1590873579,5
1590873582,5
1590873585,5
1590873588,5
1590873591,5
1590873594,5
1590873597,5
1590873600,5
1590873603,5
1590873606,5
1590873609,5
1590873612,5
1590873615,5
1590873618,5
1590873621,5
1590873624,5
1590873627,5
1590873630,5
1590873633,5
1590873636,5
1590873639,5
1590873642,5
1590873645,5
1590873648,5
1590873651,5
1590873654,5
1590873657,5
1590873660,5
1590873663,5
1590873666,5
1590873669,5
1590873672,5
1590873675,5
1590873678,5
1590873681,5
1590873684,5
1590873687,5
1590873690,5
1590873693,5
1590873696,5
1590873699,5
1590873702,5
1590873705,5
1590873708,5
1590873711,5
1590873714,5
1590873717,5
1590873720,5
1590873723,5
1590873726,5
1590873729,5
1590873732,5
1590873735,5
1590873738,5
1590873741,5
1590873744,5
1590873747,5
1590873750,5
1590873753,5
1590873756,5
1590873759,5
1590873762,5
1590873765,5
1590873768,5
1590873771,5
1590873774,5
1590873777,5
1590873780,5
1590873783,5
1590873786,5
1590873789,5
1590873792,5
1590873795,5
1590873798,5
1590873801,5
1590873804,5
1590873807,5
1590873810,5
1590873813,5
1590873816,5
1590873819,5
1590873822,5
1590873825,5
1590873828,5
1590873831,5
1590873834,5
1590873837,5
1590873840,5
1590873843,5
1590873846,5
1590873849,5
1590873852,5
1590873855,5
1590873858,5
1590873861,5
1590873864,5
1590873867,5
1590873870,5
1590873873,5
1590873876,5
1590873879,5
1590873882,5
1590873885,5
1590873888,5
1590873891,5
1590873894,5
1590873897,5
1590873900,5
1590873903,5
1590873906,5
1590873909,5
1590873912,5
1590873915,5
1590873918,5
1590873921,5
1590873924,5
1590873927,5
1590873930,5
1590873933,5
1590873936,5
1590873939,5
1590873942,5
1590873945,5
1590873948,5
1590873951,5
1590873954,5
1590873957,5
1590873960,5
1590873963,5
1590873966,5
1590873969,5
1590873972,5
1590873975,5
1590873978,5
1590873981,5
1590873984,5
1590873987,5
1590873990,5
1590873993,5
1590873996,5
1590873999,5
1590874002,5
1590874005,5
1590874008,5
1590874011,5
1590874014,5
1590874017,5
1590874020,5
1590874023,5
1590874026,5
1590874029,5
1590874032,5
1590874035,5
1590874038,5
1590874041,5
1590874044,5
1590874047,5
1590874050,5
1590874053,5
1590874056,5
1590874059,5
1590874062,5
1590874065,5
1590874068,5
1590874071,5
1590874074,5
1590874077,5
1590874080,5
1590874083,5
1590874086,5
1590874089,5
1590874092,5
1590874095,5
1590874098,5
1590874101,5
1590874104,5
1590874107,5
1590874110,5
1590874113,5
1590874116,5
