t,value
1590873117,28
1590873120,28
1590873123,28
1590873126,28
1590873129,28
1590873132,28
1590873135,28
1590873138,28
1590873141,28
1590873144,28
1590873147,28
1590873150,28
1590873153,28
1590873156,28
1590873159,28
1590873162,28
1590873165,28
1590873168,28
1590873171,28
1590873174,28
1590873177,28
1590873180,28
1590873183,28
1590873186,28
1590873189,28
1590873192,28
1590873195,28
1590873198,28
1590873201,28
1590873204,28
1590873207,28
1590873210,28
1590873213,28
1590873216,28
1590873219,28
1590873222,28
1590873225,28
1590873228,28
1590873231,28
1590873234,28
1590873237,28
1590873240,28
1590873243,28
1590873246,28
1590873249,28
1590873252,28
1590873255,28
1590873258,28
1590873261,28
1590873264,28
1590873267,28
1590873270,28
1590873273,28
1590873276,28
1590873279,28
1590873282,28
1590873285,28
1590873288,28
1590873291,28
1590873294,28
1590873297,28
1590873300,28
1590873303,28
1590873306,28
1590873309,28
1590873312,28
1590873315,28
1590873318,28
1590873321,28
1590873324,28
1590873327,28
1590873330,28
1590873333,28
1590873336,28
1590873339,28
1590873342,28
1590873345,28
1590873348,28
1590873351,28
1590873354,28
1590873357,28
1590873360,28
1590873363,28
1590873366,28
1590873369,28
1590873372,28
1590873375,28
1590873378,28
1590873381,28
1590873384,28
1590873387,28
1590873390,28
1590873393,28
1590873396,28
1590873399,28
1590873402,28
1590873405,28
1590873408,28
1590873411,28
1590873414,28
1590873417,28
1590873420,28
1590873423,28
1590873426,28
1590873429,28
1590873432,28
1590873435,28
1590873438,28
1590873441,28
1590873444,28
1590873447,28
1590873450,28
1590873453,28
1590873456,28
1590873459,28
1590873462,28
1590873465,28
1590873468,28
1590873471,28
1590873474,28
1590873477,28
1590873480,28
1590873483,28
1590873486,28
1590873489,28
1590873492,28
1590873495,28
1590873498,28
1590873501,28
1590873504,28
1590873507,28
1590873510,28
1590873513,28
1590873516,28
1590873519,28
1590873522,28
1590873525,28
1590873528,28
1590873531,28
1590873534,28
1590873537,28
1590873540,28
1590873543,28
1590873546,28
1590873549,28
1590873552,28
1590873555,28
1590873558,28
1590873561,28
1590873564,28
1590873567,28
1590873570,28
1590873573,28
1590873576,28
1590873579,28
1590873582,28
1590873585,28
1590873588,28
1590873591,28
1590873594,28
1590873597,28
1590873600,28
1590873603,28
1590873606,28
1590873609,28
1590873612,28
1590873615,28
1590873618,28
1590873621,28
1590873624,28
1590873627,28
1590873630,28
1590873633,28
1590873636,28
1590873639,28
1590873642,28
1590873645,28
1590873648,28
1590873651,28
1590873654,28
1590873657,28
1590873660,28
1590873663,28
1590873666,28
1590873669,28
1590873672,28
1590873675,28
1590873678,28
1590873681,28
1590873684,28
1590873687,28
1590873690,28
1590873693,28
1590873696,28
1590873699,28
1590873702,28
1590873705,28
1590873708,28
1590873711,28
1590873714,28
1590873717,28
1590873720,28
1590873723,28
1590873726,28
1590873729,28
1590873732,28
1590873735,28
1590873738,28
1590873741,28
1590873744,28
1590873747,28
1590873750,28
1590873753,28
1590873756,28
1590873759,28
1590873762,28
1590873765,28
1590873768,28
1590873771,28
1590873774,28
1590873777,28
1590873780,28
1590873783,28
1590873786,28
1590873789,28
1590873792,28
1590873795,28
1590873798,28
1590873801,28
1590873804,28
1590873807,28
1590873810,28
1590873813,28
1590873816,28
1590873819,28
1590873822,28
1590873825,28
1590873828,28
1590873831,28
1590873834,28
1590873837,28
1590873840,28
1590873843,28
1590873846,28
1590873849,28
1590873852,28
1590873855,28
1590873858,28
1590873861,28
1590873864,28
1590873867,28
1590873870,28
1590873873,28
1590873876,28
1590873879,28
1590873882,28
1590873885,28
1590873888,28
1590873891,28
1590873894,28
1590873897,28
1590873900,28
1590873903,28
1590873906,28
1590873909,28
1590873912,28
1590873915,28
1590873918,28
1590873921,28
1590873924,28
1590873927,28
1590873930,28
1590873933,28
1590873936,28
1590873939,28
1590873942,28
1590873945,28
1590873948,28
1590873951,28
1590873954,28
1590873957,28
1590873960,28
1590873963,28
1590873966,28
1590873969,28
1590873972,28
1590873975,28
1590873978,28
1590873981,28
1590873984,28
1590873987,28
1590873990,28
1590873993,28
1590873996,28
1590873999,28
1590874002,28
1590874005,28
1590874008,28
1590874011,28
1590874014,28
1590874017,28
1590874020,28
1590874023,28
1590874026,28
1590874029,28
1590874032,28
1590874035,28
1590874038,28
1590874041,28
1590874044,28
1590874047,28
1590874050,28
1590874053,28
1590874056,28
1590874059,28
1590874062,28
1590874065,28
1590874068,28
1590874071,28
1590874074,28
1590874077,28
1590874080,28
1590874083,28
1590874086,28
1590874089,28
1590874092,28
1590874095,28
1590874098,28
1590874101,28
1590874104,28
1590874107,28
1590874110,28
1590874113,28
1590874116,28
