t,value
1590873117,66
1590873120,66
1590873123,66
1590873126,66
1590873129,66
1590873132,66
1590873135,66
1590873138,66
1590873141,66
1590873144,66
1590873147,66
1590873150,66
1590873153,66
1590873156,66
1590873159,66
1590873162,66
1590873165,66
1590873168,66
1590873171,66
1590873174,66
1590873177,66
1590873180,66
1590873183,66
1590873186,66
1590873189,66
1590873192,66
1590873195,66
1590873198,66
1590873201,66
1590873204,66
1590873207,66
1590873210,66
1590873213,66
1590873216,66
1590873219,66
1590873222,66
1590873225,66
1590873228,66
1590873231,66
1590873234,66
1590873237,66
1590873240,66
1590873243,66
1590873246,66
1590873249,66
1590873252,66
1590873255,66
1590873258,66
1590873261,66
1590873264,66
1590873267,66
1590873270,66
1590873273,66
1590873276,66
1590873279,66
1590873282,66
1590873285,66
1590873288,66
1590873291,66
1590873294,66
1590873297,66
1590873300,66
1590873303,66
1590873306,66
1590873309,66
1590873312,66
1590873315,66
1590873318,66
1590873321,66
1590873324,66
1590873327,66
1590873330,66
1590873333,66
1590873336,66
1590873339,66
1590873342,66
1590873345,66
1590873348,66
1590873351,66
1590873354,66
1590873357,66
1590873360,66
1590873363,66
1590873366,66
1590873369,66
1590873372,66
1590873375,66
1590873378,66
1590873381,66
1590873384,66
1590873387,66
1590873390,66
1590873393,66
1590873396,66
1590873399,66
1590873402,66
1590873405,66
1590873408,66
1590873411,66
1590873414,66
1590873417,66
1590873420,66
1590873423,66
1590873426,66
1590873429,66
1590873432,66
1590873435,66
1590873438,66
1590873441,66
1590873444,66
1590873447,66
1590873450,66
1590873453,66
1590873456,66
1590873459,66
1590873462,66
1590873465,66
1590873468,66
1590873471,66
1590873474,66
1590873477,66
1590873480,66
1590873483,66
1590873486,66
1590873489,66
1590873492,66
1590873495,66
1590873498,66
1590873501,66
1590873504,66
1590873507,66
1590873510,66
1590873513,66
1590873516,66
1590873519,66
1590873522,66
1590873525,66
1590873528,66
1590873531,66
1590873534,66
1590873537,66
1590873540,66
1590873543,66
1590873546,66
1590873549,66
1590873552,66
1590873555,66
1590873558,66
1590873561,66
1590873564,66
1590873567,66
1590873570,66
1590873573,66
1590873576,66
1590873579,66
1590873582,66
1590873585,66
1590873588,66
1590873591,66
1590873594,66
1590873597,66
1590873600,66
1590873603,66
1590873606,66
1590873609,66
1590873612,66
1590873615,66
1590873618,66
1590873621,66
1590873624,66
1590873627,66
1590873630,66
1590873633,66
1590873636,66
1590873639,66
1590873642,66
1590873645,66
1590873648,66
1590873651,66
1590873654,66
1590873657,66
1590873660,66
1590873663,66
1590873666,66
1590873669,66
1590873672,66
1590873675,66
1590873678,66
1590873681,66
1590873684,66
1590873687,66
1590873690,66
1590873693,66
1590873696,66
1590873699,66
1590873702,66
1590873705,66
1590873708,66
1590873711,66
1590873714,66
1590873717,66
1590873720,66
1590873723,66
1590873726,66
1590873729,66
1590873732,66
1590873735,66
1590873738,66
1590873741,66
1590873744,66
1590873747,66
1590873750,66
1590873753,66
1590873756,66
1590873759,66
1590873762,66
1590873765,66
1590873768,66
1590873771,66
1590873774,66
1590873777,66
1590873780,66
1590873783,66
1590873786,66
1590873789,66
1590873792,66
1590873795,66
1590873798,66
1590873801,66
1590873804,66
1590873807,66
1590873810,66
1590873813,66
1590873816,66
1590873819,66
1590873822,66
1590873825,66
1590873828,66
1590873831,66
1590873834,66
1590873837,66
1590873840,66
1590873843,66
1590873846,66
1590873849,66
1590873852,66
1590873855,66
1590873858,66
1590873861,66
1590873864,66
1590873867,66
1590873870,66
1590873873,66
1590873876,66
1590873879,66
1590873882,66
1590873885,66
1590873888,66
1590873891,66
1590873894,66
1590873897,66
1590873900,66
1590873903,66
1590873906,66
1590873909,66
1590873912,66
1590873915,66
1590873918,66
1590873921,66
1590873924,66
1590873927,66
1590873930,66
1590873933,66
1590873936,66
1590873939,66
1590873942,66
1590873945,66
1590873948,66
1590873951,66
1590873954,66
1590873957,66
1590873960,66
1590873963,66
1590873966,66
1590873969,66
1590873972,66
1590873975,66
1590873978,66
1590873981,66
1590873984,66
1590873987,66
1590873990,66
1590873993,66
1590873996,66
1590873999,66
1590874002,66
1590874005,66
1590874008,66
1590874011,66
1590874014,66
1590874017,66
1590874020,66
1590874023,66
1590874026,66
1590874029,66
1590874032,66
1590874035,66
1590874038,66
1590874041,66
1590874044,66
1590874047,66
1590874050,66
1590874053,66
1590874056,66
1590874059,66
1590874062,66
1590874065,66
1590874068,66
1590874071,66
1590874074,66
1590874077,66
1590874080,66
1590874083,66
1590874086,66
1590874089,66
1590874092,66
1590874095,66
1590874098,66
1590874101,66
1590874104,66
1590874107,66
1590874110,66
1590874113,66
1590874116,66
