t,value
1590873117,6
1590873120,6
1590873123,6
1590873126,6
1590873129,6
1590873132,6
1590873135,6
1590873138,6
1590873141,6
1590873144,6
1590873147,6
1590873150,6
1590873153,6
1590873156,6
1590873159,6
1590873162,6
1590873165,6
1590873168,6
1590873171,6
1590873174,6
1590873177,6
1590873180,6
1590873183,6
1590873186,6
1590873189,6
1590873192,6
1590873195,6
1590873198,6
1590873201,6
1590873204,6
1590873207,6
1590873210,6
1590873213,6
1590873216,6
1590873219,6
1590873222,6
1590873225,6
1590873228,6
1590873231,6
1590873234,6
1590873237,6
1590873240,6
1590873243,6
1590873246,6
1590873249,6
1590873252,6
1590873255,6
1590873258,6
1590873261,6
1590873264,6
1590873267,6
1590873270,6
1590873273,6
1590873276,6
1590873279,6
1590873282,6
1590873285,6
1590873288,6
1590873291,6
1590873294,6
1590873297,6
1590873300,6
1590873303,6
1590873306,6
1590873309,6
1590873312,6
1590873315,6
1590873318,6
1590873321,6
1590873324,6
1590873327,6
1590873330,6
1590873333,6
1590873336,6
1590873339,6
1590873342,6
1590873345,6
1590873348,6
1590873351,6
1590873354,6
1590873357,6
1590873360,6
1590873363,6
1590873366,6
1590873369,6
1590873372,6
1590873375,6
1590873378,6
1590873381,6
1590873384,6
1590873387,6
1590873390,6
1590873393,6
1590873396,6
1590873399,6
1590873402,6
1590873405,6
1590873408,6
1590873411,6
1590873414,6
1590873417,6
1590873420,6
1590873423,6
1590873426,6
1590873429,6
1590873432,6
1590873435,6
1590873438,6
1590873441,6
1590873444,6
1590873447,6
1590873450,6
1590873453,6
1590873456,6
1590873459,6
1590873462,6
1590873465,6
1590873468,6
1590873471,6
1590873474,6
1590873477,6
1590873480,6
1590873483,6
1590873486,6
1590873489,6
1590873492,6
1590873495,6
1590873498,6
1590873501,6
1590873504,6
1590873507,6
1590873510,6
1590873513,6
1590873516,6
1590873519,6
1590873522,6
1590873525,6
1590873528,6
1590873531,6
1590873534,6
1590873537,6
1590873540,6
1590873543,6
1590873546,6
1590873549,6
1590873552,6
1590873555,6
1590873558,6
1590873561,6
1590873564,6
1590873567,6
1590873570,6
1590873573,6
1590873576,6
1590873579,6
1590873582,6
1590873585,6
1590873588,6
1590873591,6
1590873594,6
1590873597,6
1590873600,6
1590873603,6
1590873606,6
1590873609,6
1590873612,6
1590873615,6
1590873618,6
1590873621,6
1590873624,6
1590873627,6
1590873630,6
1590873633,6
1590873636,6
1590873639,6
1590873642,6
1590873645,6
1590873648,6
1590873651,6
1590873654,6
1590873657,6
1590873660,6
1590873663,6
1590873666,6
1590873669,6
1590873672,6
1590873675,6
1590873678,6
1590873681,6
1590873684,6
1590873687,6
1590873690,6
1590873693,6
1590873696,6
1590873699,6
1590873702,6
1590873705,6
1590873708,6
1590873711,6
1590873714,6
1590873717,6
1590873720,6
1590873723,6
1590873726,6
1590873729,6
1590873732,6
1590873735,6
1590873738,6
1590873741,6
1590873744,6
1590873747,6
1590873750,6
1590873753,6
1590873756,6
1590873759,6
1590873762,6
1590873765,6
1590873768,6
1590873771,6
1590873774,6
1590873777,6
1590873780,6
1590873783,6
1590873786,6
1590873789,6
1590873792,6
1590873795,6
1590873798,6
1590873801,6
1590873804,6
1590873807,6
1590873810,6
1590873813,6
1590873816,6
1590873819,6
1590873822,6
1590873825,6
1590873828,6
1590873831,6
1590873834,6
1590873837,6
1590873840,6
1590873843,6
1590873846,6
1590873849,6
1590873852,6
1590873855,6
1590873858,6
1590873861,6
1590873864,6
1590873867,6
1590873870,6
1590873873,6
1590873876,6
1590873879,6
1590873882,6
1590873885,6
1590873888,6
1590873891,6
1590873894,6
1590873897,6
1590873900,6
1590873903,6
1590873906,6
1590873909,6
1590873912,6
1590873915,6
1590873918,6
1590873921,6
1590873924,6
1590873927,6
1590873930,6
1590873933,6
1590873936,6
1590873939,6
1590873942,6
1590873945,6
1590873948,6
1590873951,6
1590873954,6
1590873957,6
1590873960,6
1590873963,6
1590873966,6
1590873969,6
1590873972,6
1590873975,6
1590873978,6
1590873981,6
1590873984,6
1590873987,6
1590873990,6
1590873993,6
1590873996,6
1590873999,6
1590874002,6
1590874005,6
1590874008,6
1590874011,6
1590874014,6
1590874017,6
1590874020,6
1590874023,6
1590874026,6
1590874029,6
1590874032,6
1590874035,6
1590874038,6
1590874041,6
1590874044,6
1590874047,6
1590874050,6
1590874053,6
1590874056,6
1590874059,6
1590874062,6
1590874065,6
1590874068,6
1590874071,6
1590874074,6
1590874077,6
1590874080,6
1590874083,6
1590874086,6
1590874089,6
1590874092,6
1590874095,6
1590874098,6
1590874101,6
1590874104,6
1590874107,6
1590874110,6
1590874113,6
1590874116,6
