t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,31652,2793.877701,0.000000,0.000000,0.000000,events/second
1590873120,31652,2216.633732,0.000000,0.000000,0.000000,events/second
1590873123,31652,1831.311791,0.000000,0.000000,0.000000,events/second
1590873126,31652,1562.465276,0.000000,0.000000,0.000000,events/second
1590873129,31652,1359.991972,0.000000,0.000000,0.000000,events/second
1590873132,31652,1204.854242,0.000000,0.000000,0.000000,events/second
1590873135,31652,1081.630968,0.000000,0.000000,0.000000,events/second
1590873138,31652,980.879667,0.000000,0.000000,0.000000,events/second
1590873141,31652,897.344223,0.000000,0.000000,0.000000,events/second
1590873144,31652,826.128551,0.000000,0.000000,0.000000,events/second
1590873147,31652,767.395801,0.000000,0.000000,0.000000,events/second
1590873150,31652,715.155816,0.000000,0.000000,0.000000,events/second
1590873153,31652,669.761808,0.000000,0.000000,0.000000,events/second
1590873156,31652,629.696132,0.000000,0.000000,0.000000,events/second
1590873159,31652,594.325013,0.000000,0.000000,0.000000,events/second
1590873162,31652,562.585878,0.000000,0.000000,0.000000,events/second
1590873165,31652,534.061614,0.000000,0.000000,0.000000,events/second
1590873168,31652,508.351715,0.000000,0.000000,0.000000,events/second
1590873171,31652,485.030161,0.000000,0.000000,0.000000,events/second
1590873174,31652,463.759364,0.000000,0.000000,0.000000,events/second
1590873177,31652,444.167720,0.000000,0.000000,0.000000,events/second
1590873180,31652,426.216057,0.000000,0.000000,0.000000,events/second
1590873183,31652,409.675661,0.000000,0.000000,0.000000,events/second
1590873186,31652,394.370651,0.000000,0.000000,0.000000,events/second
1590873189,31652,380.158779,0.000000,0.000000,0.000000,events/second
1590873192,31652,366.924689,0.000000,0.000000,0.000000,events/second
1590873195,31652,354.556091,0.000000,0.000000,0.000000,events/second
1590873198,31652,343.119514,0.000000,0.000000,0.000000,events/second
1590873201,31652,332.266305,0.000000,0.000000,0.000000,events/second
1590873204,31652,322.129722,0.000000,0.000000,0.000000,events/second
1590873207,31652,312.572471,0.000000,0.000000,0.000000,events/second
1590873210,31652,303.570480,0.000000,0.000000,0.000000,events/second
1590873213,31652,295.093866,0.000000,0.000000,0.000000,events/second
1590873216,31652,287.066648,0.000000,0.000000,0.000000,events/second
1590873219,31652,279.468682,0.000000,0.000000,0.000000,events/second
1590873222,31652,272.096324,0.000000,0.000000,0.000000,events/second
1590873225,31652,265.403372,0.000000,0.000000,0.000000,events/second
1590873228,31652,258.898228,0.000000,0.000000,0.000000,events/second
1590873231,31652,252.654095,0.000000,0.000000,0.000000,events/second
1590873234,31652,246.808494,0.000000,0.000000,0.000000,events/second
1590873237,31652,241.124797,0.000000,0.000000,0.000000,events/second
1590873240,31652,235.756332,0.000000,0.000000,0.000000,events/second
1590873243,31652,230.594493,0.000000,0.000000,0.000000,events/second
1590873246,31652,225.661238,0.000000,0.000000,0.000000,events/second
1590873249,31652,220.933467,0.000000,0.000000,0.000000,events/second
1590873252,31652,216.405751,0.000000,0.000000,0.000000,events/second
1590873255,31652,212.052233,0.000000,0.000000,0.000000,events/second
1590873258,31652,207.873760,0.000000,0.000000,0.000000,events/second
1590873261,31652,203.872503,0.000000,0.000000,0.000000,events/second
1590873264,31652,199.998635,0.000000,0.000000,0.000000,events/second
1590873267,31652,196.272732,0.000000,0.000000,0.000000,events/second
1590873270,31652,192.697936,0.000000,0.000000,0.000000,events/second
1590873273,31652,189.238868,0.000000,0.000000,0.000000,events/second
1590873276,31652,185.905878,0.000000,0.000000,0.000000,events/second
1590873279,31652,182.684941,0.000000,0.000000,0.000000,events/second
1590873282,31652,179.580626,0.000000,0.000000,0.000000,events/second
1590873285,31652,176.573636,0.000000,0.000000,0.000000,events/second
1590873288,31652,173.664613,0.000000,0.000000,0.000000,events/second
1590873291,31652,170.854704,0.000000,0.000000,0.000000,events/second
1590873294,31652,168.127991,0.000000,0.000000,0.000000,events/second
1590873297,31652,165.496517,0.000000,0.000000,0.000000,events/second
1590873300,31652,162.938708,0.000000,0.000000,0.000000,events/second
1590873303,31652,160.461207,0.000000,0.000000,0.000000,events/second
