t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,123,10.853428,0.000000,0.000000,0.000000,events/second
1590873120,126,8.822421,0.000000,0.000000,0.000000,events/second
1590873123,126,7.289083,0.000000,0.000000,0.000000,events/second
1590873126,127,6.268605,0.000000,0.000000,0.000000,events/second
1590873129,137,5.885960,0.000000,0.000000,0.000000,events/second
1590873132,139,5.290555,0.000000,0.000000,0.000000,events/second
1590873135,139,4.749601,0.000000,0.000000,0.000000,events/second
1590873138,140,4.338226,0.000000,0.000000,0.000000,events/second
1590873141,142,4.025365,0.000000,0.000000,0.000000,events/second
1590873144,142,3.706045,0.000000,0.000000,0.000000,events/second
1590873147,145,3.515334,0.000000,0.000000,0.000000,events/second
1590873150,145,3.276004,0.000000,0.000000,0.000000,events/second
1590873153,145,3.068087,0.000000,0.000000,0.000000,events/second
1590873156,145,2.884555,0.000000,0.000000,0.000000,events/second
1590873159,148,2.778864,0.000000,0.000000,0.000000,events/second
1590873162,148,2.630467,0.000000,0.000000,0.000000,events/second
1590873165,148,2.497103,0.000000,0.000000,0.000000,events/second
1590873168,152,2.441126,0.000000,0.000000,0.000000,events/second
1590873171,154,2.359795,0.000000,0.000000,0.000000,events/second
1590873174,154,2.256318,0.000000,0.000000,0.000000,events/second
1590873177,154,2.160993,0.000000,0.000000,0.000000,events/second
1590873180,157,2.114048,0.000000,0.000000,0.000000,events/second
1590873183,157,2.032004,0.000000,0.000000,0.000000,events/second
1590873186,157,1.956103,0.000000,0.000000,0.000000,events/second
1590873189,160,1.921644,0.000000,0.000000,0.000000,events/second
1590873192,163,1.889524,0.000000,0.000000,0.000000,events/second
1590873195,163,1.825829,0.000000,0.000000,0.000000,events/second
1590873198,163,1.766945,0.000000,0.000000,0.000000,events/second
1590873201,163,1.711052,0.000000,0.000000,0.000000,events/second
1590873204,163,1.658855,0.000000,0.000000,0.000000,events/second
1590873207,166,1.639267,0.000000,0.000000,0.000000,events/second
1590873210,166,1.592052,0.000000,0.000000,0.000000,events/second
1590873213,166,1.547599,0.000000,0.000000,0.000000,events/second
1590873216,166,1.505504,0.000000,0.000000,0.000000,events/second
1590873219,166,1.465656,0.000000,0.000000,0.000000,events/second
1590873222,166,1.426993,0.000000,0.000000,0.000000,events/second
1590873225,166,1.391892,0.000000,0.000000,0.000000,events/second
1590873228,169,1.382316,0.000000,0.000000,0.000000,events/second
1590873231,169,1.348974,0.000000,0.000000,0.000000,events/second
1590873234,169,1.317769,0.000000,0.000000,0.000000,events/second
1590873237,169,1.287415,0.000000,0.000000,0.000000,events/second
1590873240,169,1.258757,0.000000,0.000000,0.000000,events/second
1590873243,169,1.231192,0.000000,0.000000,0.000000,events/second
1590873246,169,1.204855,0.000000,0.000000,0.000000,events/second
1590873249,172,1.200553,0.000000,0.000000,0.000000,events/second
1590873252,172,1.175952,0.000000,0.000000,0.000000,events/second
1590873255,172,1.152293,0.000000,0.000000,0.000000,events/second
1590873258,172,1.129588,0.000000,0.000000,0.000000,events/second
1590873261,172,1.107848,0.000000,0.000000,0.000000,events/second
1590873264,172,1.086797,0.000000,0.000000,0.000000,events/second
1590873267,174,1.078950,0.000000,0.000000,0.000000,events/second
1590873270,175,1.065388,0.000000,0.000000,0.000000,events/second
1590873273,175,1.046265,0.000000,0.000000,0.000000,events/second
1590873276,175,1.027838,0.000000,0.000000,0.000000,events/second
1590873279,175,1.010030,0.000000,0.000000,0.000000,events/second
1590873282,175,0.992867,0.000000,0.000000,0.000000,events/second
1590873285,175,0.976242,0.000000,0.000000,0.000000,events/second
1590873288,178,0.976618,0.000000,0.000000,0.000000,events/second
1590873291,178,0.960817,0.000000,0.000000,0.000000,events/second
1590873294,178,0.945484,0.000000,0.000000,0.000000,events/second
1590873297,178,0.930685,0.000000,0.000000,0.000000,events/second
1590873300,178,0.916301,0.000000,0.000000,0.000000,events/second
1590873303,178,0.902368,0.000000,0.000000,0.000000,events/second
1590873306,178,0.888837,0.000000,0.000000,0.000000,events/second
1590873309,181,0.890493,0.000000,0.000000,0.000000,events/second
1590873312,181,0.877548,0.000000,0.000000,0.000000,events/second
1590873315,181,0.864958,0.000000,0.000000,0.000000,events/second
1590873318,181,0.852750,0.000000,0.000000,0.000000,events/second
1590873321,184,0.854581,0.000000,0.000000,0.000000,events/second
1590873324,184,0.843024,0.000000,0.000000,0.000000,events/second
1590873327,186,0.840411,0.000000,0.000000,0.000000,events/second
1590873330,187,0.833865,0.000000,0.000000,0.000000,events/second
1590873333,187,0.822849,0.000000,0.000000,0.000000,events/second
1590873336,187,0.812119,0.000000,0.000000,0.000000,events/second
1590873339,187,0.801684,0.000000,0.000000,0.000000,events/second
1590873342,187,0.791507,0.000000,0.000000,0.000000,events/second
1590873345,187,0.781580,0.000000,0.000000,0.000000,events/second
1590873348,190,0.784273,0.000000,0.000000,0.000000,events/second
1590873351,190,0.774688,0.000000,0.000000,0.000000,events/second
1590873354,190,0.765325,0.000000,0.000000,0.000000,events/second
1590873357,190,0.756191,0.000000,0.000000,0.000000,events/second
1590873360,190,0.747240,0.000000,0.000000,0.000000,events/second
1590873363,190,0.738553,0.000000,0.000000,0.000000,events/second
1590873366,190,0.730045,0.000000,0.000000,0.000000,events/second
1590873369,193,0.733105,0.000000,0.000000,0.000000,events/second
1590873372,193,0.724849,0.000000,0.000000,0.000000,events/second
1590873375,193,0.716787,0.000000,0.000000,0.000000,events/second
1590873378,193,0.708764,0.000000,0.000000,0.000000,events/second
1590873381,196,0.712037,0.000000,0.000000,0.000000,events/second
1590873384,196,0.704401,0.000000,0.000000,0.000000,events/second
1590873387,197,0.700418,0.000000,0.000000,0.000000,events/second
1590873390,199,0.700070,0.000000,0.000000,0.000000,events/second
1590873393,199,0.692754,0.000000,0.000000,0.000000,events/second
1590873396,199,0.685586,0.000000,0.000000,0.000000,events/second
1590873399,199,0.678574,0.000000,0.000000,0.000000,events/second
1590873402,199,0.671702,0.000000,0.000000,0.000000,events/second
1590873405,199,0.664976,0.000000,0.000000,0.000000,events/second
1590873408,202,0.668300,0.000000,0.000000,0.000000,events/second
1590873411,202,0.661737,0.000000,0.000000,0.000000,events/second
1590873414,202,0.655292,0.000000,0.000000,0.000000,events/second
1590873417,202,0.648979,0.000000,0.000000,0.000000,events/second
1590873420,202,0.642772,0.000000,0.000000,0.000000,events/second
1590873423,202,0.636702,0.000000,0.000000,0.000000,events/second
1590873426,202,0.630753,0.000000,0.000000,0.000000,events/second
1590873429,205,0.634171,0.000000,0.000000,0.000000,events/second
1590873432,205,0.628334,0.000000,0.000000,0.000000,events/second
1590873435,205,0.622618,0.000000,0.000000,0.000000,events/second
1590873438,205,0.616991,0.000000,0.000000,0.000000,events/second
1590873441,205,0.611468,0.000000,0.000000,0.000000,events/second
1590873444,205,0.606046,0.000000,0.000000,0.000000,events/second
1590873447,206,0.603626,0.000000,0.000000,0.000000,events/second
1590873450,208,0.604200,0.000000,0.000000,0.000000,events/second
1590873453,208,0.598993,0.000000,0.000000,0.000000,events/second
1590873456,211,0.602414,0.000000,0.000000,0.000000,events/second
1590873459,211,0.597289,0.000000,0.000000,0.000000,events/second
1590873462,211,0.592271,0.000000,0.000000,0.000000,events/second
1590873465,211,0.587322,0.000000,0.000000,0.000000,events/second
1590873468,214,0.590740,0.000000,0.000000,0.000000,events/second
1590873471,214,0.585882,0.000000,0.000000,0.000000,events/second
1590873474,214,0.581114,0.000000,0.000000,0.000000,events/second
1590873477,214,0.576422,0.000000,0.000000,0.000000,events/second
1590873480,214,0.571795,0.000000,0.000000,0.000000,events/second
1590873483,214,0.567253,0.000000,0.000000,0.000000,events/second
1590873486,214,0.562779,0.000000,0.000000,0.000000,events/second
1590873489,217,0.566181,0.000000,0.000000,0.000000,events/second
1590873492,217,0.561800,0.000000,0.000000,0.000000,events/second
1590873495,217,0.557462,0.000000,0.000000,0.000000,events/second
1590873498,217,0.553185,0.000000,0.000000,0.000000,events/second
1590873501,217,0.549007,0.000000,0.000000,0.000000,events/second
1590873504,217,0.544876,0.000000,0.000000,0.000000,events/second
1590873507,218,0.543305,0.000000,0.000000,0.000000,events/second
1590873510,220,0.544206,0.000000,0.000000,0.000000,events/second
1590873513,220,0.540200,0.000000,0.000000,0.000000,events/second
1590873516,220,0.536248,0.000000,0.000000,0.000000,events/second
1590873519,220,0.532355,0.000000,0.000000,0.000000,events/second
1590873522,220,0.528522,0.000000,0.000000,0.000000,events/second
1590873525,220,0.524732,0.000000,0.000000,0.000000,events/second
1590873528,223,0.528122,0.000000,0.000000,0.000000,events/second
