t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,84,7.411613,0.000000,0.000000,0.000000,events/second
1590873120,87,6.091637,0.000000,0.000000,0.000000,events/second
1590873123,87,5.032870,0.000000,0.000000,0.000000,events/second
1590873126,88,4.343602,0.000000,0.000000,0.000000,events/second
1590873129,98,4.210387,0.000000,0.000000,0.000000,events/second
1590873132,100,3.806096,0.000000,0.000000,0.000000,events/second
1590873135,100,3.416966,0.000000,0.000000,0.000000,events/second
1590873138,101,3.129711,0.000000,0.000000,0.000000,events/second
1590873141,103,2.919783,0.000000,0.000000,0.000000,events/second
1590873144,103,2.688181,0.000000,0.000000,0.000000,events/second
1590873147,106,2.569833,0.000000,0.000000,0.000000,events/second
1590873150,106,2.394869,0.000000,0.000000,0.000000,events/second
1590873153,106,2.242875,0.000000,0.000000,0.000000,events/second
1590873156,106,2.108706,0.000000,0.000000,0.000000,events/second
1590873159,109,2.046595,0.000000,0.000000,0.000000,events/second
1590873162,109,1.937302,0.000000,0.000000,0.000000,events/second
1590873165,109,1.839081,0.000000,0.000000,0.000000,events/second
1590873168,113,1.814779,0.000000,0.000000,0.000000,events/second
1590873171,115,1.762183,0.000000,0.000000,0.000000,events/second
1590873174,115,1.684914,0.000000,0.000000,0.000000,events/second
1590873177,115,1.613727,0.000000,0.000000,0.000000,events/second
1590873180,118,1.588900,0.000000,0.000000,0.000000,events/second
1590873183,118,1.527236,0.000000,0.000000,0.000000,events/second
1590873186,118,1.470191,0.000000,0.000000,0.000000,events/second
1590873189,121,1.453242,0.000000,0.000000,0.000000,events/second
1590873192,124,1.437428,0.000000,0.000000,0.000000,events/second
1590873195,124,1.388972,0.000000,0.000000,0.000000,events/second
1590873198,124,1.344180,0.000000,0.000000,0.000000,events/second
1590873201,124,1.301659,0.000000,0.000000,0.000000,events/second
1590873204,124,1.261951,0.000000,0.000000,0.000000,events/second
1590873207,127,1.254138,0.000000,0.000000,0.000000,events/second
1590873210,127,1.218015,0.000000,0.000000,0.000000,events/second
1590873213,127,1.184006,0.000000,0.000000,0.000000,events/second
1590873216,127,1.151802,0.000000,0.000000,0.000000,events/second
1590873219,127,1.121315,0.000000,0.000000,0.000000,events/second
1590873222,127,1.091735,0.000000,0.000000,0.000000,events/second
1590873225,127,1.064881,0.000000,0.000000,0.000000,events/second
1590873228,130,1.063319,0.000000,0.000000,0.000000,events/second
1590873231,130,1.037671,0.000000,0.000000,0.000000,events/second
1590873234,130,1.013669,0.000000,0.000000,0.000000,events/second
1590873237,130,0.990318,0.000000,0.000000,0.000000,events/second
1590873240,130,0.968274,0.000000,0.000000,0.000000,events/second
1590873243,130,0.947067,0.000000,0.000000,0.000000,events/second
1590873246,130,0.926810,0.000000,0.000000,0.000000,events/second
1590873249,133,0.928334,0.000000,0.000000,0.000000,events/second
1590873252,133,0.909310,0.000000,0.000000,0.000000,events/second
1590873255,133,0.891016,0.000000,0.000000,0.000000,events/second
1590873258,133,0.873460,0.000000,0.000000,0.000000,events/second
1590873261,133,0.856650,0.000000,0.000000,0.000000,events/second
1590873264,133,0.840372,0.000000,0.000000,0.000000,events/second
1590873267,135,0.837117,0.000000,0.000000,0.000000,events/second
1590873270,136,0.827958,0.000000,0.000000,0.000000,events/second
1590873273,136,0.813097,0.000000,0.000000,0.000000,events/second
1590873276,136,0.798777,0.000000,0.000000,0.000000,events/second
1590873279,136,0.784937,0.000000,0.000000,0.000000,events/second
1590873282,136,0.771599,0.000000,0.000000,0.000000,events/second
1590873285,136,0.758680,0.000000,0.000000,0.000000,events/second
1590873288,139,0.762640,0.000000,0.000000,0.000000,events/second
1590873291,139,0.750301,0.000000,0.000000,0.000000,events/second
1590873294,139,0.738327,0.000000,0.000000,0.000000,events/second
1590873297,139,0.726771,0.000000,0.000000,0.000000,events/second
1590873300,139,0.715538,0.000000,0.000000,0.000000,events/second
1590873303,139,0.704658,0.000000,0.000000,0.000000,events/second
1590873306,139,0.694091,0.000000,0.000000,0.000000,events/second
1590873309,142,0.698618,0.000000,0.000000,0.000000,events/second
1590873312,142,0.688463,0.000000,0.000000,0.000000,events/second
1590873315,142,0.678586,0.000000,0.000000,0.000000,events/second
1590873318,142,0.669008,0.000000,0.000000,0.000000,events/second
1590873321,145,0.673447,0.000000,0.000000,0.000000,events/second
1590873324,145,0.664340,0.000000,0.000000,0.000000,events/second
1590873327,147,0.664195,0.000000,0.000000,0.000000,events/second
1590873330,148,0.659957,0.000000,0.000000,0.000000,events/second
1590873333,148,0.651239,0.000000,0.000000,0.000000,events/second
1590873336,148,0.642746,0.000000,0.000000,0.000000,events/second
1590873339,148,0.634488,0.000000,0.000000,0.000000,events/second
1590873342,148,0.626433,0.000000,0.000000,0.000000,events/second
1590873345,148,0.618576,0.000000,0.000000,0.000000,events/second
1590873348,151,0.623291,0.000000,0.000000,0.000000,events/second
1590873351,151,0.615672,0.000000,0.000000,0.000000,events/second
