t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,39,3.440963,0.000000,0.000000,0.000000,events/second
1590873120,39,2.730718,0.000000,0.000000,0.000000,events/second
1590873123,39,2.256097,0.000000,0.000000,0.000000,events/second
1590873126,39,1.925006,0.000000,0.000000,0.000000,events/second
1590873129,39,1.675561,0.000000,0.000000,0.000000,events/second
1590873132,39,1.484358,0.000000,0.000000,0.000000,events/second
1590873135,39,1.332612,0.000000,0.000000,0.000000,events/second
1590873138,39,1.208499,0.000000,0.000000,0.000000,events/second
1590873141,39,1.105543,0.000000,0.000000,0.000000,events/second
1590873144,39,1.017852,0.000000,0.000000,0.000000,events/second
1590873147,39,0.945505,0.000000,0.000000,0.000000,events/second
1590873150,39,0.881130,0.000000,0.000000,0.000000,events/second
1590873153,39,0.825208,0.000000,0.000000,0.000000,events/second
1590873156,39,0.775844,0.000000,0.000000,0.000000,events/second
1590873159,39,0.732267,0.000000,0.000000,0.000000,events/second
1590873162,39,0.693162,0.000000,0.000000,0.000000,events/second
1590873165,39,0.658019,0.000000,0.000000,0.000000,events/second
1590873168,39,0.626339,0.000000,0.000000,0.000000,events/second
1590873171,39,0.597610,0.000000,0.000000,0.000000,events/second
1590873174,39,0.571406,0.000000,0.000000,0.000000,events/second
1590873177,39,0.547263,0.000000,0.000000,0.000000,events/second
1590873180,39,0.525145,0.000000,0.000000,0.000000,events/second
1590873183,39,0.504763,0.000000,0.000000,0.000000,events/second
1590873186,39,0.485910,0.000000,0.000000,0.000000,events/second
1590873189,39,0.468400,0.000000,0.000000,0.000000,events/second
1590873192,39,0.452093,0.000000,0.000000,0.000000,events/second
1590873195,39,0.436854,0.000000,0.000000,0.000000,events/second
1590873198,39,0.422767,0.000000,0.000000,0.000000,events/second
1590873201,39,0.409392,0.000000,0.000000,0.000000,events/second
1590873204,39,0.396904,0.000000,0.000000,0.000000,events/second
1590873207,39,0.385129,0.000000,0.000000,0.000000,events/second
1590873210,39,0.374036,0.000000,0.000000,0.000000,events/second
1590873213,39,0.363592,0.000000,0.000000,0.000000,events/second
1590873216,39,0.353703,0.000000,0.000000,0.000000,events/second
1590873219,39,0.344341,0.000000,0.000000,0.000000,events/second
1590873222,39,0.335257,0.000000,0.000000,0.000000,events/second
1590873225,39,0.327010,0.000000,0.000000,0.000000,events/second
1590873228,39,0.318996,0.000000,0.000000,0.000000,events/second
1590873231,39,0.311301,0.000000,0.000000,0.000000,events/second
1590873234,39,0.304101,0.000000,0.000000,0.000000,events/second
1590873237,39,0.297095,0.000000,0.000000,0.000000,events/second
1590873240,39,0.290482,0.000000,0.000000,0.000000,events/second
1590873243,39,0.284120,0.000000,0.000000,0.000000,events/second
