t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,40,3.529282,0.000000,0.000000,0.000000,events/second
1590873120,40,2.800860,0.000000,0.000000,0.000000,events/second
1590873123,40,2.314033,0.000000,0.000000,0.000000,events/second
1590873126,40,1.974433,0.000000,0.000000,0.000000,events/second
1590873129,40,1.718575,0.000000,0.000000,0.000000,events/second
1590873132,40,1.522439,0.000000,0.000000,0.000000,events/second
1590873135,40,1.366810,0.000000,0.000000,0.000000,events/second
1590873138,40,1.239511,0.000000,0.000000,0.000000,events/second
1590873141,40,1.133910,0.000000,0.000000,0.000000,events/second
1590873144,40,1.043968,0.000000,0.000000,0.000000,events/second
1590873147,40,0.969767,0.000000,0.000000,0.000000,events/second
1590873150,40,0.903738,0.000000,0.000000,0.000000,events/second
1590873153,40,0.846380,0.000000,0.000000,0.000000,events/second
1590873156,40,0.795748,0.000000,0.000000,0.000000,events/second
1590873159,40,0.751053,0.000000,0.000000,0.000000,events/second
1590873162,40,0.710944,0.000000,0.000000,0.000000,events/second
1590873165,40,0.674900,0.000000,0.000000,0.000000,events/second
1590873168,40,0.642404,0.000000,0.000000,0.000000,events/second
1590873171,40,0.612939,0.000000,0.000000,0.000000,events/second
1590873174,40,0.586064,0.000000,0.000000,0.000000,events/second
1590873177,40,0.561301,0.000000,0.000000,0.000000,events/second
1590873180,40,0.538615,0.000000,0.000000,0.000000,events/second
1590873183,40,0.517710,0.000000,0.000000,0.000000,events/second
1590873186,40,0.498374,0.000000,0.000000,0.000000,events/second
1590873189,40,0.480415,0.000000,0.000000,0.000000,events/second
1590873192,40,0.463689,0.000000,0.000000,0.000000,events/second
1590873195,40,0.448058,0.000000,0.000000,0.000000,events/second
1590873198,40,0.433610,0.000000,0.000000,0.000000,events/second
1590873201,40,0.419893,0.000000,0.000000,0.000000,events/second
1590873204,40,0.407084,0.000000,0.000000,0.000000,events/second
1590873207,40,0.395007,0.000000,0.000000,0.000000,events/second
1590873210,40,0.383629,0.000000,0.000000,0.000000,events/second
1590873213,40,0.372917,0.000000,0.000000,0.000000,events/second
1590873216,40,0.362775,0.000000,0.000000,0.000000,events/second
1590873219,40,0.353172,0.000000,0.000000,0.000000,events/second
1590873222,40,0.343855,0.000000,0.000000,0.000000,events/second
1590873225,40,0.335397,0.000000,0.000000,0.000000,events/second
1590873228,40,0.327177,0.000000,0.000000,0.000000,events/second
1590873231,40,0.319280,0.000000,0.000000,0.000000,events/second
1590873234,40,0.311900,0.000000,0.000000,0.000000,events/second
1590873237,40,0.304715,0.000000,0.000000,0.000000,events/second
