t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,2,0.176415,0.000000,0.000000,0.000000,events/second
1590873120,2,0.140022,0.000000,0.000000,0.000000,events/second
1590873123,2,0.115687,0.000000,0.000000,0.000000,events/second
1590873126,2,0.098712,0.000000,0.000000,0.000000,events/second
1590873129,3,0.128880,0.000000,0.000000,0.000000,events/second
1590873132,3,0.114173,0.000000,0.000000,0.000000,events/second
1590873135,3,0.102503,0.000000,0.000000,0.000000,events/second
1590873138,3,0.092957,0.000000,0.000000,0.000000,events/second
1590873141,3,0.085038,0.000000,0.000000,0.000000,events/second
1590873144,3,0.078293,0.000000,0.000000,0.000000,events/second
1590873147,3,0.072729,0.000000,0.000000,0.000000,events/second
1590873150,3,0.067777,0.000000,0.000000,0.000000,events/second
1590873153,3,0.063475,0.000000,0.000000,0.000000,events/second
1590873156,3,0.059679,0.000000,0.000000,0.000000,events/second
1590873159,3,0.056327,0.000000,0.000000,0.000000,events/second
1590873162,3,0.053319,0.000000,0.000000,0.000000,events/second
1590873165,3,0.050615,0.000000,0.000000,0.000000,events/second
1590873168,3,0.048179,0.000000,0.000000,0.000000,events/second
1590873171,3,0.045969,0.000000,0.000000,0.000000,events/second
1590873174,3,0.043954,0.000000,0.000000,0.000000,events/second
1590873177,3,0.042096,0.000000,0.000000,0.000000,events/second
1590873180,3,0.040395,0.000000,0.000000,0.000000,events/second
1590873183,3,0.038827,0.000000,0.000000,0.000000,events/second
1590873186,3,0.037377,0.000000,0.000000,0.000000,events/second
1590873189,3,0.036030,0.000000,0.000000,0.000000,events/second
1590873192,3,0.034776,0.000000,0.000000,0.000000,events/second
1590873195,3,0.033604,0.000000,0.000000,0.000000,events/second
1590873198,3,0.032520,0.000000,0.000000,0.000000,events/second
1590873201,3,0.031491,0.000000,0.000000,0.000000,events/second
1590873204,3,0.030531,0.000000,0.000000,0.000000,events/second
1590873207,3,0.029625,0.000000,0.000000,0.000000,events/second
1590873210,3,0.028772,0.000000,0.000000,0.000000,events/second
1590873213,3,0.027968,0.000000,0.000000,0.000000,events/second
1590873216,3,0.027208,0.000000,0.000000,0.000000,events/second
1590873219,3,0.026487,0.000000,0.000000,0.000000,events/second
1590873222,3,0.025789,0.000000,0.000000,0.000000,events/second
1590873225,3,0.025154,0.000000,0.000000,0.000000,events/second
1590873228,3,0.024538,0.000000,0.000000,0.000000,events/second
1590873231,3,0.023946,0.000000,0.000000,0.000000,events/second
1590873234,3,0.023392,0.000000,0.000000,0.000000,events/second
1590873237,3,0.022853,0.000000,0.000000,0.000000,events/second
1590873240,3,0.022345,0.000000,0.000000,0.000000,events/second
1590873243,3,0.021855,0.000000,0.000000,0.000000,events/second
1590873246,3,0.021388,0.000000,0.000000,0.000000,events/second
1590873249,3,0.020940,0.000000,0.000000,0.000000,events/second
1590873252,3,0.020511,0.000000,0.000000,0.000000,events/second
1590873255,3,0.020098,0.000000,0.000000,0.000000,events/second
1590873258,3,0.019702,0.000000,0.000000,0.000000,events/second
1590873261,3,0.019323,0.000000,0.000000,0.000000,events/second
1590873264,3,0.018956,0.000000,0.000000,0.000000,events/second
1590873267,3,0.018602,0.000000,0.000000,0.000000,events/second
1590873270,3,0.018264,0.000000,0.000000,0.000000,events/second
1590873273,3,0.017936,0.000000,0.000000,0.000000,events/second
1590873276,3,0.017620,0.000000,0.000000,0.000000,events/second
1590873279,3,0.017315,0.000000,0.000000,0.000000,events/second
1590873282,3,0.017020,0.000000,0.000000,0.000000,events/second
1590873285,3,0.016735,0.000000,0.000000,0.000000,events/second
1590873288,3,0.016460,0.000000,0.000000,0.000000,events/second
1590873291,3,0.016193,0.000000,0.000000,0.000000,events/second
1590873294,3,0.015935,0.000000,0.000000,0.000000,events/second
1590873297,3,0.015686,0.000000,0.000000,0.000000,events/second
1590873300,3,0.015443,0.000000,0.000000,0.000000,events/second
1590873303,3,0.015208,0.000000,0.000000,0.000000,events/second
1590873306,3,0.014980,0.000000,0.000000,0.000000,events/second
1590873309,3,0.014759,0.000000,0.000000,0.000000,events/second
