t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,123,10.845299,0.000000,0.000000,0.000000,events/second
1590873120,126,8.820835,0.000000,0.000000,0.000000,events/second
1590873123,126,7.285211,0.000000,0.000000,0.000000,events/second
1590873126,127,6.268051,0.000000,0.000000,0.000000,events/second
1590873129,137,5.885345,0.000000,0.000000,0.000000,events/second
1590873132,139,5.289830,0.000000,0.000000,0.000000,events/second
1590873135,139,4.749138,0.000000,0.000000,0.000000,events/second
1590873138,140,4.337730,0.000000,0.000000,0.000000,events/second
1590873141,142,4.025033,0.000000,0.000000,0.000000,events/second
1590873144,142,3.705785,0.000000,0.000000,0.000000,events/second
1590873147,145,3.515214,0.000000,0.000000,0.000000,events/second
1590873150,145,3.275849,0.000000,0.000000,0.000000,events/second
1590873153,145,3.067922,0.000000,0.000000,0.000000,events/second
1590873156,145,2.884401,0.000000,0.000000,0.000000,events/second
1590873159,148,2.778757,0.000000,0.000000,0.000000,events/second
1590873162,148,2.630362,0.000000,0.000000,0.000000,events/second
1590873165,148,2.496944,0.000000,0.000000,0.000000,events/second
1590873168,152,2.441018,0.000000,0.000000,0.000000,events/second
1590873171,154,2.359717,0.000000,0.000000,0.000000,events/second
1590873174,154,2.256273,0.000000,0.000000,0.000000,events/second
1590873177,154,2.160914,0.000000,0.000000,0.000000,events/second
1590873180,157,2.113971,0.000000,0.000000,0.000000,events/second
1590873183,157,2.031921,0.000000,0.000000,0.000000,events/second
1590873186,157,1.956051,0.000000,0.000000,0.000000,events/second
1590873189,160,1.921595,0.000000,0.000000,0.000000,events/second
1590873192,163,1.889469,0.000000,0.000000,0.000000,events/second
1590873195,163,1.825770,0.000000,0.000000,0.000000,events/second
1590873198,163,1.766921,0.000000,0.000000,0.000000,events/second
1590873201,163,1.711013,0.000000,0.000000,0.000000,events/second
1590873204,163,1.658827,0.000000,0.000000,0.000000,events/second
1590873207,166,1.639245,0.000000,0.000000,0.000000,events/second
1590873210,166,1.592019,0.000000,0.000000,0.000000,events/second
1590873213,166,1.547566,0.000000,0.000000,0.000000,events/second
1590873216,166,1.505482,0.000000,0.000000,0.000000,events/second
1590873219,166,1.465628,0.000000,0.000000,0.000000,events/second
1590873222,166,1.426967,0.000000,0.000000,0.000000,events/second
1590873225,166,1.391865,0.000000,0.000000,0.000000,events/second
1590873228,169,1.382292,0.000000,0.000000,0.000000,events/second
1590873231,169,1.348923,0.000000,0.000000,0.000000,events/second
1590873234,169,1.317757,0.000000,0.000000,0.000000,events/second
1590873237,169,1.287384,0.000000,0.000000,0.000000,events/second
1590873240,169,1.258730,0.000000,0.000000,0.000000,events/second
1590873243,169,1.231151,0.000000,0.000000,0.000000,events/second
1590873246,169,1.204827,0.000000,0.000000,0.000000,events/second
1590873249,172,1.200530,0.000000,0.000000,0.000000,events/second
1590873252,172,1.175928,0.000000,0.000000,0.000000,events/second
1590873255,172,1.152265,0.000000,0.000000,0.000000,events/second
1590873258,172,1.129568,0.000000,0.000000,0.000000,events/second
1590873261,172,1.107835,0.000000,0.000000,0.000000,events/second
1590873264,172,1.086784,0.000000,0.000000,0.000000,events/second
1590873267,175,1.085139,0.000000,0.000000,0.000000,events/second
1590873270,175,1.065373,0.000000,0.000000,0.000000,events/second
1590873273,175,1.046251,0.000000,0.000000,0.000000,events/second
1590873276,175,1.027825,0.000000,0.000000,0.000000,events/second
1590873279,175,1.010018,0.000000,0.000000,0.000000,events/second
1590873282,175,0.992854,0.000000,0.000000,0.000000,events/second
1590873285,175,0.976231,0.000000,0.000000,0.000000,events/second
1590873288,178,0.976607,0.000000,0.000000,0.000000,events/second
1590873291,178,0.960806,0.000000,0.000000,0.000000,events/second
1590873294,178,0.945466,0.000000,0.000000,0.000000,events/second
1590873297,178,0.930675,0.000000,0.000000,0.000000,events/second
1590873300,178,0.916290,0.000000,0.000000,0.000000,events/second
1590873303,178,0.902352,0.000000,0.000000,0.000000,events/second
1590873306,178,0.888823,0.000000,0.000000,0.000000,events/second
1590873309,181,0.890483,0.000000,0.000000,0.000000,events/second
1590873312,181,0.877539,0.000000,0.000000,0.000000,events/second
1590873315,181,0.864949,0.000000,0.000000,0.000000,events/second
1590873318,181,0.852745,0.000000,0.000000,0.000000,events/second
1590873321,184,0.854575,0.000000,0.000000,0.000000,events/second
1590873324,184,0.843016,0.000000,0.000000,0.000000,events/second
1590873327,187,0.844918,0.000000,0.000000,0.000000,events/second
1590873330,187,0.833857,0.000000,0.000000,0.000000,events/second
1590873333,187,0.822841,0.000000,0.000000,0.000000,events/second
1590873336,187,0.812112,0.000000,0.000000,0.000000,events/second
1590873339,187,0.801677,0.000000,0.000000,0.000000,events/second
1590873342,187,0.791499,0.000000,0.000000,0.000000,events/second
1590873345,187,0.781573,0.000000,0.000000,0.000000,events/second
1590873348,190,0.784263,0.000000,0.000000,0.000000,events/second
1590873351,190,0.774678,0.000000,0.000000,0.000000,events/second
1590873354,190,0.765317,0.000000,0.000000,0.000000,events/second
1590873357,190,0.756184,0.000000,0.000000,0.000000,events/second
1590873360,190,0.747207,0.000000,0.000000,0.000000,events/second
1590873363,190,0.738547,0.000000,0.000000,0.000000,events/second
1590873366,190,0.730039,0.000000,0.000000,0.000000,events/second
1590873369,193,0.733098,0.000000,0.000000,0.000000,events/second
1590873372,193,0.724841,0.000000,0.000000,0.000000,events/second
