t,value
1590873117,-1
1590873120,-1
1590873123,-1
1590873126,-1
1590873129,-1
1590873132,-1
1590873135,-1
1590873138,-1
1590873141,-1
1590873144,-1
1590873147,-1
1590873150,-1
1590873153,-1
1590873156,-1
1590873159,-1
1590873162,-1
1590873165,-1
1590873168,-1
1590873171,-1
1590873174,-1
1590873177,-1
1590873180,-1
1590873183,-1
1590873186,-1
1590873189,-1
1590873192,-1
1590873195,-1
1590873198,-1
1590873201,-1
1590873204,-1
1590873207,-1
1590873210,-1
1590873213,-1
1590873216,-1
1590873219,-1
1590873222,-1
1590873225,-1
1590873228,-1
1590873231,-1
1590873234,-1
1590873237,-1
1590873240,-1
1590873243,-1
1590873246,-1
1590873249,-1
1590873252,-1
1590873255,-1
1590873258,-1
1590873261,-1
1590873264,-1
1590873267,-1
1590873270,-1
1590873273,-1
1590873276,-1
1590873279,-1
1590873282,-1
1590873285,-1
1590873288,-1
1590873291,-1
1590873294,-1
1590873297,-1
1590873300,-1
1590873303,-1
1590873306,-1
1590873309,-1
1590873312,-1
1590873315,-1
1590873318,-1
1590873321,-1
1590873324,-1
1590873327,-1
1590873330,-1
1590873333,-1
1590873336,-1
1590873339,-1
1590873342,-1
1590873345,-1
1590873348,-1
1590873351,-1
1590873354,-1
1590873357,-1
1590873360,-1
1590873363,-1
1590873366,-1
1590873369,-1
1590873372,-1
1590873375,-1
1590873378,-1
1590873381,-1
1590873384,-1
1590873387,-1
1590873390,-1
1590873393,-1
1590873396,-1
1590873399,-1
1590873402,-1
1590873405,-1
1590873408,-1
1590873411,-1
1590873414,-1
1590873417,-1
1590873420,-1
1590873423,-1
1590873426,-1
1590873429,-1
1590873432,-1
1590873435,-1
1590873438,-1
1590873441,-1
1590873444,-1
1590873447,-1
1590873450,-1
1590873453,-1
1590873456,-1
1590873459,-1
1590873462,-1
1590873465,-1
1590873468,-1
1590873471,-1
1590873474,-1
1590873477,-1
1590873480,-1
1590873483,-1
1590873486,-1
1590873489,-1
1590873492,-1
1590873495,-1
1590873498,-1
1590873501,-1
1590873504,-1
1590873507,-1
1590873510,-1
1590873513,-1
1590873516,-1
1590873519,-1
1590873522,-1
1590873525,-1
1590873528,-1
1590873531,-1
1590873534,-1
1590873537,-1
1590873540,-1
1590873543,-1
1590873546,-1
1590873549,-1
1590873552,-1
1590873555,-1
1590873558,-1
1590873561,-1
1590873564,-1
1590873567,-1
1590873570,-1
1590873573,-1
1590873576,-1
1590873579,-1
1590873582,-1
1590873585,-1
1590873588,-1
1590873591,-1
1590873594,-1
1590873597,-1
1590873600,-1
1590873603,-1
1590873606,-1
1590873609,-1
1590873612,-1
1590873615,-1
1590873618,-1
1590873621,-1
1590873624,-1
1590873627,-1
1590873630,-1
1590873633,-1
1590873636,-1
1590873639,-1
1590873642,-1
1590873645,-1
1590873648,-1
1590873651,-1
1590873654,-1
1590873657,-1
1590873660,-1
1590873663,-1
1590873666,-1
1590873669,-1
1590873672,-1
1590873675,-1
1590873678,-1
1590873681,-1
1590873684,-1
1590873687,-1
1590873690,-1
1590873693,-1
1590873696,-1
1590873699,-1
1590873702,-1
1590873705,-1
1590873708,-1
1590873711,-1
1590873714,-1
1590873717,-1
1590873720,-1
1590873723,-1
1590873726,-1
1590873729,-1
1590873732,-1
1590873735,-1
1590873738,-1
1590873741,-1
1590873744,-1
1590873747,-1
1590873750,-1
1590873753,-1
1590873756,-1
1590873759,-1
1590873762,-1
1590873765,-1
1590873768,-1
1590873771,-1
1590873774,-1
1590873777,-1
1590873780,-1
1590873783,-1
1590873786,-1
1590873789,-1
1590873792,-1
1590873795,-1
1590873798,-1
1590873801,-1
1590873804,-1
1590873807,-1
1590873810,-1
1590873813,-1
1590873816,-1
1590873819,-1
1590873822,-1
1590873825,-1
1590873828,-1
1590873831,-1
1590873834,-1
1590873837,-1
1590873840,-1
1590873843,-1
1590873846,-1
1590873849,-1
1590873852,-1
1590873855,-1
1590873858,-1
1590873861,-1
1590873864,-1
1590873867,-1
1590873870,-1
1590873873,-1
1590873876,-1
1590873879,-1
1590873882,-1
1590873885,-1
1590873888,-1
1590873891,-1
1590873894,-1
1590873897,-1
1590873900,-1
1590873903,-1
1590873906,-1
1590873909,-1
1590873912,-1
1590873915,-1
1590873918,-1
1590873921,-1
1590873924,-1
1590873927,-1
1590873930,-1
1590873933,-1
1590873936,-1
1590873939,-1
1590873942,-1
1590873945,-1
1590873948,-1
1590873951,-1
1590873954,-1
1590873957,-1
1590873960,-1
1590873963,-1
1590873966,-1
1590873969,-1
1590873972,-1
1590873975,-1
1590873978,-1
1590873981,-1
1590873984,-1
1590873987,-1
1590873990,-1
1590873993,-1
1590873996,-1
1590873999,-1
1590874002,-1
1590874005,-1
1590874008,-1
1590874011,-1
1590874014,-1
1590874017,-1
1590874020,-1
1590874023,-1
1590874026,-1
1590874029,-1
1590874032,-1
1590874035,-1
1590874038,-1
1590874041,-1
1590874044,-1
1590874047,-1
1590874050,-1
1590874053,-1
1590874056,-1
1590874059,-1
1590874062,-1
1590874065,-1
1590874068,-1
1590874071,-1
1590874074,-1
1590874077,-1
1590874080,-1
1590874083,-1
1590874086,-1
1590874089,-1
1590874092,-1
1590874095,-1
1590874098,-1
1590874101,-1
1590874104,-1
1590874107,-1
1590874110,-1
1590874113,-1
1590874116,-1
