t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,9,2.920632,0.000000,0.000000,0.000000,events/second
1590873120,10,1.660675,0.000000,0.000000,0.000000,events/second
1590873123,10,1.107082,0.000000,0.000000,0.000000,events/second
1590873126,11,0.916793,0.000000,0.000000,0.000000,events/second
1590873129,11,0.732591,0.000000,0.000000,0.000000,events/second
1590873132,11,0.610624,0.000000,0.000000,0.000000,events/second
1590873135,11,0.523662,0.000000,0.000000,0.000000,events/second
1590873138,11,0.458087,0.000000,0.000000,0.000000,events/second
1590873141,11,0.407158,0.000000,0.000000,0.000000,events/second
1590873144,11,0.365985,0.000000,0.000000,0.000000,events/second
1590873147,11,0.333475,0.000000,0.000000,0.000000,events/second
1590873150,11,0.305552,0.000000,0.000000,0.000000,events/second
1590873153,11,0.282047,0.000000,0.000000,0.000000,events/second
1590873156,11,0.261850,0.000000,0.000000,0.000000,events/second
1590873159,11,0.244454,0.000000,0.000000,0.000000,events/second
1590873162,11,0.229151,0.000000,0.000000,0.000000,events/second
1590873165,11,0.215642,0.000000,0.000000,0.000000,events/second
1590873168,11,0.203678,0.000000,0.000000,0.000000,events/second
1590873171,11,0.192985,0.000000,0.000000,0.000000,events/second
1590873174,11,0.183361,0.000000,0.000000,0.000000,events/second
1590873177,11,0.174594,0.000000,0.000000,0.000000,events/second
1590873180,11,0.166654,0.000000,0.000000,0.000000,events/second
1590873183,11,0.159410,0.000000,0.000000,0.000000,events/second
1590873186,11,0.152776,0.000000,0.000000,0.000000,events/second
1590873189,11,0.146664,0.000000,0.000000,0.000000,events/second
1590873192,11,0.141017,0.000000,0.000000,0.000000,events/second
1590873195,11,0.135777,0.000000,0.000000,0.000000,events/second
1590873198,11,0.130972,0.000000,0.000000,0.000000,events/second
1590873201,11,0.126433,0.000000,0.000000,0.000000,events/second
1590873204,11,0.122223,0.000000,0.000000,0.000000,events/second
1590873207,11,0.118276,0.000000,0.000000,0.000000,events/second
1590873210,11,0.114573,0.000000,0.000000,0.000000,events/second
1590873213,11,0.111108,0.000000,0.000000,0.000000,events/second
1590873216,11,0.107843,0.000000,0.000000,0.000000,events/second
1590873219,11,0.104763,0.000000,0.000000,0.000000,events/second
1590873222,11,0.101788,0.000000,0.000000,0.000000,events/second
1590873225,11,0.099098,0.000000,0.000000,0.000000,events/second
1590873228,11,0.096493,0.000000,0.000000,0.000000,events/second
1590873231,11,0.093999,0.000000,0.000000,0.000000,events/second
1590873234,11,0.091678,0.000000,0.000000,0.000000,events/second
1590873237,11,0.089422,0.000000,0.000000,0.000000,events/second
1590873240,11,0.087302,0.000000,0.000000,0.000000,events/second
1590873243,11,0.085266,0.000000,0.000000,0.000000,events/second
1590873246,11,0.083329,0.000000,0.000000,0.000000,events/second
1590873249,11,0.081477,0.000000,0.000000,0.000000,events/second
1590873252,11,0.079707,0.000000,0.000000,0.000000,events/second
1590873255,11,0.078009,0.000000,0.000000,0.000000,events/second
1590873258,11,0.076385,0.000000,0.000000,0.000000,events/second
1590873261,11,0.074833,0.000000,0.000000,0.000000,events/second
1590873264,11,0.073332,0.000000,0.000000,0.000000,events/second
1590873267,11,0.071892,0.000000,0.000000,0.000000,events/second
1590873270,11,0.070513,0.000000,0.000000,0.000000,events/second
1590873273,11,0.069182,0.000000,0.000000,0.000000,events/second
1590873276,11,0.067901,0.000000,0.000000,0.000000,events/second
1590873279,11,0.066666,0.000000,0.000000,0.000000,events/second
1590873282,11,0.065477,0.000000,0.000000,0.000000,events/second
1590873285,11,0.064328,0.000000,0.000000,0.000000,events/second
1590873288,11,0.063218,0.000000,0.000000,0.000000,events/second
1590873291,11,0.062147,0.000000,0.000000,0.000000,events/second
1590873294,11,0.061109,0.000000,0.000000,0.000000,events/second
1590873297,11,0.060111,0.000000,0.000000,0.000000,events/second
1590873300,11,0.059140,0.000000,0.000000,0.000000,events/second
1590873303,11,0.058201,0.000000,0.000000,0.000000,events/second
1590873306,11,0.057290,0.000000,0.000000,0.000000,events/second
1590873309,11,0.056411,0.000000,0.000000,0.000000,events/second
1590873312,11,0.055557,0.000000,0.000000,0.000000,events/second
1590873315,11,0.054727,0.000000,0.000000,0.000000,events/second
1590873318,11,0.053924,0.000000,0.000000,0.000000,events/second
1590873321,12,0.057957,0.000000,0.000000,0.000000,events/second
1590873324,12,0.057143,0.000000,0.000000,0.000000,events/second
1590873327,12,0.056322,0.000000,0.000000,0.000000,events/second
1590873330,12,0.055556,0.000000,0.000000,0.000000,events/second
1590873333,12,0.054795,0.000000,0.000000,0.000000,events/second
1590873336,12,0.054054,0.000000,0.000000,0.000000,events/second
1590873339,12,0.053334,0.000000,0.000000,0.000000,events/second
1590873342,12,0.052632,0.000000,0.000000,0.000000,events/second
1590873345,12,0.051948,0.000000,0.000000,0.000000,events/second
1590873348,12,0.051281,0.000000,0.000000,0.000000,events/second
1590873351,12,0.050633,0.000000,0.000000,0.000000,events/second
1590873354,12,0.050000,0.000000,0.000000,0.000000,events/second
1590873357,12,0.049383,0.000000,0.000000,0.000000,events/second
1590873360,12,0.048777,0.000000,0.000000,0.000000,events/second
1590873363,12,0.048193,0.000000,0.000000,0.000000,events/second
1590873366,12,0.047620,0.000000,0.000000,0.000000,events/second
1590873369,12,0.047058,0.000000,0.000000,0.000000,events/second
1590873372,12,0.046511,0.000000,0.000000,0.000000,events/second
1590873375,12,0.045978,0.000000,0.000000,0.000000,events/second
1590873378,12,0.045447,0.000000,0.000000,0.000000,events/second
1590873381,12,0.044943,0.000000,0.000000,0.000000,events/second
1590873384,12,0.044446,0.000000,0.000000,0.000000,events/second
1590873387,12,0.043956,0.000000,0.000000,0.000000,events/second
1590873390,12,0.043479,0.000000,0.000000,0.000000,events/second
1590873393,12,0.043011,0.000000,0.000000,0.000000,events/second
1590873396,12,0.042553,0.000000,0.000000,0.000000,events/second
1590873399,12,0.042105,0.000000,0.000000,0.000000,events/second
1590873402,12,0.041666,0.000000,0.000000,0.000000,events/second
1590873405,12,0.041237,0.000000,0.000000,0.000000,events/second
1590873408,12,0.040816,0.000000,0.000000,0.000000,events/second
1590873411,12,0.040404,0.000000,0.000000,0.000000,events/second
1590873414,12,0.040000,0.000000,0.000000,0.000000,events/second
1590873417,12,0.039604,0.000000,0.000000,0.000000,events/second
1590873420,12,0.039215,0.000000,0.000000,0.000000,events/second
1590873423,12,0.038835,0.000000,0.000000,0.000000,events/second
1590873426,12,0.038463,0.000000,0.000000,0.000000,events/second
1590873429,12,0.038096,0.000000,0.000000,0.000000,events/second
1590873432,12,0.037736,0.000000,0.000000,0.000000,events/second
1590873435,12,0.037384,0.000000,0.000000,0.000000,events/second
1590873438,12,0.037037,0.000000,0.000000,0.000000,events/second
1590873441,12,0.036697,0.000000,0.000000,0.000000,events/second
1590873444,12,0.036364,0.000000,0.000000,0.000000,events/second
1590873447,12,0.036035,0.000000,0.000000,0.000000,events/second
1590873450,12,0.035715,0.000000,0.000000,0.000000,events/second
1590873453,12,0.035400,0.000000,0.000000,0.000000,events/second
1590873456,12,0.035088,0.000000,0.000000,0.000000,events/second
1590873459,12,0.034783,0.000000,0.000000,0.000000,events/second
1590873462,12,0.034483,0.000000,0.000000,0.000000,events/second
1590873465,12,0.034188,0.000000,0.000000,0.000000,events/second
1590873468,12,0.033899,0.000000,0.000000,0.000000,events/second
1590873471,12,0.033613,0.000000,0.000000,0.000000,events/second
1590873474,12,0.033334,0.000000,0.000000,0.000000,events/second
1590873477,12,0.033058,0.000000,0.000000,0.000000,events/second
1590873480,12,0.032787,0.000000,0.000000,0.000000,events/second
1590873483,12,0.032521,0.000000,0.000000,0.000000,events/second
1590873486,12,0.032258,0.000000,0.000000,0.000000,events/second
