t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,76,24.649185,0.000000,0.000000,0.000000,events/second
1590873120,126,20.921572,0.000000,0.000000,0.000000,events/second
1590873123,126,13.947819,0.000000,0.000000,0.000000,events/second
1590873126,147,12.251003,0.000000,0.000000,0.000000,events/second
1590873129,147,9.789610,0.000000,0.000000,0.000000,events/second
1590873132,147,8.159736,0.000000,0.000000,0.000000,events/second
1590873135,147,6.997724,0.000000,0.000000,0.000000,events/second
1590873138,147,6.121440,0.000000,0.000000,0.000000,events/second
1590873141,147,5.440932,0.000000,0.000000,0.000000,events/second
1590873144,147,4.890738,0.000000,0.000000,0.000000,events/second
1590873147,147,4.456354,0.000000,0.000000,0.000000,events/second
1590873150,147,4.083196,0.000000,0.000000,0.000000,events/second
1590873153,147,3.769102,0.000000,0.000000,0.000000,events/second
1590873156,147,3.499181,0.000000,0.000000,0.000000,events/second
1590873159,147,3.266734,0.000000,0.000000,0.000000,events/second
1590873162,147,3.062225,0.000000,0.000000,0.000000,events/second
1590873165,147,2.881666,0.000000,0.000000,0.000000,events/second
1590873168,147,2.721839,0.000000,0.000000,0.000000,events/second
1590873171,147,2.578948,0.000000,0.000000,0.000000,events/second
1590873174,147,2.450345,0.000000,0.000000,0.000000,events/second
1590873177,147,2.333175,0.000000,0.000000,0.000000,events/second
1590873180,147,2.227065,0.000000,0.000000,0.000000,events/second
1590873183,147,2.130262,0.000000,0.000000,0.000000,events/second
1590873186,147,2.041628,0.000000,0.000000,0.000000,events/second
1590873189,147,1.959946,0.000000,0.000000,0.000000,events/second
1590873192,147,1.884479,0.000000,0.000000,0.000000,events/second
1590873195,147,1.814457,0.000000,0.000000,0.000000,events/second
1590873198,147,1.750246,0.000000,0.000000,0.000000,events/second
1590873201,147,1.689587,0.000000,0.000000,0.000000,events/second
1590873204,147,1.633337,0.000000,0.000000,0.000000,events/second
1590873207,147,1.580586,0.000000,0.000000,0.000000,events/second
1590873210,147,1.531093,0.000000,0.000000,0.000000,events/second
1590873213,147,1.484801,0.000000,0.000000,0.000000,events/second
1590873216,147,1.441160,0.000000,0.000000,0.000000,events/second
1590873219,147,1.400001,0.000000,0.000000,0.000000,events/second
1590873222,147,1.360245,0.000000,0.000000,0.000000,events/second
1590873225,147,1.324296,0.000000,0.000000,0.000000,events/second
1590873228,147,1.289489,0.000000,0.000000,0.000000,events/second
1590873231,147,1.256156,0.000000,0.000000,0.000000,events/second
1590873234,147,1.225148,0.000000,0.000000,0.000000,events/second
1590873237,147,1.194998,0.000000,0.000000,0.000000,events/second
1590873240,147,1.166658,0.000000,0.000000,0.000000,events/second
1590873243,147,1.139455,0.000000,0.000000,0.000000,events/second
1590873246,147,1.113577,0.000000,0.000000,0.000000,events/second
1590873249,147,1.088821,0.000000,0.000000,0.000000,events/second
1590873252,147,1.065172,0.000000,0.000000,0.000000,events/second
1590873255,147,1.042481,0.000000,0.000000,0.000000,events/second
1590873258,147,1.020771,0.000000,0.000000,0.000000,events/second
1590873261,147,1.000031,0.000000,0.000000,0.000000,events/second
