t,value
1590873117,536870912
1590873120,536870912
1590873123,536870912
1590873126,536870912
1590873129,536870912
1590873132,536870912
1590873135,536870912
1590873138,536870912
1590873141,536870912
1590873144,536870912
1590873147,536870912
1590873150,536870912
1590873153,536870912
1590873156,536870912
1590873159,536870912
1590873162,536870912
1590873165,536870912
1590873168,536870912
1590873171,536870912
1590873174,536870912
1590873177,536870912
1590873180,536870912
1590873183,536870912
1590873186,536870912
1590873189,536870912
1590873192,536870912
1590873195,536870912
1590873198,536870912
1590873201,536870912
1590873204,536870912
1590873207,536870912
1590873210,536870912
1590873213,536870912
1590873216,536870912
1590873219,536870912
1590873222,536870912
1590873225,536870912
1590873228,536870912
1590873231,536870912
1590873234,536870912
1590873237,536870912
1590873240,536870912
1590873243,536870912
1590873246,536870912
1590873249,536870912
1590873252,536870912
1590873255,536870912
1590873258,536870912
1590873261,536870912
1590873264,536870912
1590873267,536870912
1590873270,536870912
1590873273,536870912
1590873276,536870912
1590873279,536870912
1590873282,536870912
1590873285,536870912
1590873288,536870912
1590873291,536870912
1590873294,536870912
1590873297,536870912
1590873300,536870912
1590873303,536870912
1590873306,536870912
1590873309,536870912
1590873312,536870912
1590873315,536870912
1590873318,536870912
1590873321,536870912
1590873324,536870912
1590873327,536870912
1590873330,536870912
1590873333,536870912
1590873336,536870912
1590873339,536870912
1590873342,536870912
1590873345,536870912
1590873348,536870912
1590873351,536870912
1590873354,536870912
1590873357,536870912
1590873360,536870912
1590873363,536870912
1590873366,536870912
1590873369,536870912
1590873372,536870912
1590873375,536870912
1590873378,536870912
1590873381,536870912
1590873384,536870912
1590873387,536870912
1590873390,536870912
1590873393,536870912
1590873396,536870912
1590873399,536870912
1590873402,536870912
1590873405,536870912
1590873408,536870912
1590873411,536870912
1590873414,536870912
1590873417,536870912
1590873420,536870912
1590873423,536870912
1590873426,536870912
1590873429,536870912
1590873432,536870912
1590873435,536870912
1590873438,536870912
1590873441,536870912
1590873444,536870912
1590873447,536870912
1590873450,536870912
1590873453,536870912
1590873456,536870912
1590873459,536870912
1590873462,536870912
1590873465,536870912
1590873468,536870912
1590873471,536870912
1590873474,536870912
1590873477,536870912
1590873480,536870912
1590873483,536870912
1590873486,536870912
1590873489,536870912
1590873492,536870912
1590873495,536870912
1590873498,536870912
1590873501,536870912
1590873504,536870912
1590873507,536870912
1590873510,536870912
1590873513,536870912
1590873516,536870912
1590873519,536870912
1590873522,536870912
1590873525,536870912
1590873528,536870912
1590873531,536870912
1590873534,536870912
1590873537,536870912
1590873540,536870912
1590873543,536870912
1590873546,536870912
1590873549,536870912
1590873552,536870912
1590873555,536870912
1590873558,536870912
1590873561,536870912
1590873564,536870912
1590873567,536870912
1590873570,536870912
1590873573,536870912
1590873576,536870912
1590873579,536870912
1590873582,536870912
1590873585,536870912
1590873588,536870912
1590873591,536870912
1590873594,536870912
1590873597,536870912
1590873600,536870912
1590873603,536870912
1590873606,536870912
1590873609,536870912
