t,value
1590873117,1073741824
1590873120,1073741824
1590873123,1073741824
1590873126,1073741824
1590873129,1073741824
1590873132,1073741824
1590873135,1073741824
1590873138,1073741824
1590873141,1073741824
1590873144,1073741824
1590873147,1073741824
1590873150,1073741824
1590873153,1073741824
1590873156,1073741824
1590873159,1073741824
1590873162,1073741824
1590873165,1073741824
1590873168,1073741824
1590873171,1073741824
1590873174,1073741824
1590873177,1073741824
1590873180,1073741824
1590873183,1073741824
1590873186,1073741824
1590873189,1073741824
1590873192,1073741824
1590873195,1073741824
1590873198,1073741824
1590873201,1073741824
1590873204,1073741824
1590873207,1073741824
1590873210,1073741824
1590873213,1073741824
1590873216,1073741824
1590873219,1073741824
1590873222,1073741824
1590873225,1073741824
1590873228,1073741824
1590873231,1073741824
1590873234,1073741824
1590873237,1073741824
1590873240,1073741824
1590873243,1073741824
1590873246,1073741824
1590873249,1073741824
1590873252,1073741824
1590873255,1073741824
1590873258,1073741824
1590873261,1073741824
1590873264,1073741824
1590873267,1073741824
1590873270,1073741824
1590873273,1073741824
1590873276,1073741824
1590873279,1073741824
1590873282,1073741824
1590873285,1073741824
1590873288,1073741824
1590873291,1073741824
1590873294,1073741824
1590873297,1073741824
1590873300,1073741824
1590873303,1073741824
1590873306,1073741824
1590873309,1073741824
1590873312,1073741824
1590873315,1073741824
1590873318,1073741824
1590873321,1073741824
1590873324,1073741824
1590873327,1073741824
1590873330,1073741824
1590873333,1073741824
1590873336,1073741824
1590873339,1073741824
1590873342,1073741824
1590873345,1073741824
1590873348,1073741824
1590873351,1073741824
1590873354,1073741824
1590873357,1073741824
1590873360,1073741824
1590873363,1073741824
1590873366,1073741824
1590873369,1073741824
1590873372,1073741824
1590873375,1073741824
1590873378,1073741824
1590873381,1073741824
1590873384,1073741824
1590873387,1073741824
1590873390,1073741824
1590873393,1073741824
1590873396,1073741824
1590873399,1073741824
1590873402,1073741824
1590873405,1073741824
1590873408,1073741824
1590873411,1073741824
1590873414,1073741824
1590873417,1073741824
1590873420,1073741824
1590873423,1073741824
1590873426,1073741824
1590873429,1073741824
1590873432,1073741824
1590873435,1073741824
1590873438,1073741824
1590873441,1073741824
1590873444,1073741824
1590873447,1073741824
1590873450,1073741824
1590873453,1073741824
1590873456,1073741824
1590873459,1073741824
1590873462,1073741824
1590873465,1073741824
1590873468,1073741824
1590873471,1073741824
1590873474,1073741824
1590873477,1073741824
1590873480,1073741824
1590873483,1073741824
1590873486,1073741824
1590873489,1073741824
1590873492,1073741824
1590873495,1073741824
1590873498,1073741824
1590873501,1073741824
1590873504,1073741824
1590873507,1073741824
1590873510,1073741824
1590873513,1073741824
1590873516,1073741824
1590873519,1073741824
1590873522,1073741824
1590873525,1073741824
1590873528,1073741824
1590873531,1073741824
1590873534,1073741824
1590873537,1073741824
1590873540,1073741824
1590873543,1073741824
1590873546,1073741824
1590873549,1073741824
1590873552,1073741824
1590873555,1073741824
1590873558,1073741824
1590873561,1073741824
1590873564,1073741824
1590873567,1073741824
1590873570,1073741824
1590873573,1073741824
1590873576,1073741824
1590873579,1073741824
1590873582,1073741824
1590873585,1073741824
1590873588,1073741824
1590873591,1073741824
1590873594,1073741824
1590873597,1073741824
1590873600,1073741824
1590873603,1073741824
1590873606,1073741824
1590873609,1073741824
1590873612,1073741824
1590873615,1073741824
1590873618,1073741824
1590873621,1073741824
1590873624,1073741824
1590873627,1073741824
1590873630,1073741824
1590873633,1073741824
1590873636,1073741824
1590873639,1073741824
1590873642,1073741824
1590873645,1073741824
1590873648,1073741824
1590873651,1073741824
1590873654,1073741824
1590873657,1073741824
1590873660,1073741824
1590873663,1073741824
1590873666,1073741824
1590873669,1073741824
1590873672,1073741824
1590873675,1073741824
1590873678,1073741824
1590873681,1073741824
1590873684,1073741824
1590873687,1073741824
1590873690,1073741824
1590873693,1073741824
1590873696,1073741824
1590873699,1073741824
1590873702,1073741824
1590873705,1073741824
1590873708,1073741824
1590873711,1073741824
1590873714,1073741824
1590873717,1073741824
1590873720,1073741824
1590873723,1073741824
1590873726,1073741824
1590873729,1073741824
1590873732,1073741824
1590873735,1073741824
1590873738,1073741824
1590873741,1073741824
1590873744,1073741824
1590873747,1073741824
1590873750,1073741824
1590873753,1073741824
1590873756,1073741824
1590873759,1073741824
1590873762,1073741824
1590873765,1073741824
1590873768,1073741824
1590873771,1073741824
1590873774,1073741824
1590873777,1073741824
1590873780,1073741824
1590873783,1073741824
1590873786,1073741824
1590873789,1073741824
1590873792,1073741824
1590873795,1073741824
1590873798,1073741824
1590873801,1073741824
1590873804,1073741824
1590873807,1073741824
1590873810,1073741824
1590873813,1073741824
1590873816,1073741824
1590873819,1073741824
1590873822,1073741824
1590873825,1073741824
1590873828,1073741824
1590873831,1073741824
1590873834,1073741824
1590873837,1073741824
1590873840,1073741824
1590873843,1073741824
1590873846,1073741824
1590873849,1073741824
1590873852,1073741824
1590873855,1073741824
1590873858,1073741824
1590873861,1073741824
1590873864,1073741824
1590873867,1073741824
1590873870,1073741824
1590873873,1073741824
1590873876,1073741824
1590873879,1073741824
1590873882,1073741824
1590873885,1073741824
1590873888,1073741824
1590873891,1073741824
1590873894,1073741824
1590873897,1073741824
1590873900,1073741824
1590873903,1073741824
1590873906,1073741824
1590873909,1073741824
1590873912,1073741824
1590873915,1073741824
1590873918,1073741824
1590873921,1073741824
1590873924,1073741824
1590873927,1073741824
1590873930,1073741824
1590873933,1073741824
1590873936,1073741824
1590873939,1073741824
1590873942,1073741824
1590873945,1073741824
1590873948,1073741824
1590873951,1073741824
1590873954,1073741824
1590873957,1073741824
1590873960,1073741824
1590873963,1073741824
1590873966,1073741824
1590873969,1073741824
1590873972,1073741824
1590873975,1073741824
1590873978,1073741824
1590873981,1073741824
1590873984,1073741824
1590873987,1073741824
1590873990,1073741824
1590873993,1073741824
1590873996,1073741824
1590873999,1073741824
1590874002,1073741824
1590874005,1073741824
1590874008,1073741824
1590874011,1073741824
1590874014,1073741824
1590874017,1073741824
1590874020,1073741824
1590874023,1073741824
1590874026,1073741824
1590874029,1073741824
1590874032,1073741824
1590874035,1073741824
1590874038,1073741824
1590874041,1073741824
1590874044,1073741824
1590874047,1073741824
1590874050,1073741824
1590874053,1073741824
1590874056,1073741824
1590874059,1073741824
1590874062,1073741824
1590874065,1073741824
1590874068,1073741824
1590874071,1073741824
1590874074,1073741824
1590874077,1073741824
1590874080,1073741824
1590874083,1073741824
1590874086,1073741824
1590874089,1073741824
1590874092,1073741824
1590874095,1073741824
1590874098,1073741824
1590874101,1073741824
1590874104,1073741824
1590874107,1073741824
1590874110,1073741824
1590874113,1073741824
1590874116,1073741824
