t,value
1590873117,111033344
1590873120,176965632
1590873123,244074496
1590873126,62670848
1590873129,129779712
1590873132,137119744
1590873135,138168320
1590873138,141314048
1590873141,142362624
1590873144,144459776
1590873147,147605504
1590873150,148654080
1590873153,149702656
1590873156,150751232
1590873159,153896960
1590873162,154945536
1590873165,155994112
1590873168,168577024
1590873171,170674176
1590873174,180111360
1590873177,182208512
1590873180,185354240
1590873183,186402816
1590873186,187451392
1590873189,191645696
1590873192,194791424
1590873195,195840000
1590873198,195840000
1590873201,196888576
1590873204,197937152
1590873207,201082880
1590873210,202131456
1590873213,202131456
1590873216,203180032
1590873219,203180032
1590873222,204228608
1590873225,204228608
1590873228,234637312
1590873231,235685888
1590873234,243025920
1590873237,244074496
1590873240,245123072
1590873243,245123072
1590873246,246171648
1590873249,249317376
1590873252,250365952
1590873255,250365952
1590873258,251414528
1590873261,251414528
1590873264,252463104
1590873267,255608832
1590873270,256657408
1590873273,256657408
1590873276,257705984
1590873279,259803136
1590873282,259803136
1590873285,261900288
1590873288,276580352
1590873291,277628928
1590873294,286017536
1590873297,287066112
1590873300,288114688
1590873303,290211840
1590873306,292308992
1590873309,295454720
1590873312,298600448
1590873315,299649024
1590873318,300697600
1590873321,57952256
1590873324,60049408
1590873327,66340864
1590873330,66340864
1590873333,67389440
1590873336,68438016
1590873339,69486592
1590873342,69486592
1590873345,70535168
1590873348,83118080
1590873351,83118080
1590873354,91506688
1590873357,92555264
1590873360,92555264
1590873363,93603840
1590873366,93603840
1590873369,97798144
1590873372,97798144
1590873375,98846720
1590873378,98846720
1590873381,101992448
1590873384,101992448
1590873387,105138176
1590873390,107235328
1590873393,109332480
1590873396,111429632
1590873399,112478208
1590873402,112478208
1590873405,113526784
1590873408,125061120
1590873411,126109696
1590873414,133449728
1590873417,134498304
1590873420,134498304
1590873423,137644032
1590873426,139741184
1590873429,142886912
1590873432,144984064
1590873435,146032640
1590873438,146032640
1590873441,150226944
1590873444,150226944
1590873447,152324096
1590873450,153372672
1590873453,156518400
1590873456,159664128
1590873459,160712704
1590873462,161761280
1590873465,162809856
1590873468,173295616
1590873471,174344192
1590873474,182732800
1590873477,182732800
1590873480,183781376
1590873483,183781376
1590873486,184829952
1590873489,186927104
1590873492,187975680
1590873495,187975680
1590873498,189024256
1590873501,189024256
1590873504,190072832
1590873507,198461440
1590873510,199510016
1590873513,200558592
1590873516,200558592
1590873519,202655744
1590873522,203704320
1590873525,204752896
1590873528,217335808
1590873531,218384384
1590873534,226772992
1590873537,227821568
1590873540,229918720
1590873543,230967296
1590873546,235161600
1590873549,238307328
1590873552,239355904
1590873555,239355904
1590873558,240404480
1590873561,240404480
1590873564,241453056
1590873567,248793088
1590873570,252987392
1590873573,255084544
1590873576,255084544
1590873579,256133120
1590873582,256133120
1590873585,257181696
1590873588,267667456
1590873591,268716032
1590873594,277104640
1590873597,277104640
1590873600,278153216
1590873603,278153216
1590873606,279201792
1590873609,282347520
1590873612,283396096
1590873615,283396096
1590873618,284444672
1590873621,284444672
1590873624,285493248
1590873627,287590400
1590873630,288638976
1590873633,289687552
1590873636,289687552
1590873639,290736128
1590873642,290736128
1590873645,291784704
1590873648,303319040
1590873651,303319040
1590873654,311707648
1590873657,311707648
1590873660,312756224
1590873663,312756224
1590873666,313804800
1590873669,316950528
1590873672,317999104
1590873675,317999104
1590873678,319047680
1590873681,328484864
1590873684,328484864
1590873687,331630592
1590873690,331630592
1590873693,332679168
1590873696,333727744
1590873699,333727744
1590873702,334776320
1590873705,334776320
1590873708,347359232
1590873711,348407808
1590873714,62146560
1590873717,63195136
1590873720,64243712
1590873723,66340864
1590873726,67389440
1590873729,70535168
1590873732,72632320
1590873735,73680896
1590873738,78923776
1590873741,79972352
1590873744,79972352
