t,value
1590873117,1444224
1590873120,1464704
1590873123,1495296
1590873126,1496576
1590873129,1500544
1590873132,1500544
1590873135,1500544
1590873138,1500544
1590873141,1500544
1590873144,1500544
1590873147,1500544
1590873150,1500544
1590873153,1500544
1590873156,1500544
1590873159,1500544
1590873162,1500544
1590873165,1500544
1590873168,1500544
1590873171,1500544
1590873174,1500544
1590873177,1500544
1590873180,1500544
1590873183,1500544
1590873186,1500544
1590873189,1500544
1590873192,1500544
1590873195,1500544
1590873198,1500544
1590873201,1500544
1590873204,1500544
1590873207,1500544
1590873210,1500544
1590873213,1500544
1590873216,1500544
1590873219,1500544
1590873222,1500544
1590873225,1500544
1590873228,1503872
1590873231,1503872
1590873234,1503872
1590873237,1503872
1590873240,1503872
1590873243,1503872
1590873246,1503872
1590873249,1503872
1590873252,1503872
1590873255,1503872
1590873258,1503872
1590873261,1503872
1590873264,1503872
1590873267,1503872
1590873270,1503872
1590873273,1503872
1590873276,1503872
1590873279,1503872
1590873282,1503872
1590873285,1503872
1590873288,1503872
1590873291,1503872
1590873294,1503872
1590873297,1503872
1590873300,1503872
1590873303,1503872
1590873306,1503872
1590873309,1503872
1590873312,1503872
1590873315,1503872
1590873318,1503872
1590873321,1503872
1590873324,1503872
1590873327,1503872
1590873330,1503872
1590873333,1503872
1590873336,1503872
1590873339,1503872
1590873342,1503872
1590873345,1503872
1590873348,1503872
1590873351,1503872
1590873354,1503872
1590873357,1503872
1590873360,1503872
1590873363,1503872
1590873366,1503872
1590873369,1503872
1590873372,1503872
1590873375,1503872
1590873378,1503872
1590873381,1503872
1590873384,1503872
1590873387,1503872
1590873390,1503872
1590873393,1503872
1590873396,1503872
1590873399,1503872
1590873402,1503872
1590873405,1503872
1590873408,1503872
1590873411,1503872
1590873414,1503872
1590873417,1503872
1590873420,1503872
1590873423,1503872
1590873426,1503872
1590873429,1503872
1590873432,1503872
1590873435,1503872
1590873438,1503872
1590873441,1503872
1590873444,1503872
1590873447,1503872
1590873450,1503872
1590873453,1503872
1590873456,1503872
1590873459,1503872
1590873462,1503872
1590873465,1503872
1590873468,1503872
1590873471,1503872
1590873474,1503872
1590873477,1503872
1590873480,1503872
1590873483,1503872
1590873486,1503872
1590873489,1503872
1590873492,1503872
1590873495,1503872
1590873498,1503872
1590873501,1503872
1590873504,1503872
1590873507,1505152
1590873510,1505152
1590873513,1505152
1590873516,1505152
1590873519,1505152
1590873522,1505152
1590873525,1505152
1590873528,1505152
1590873531,1505152
1590873534,1505152
1590873537,1505152
1590873540,1505152
1590873543,1505152
1590873546,1505152
1590873549,1505152
1590873552,1505152
1590873555,1505152
1590873558,1505152
1590873561,1505152
1590873564,1505152
1590873567,1505152
1590873570,1505152
1590873573,1505152
1590873576,1505152
1590873579,1505152
1590873582,1505152
1590873585,1505152
1590873588,1505152
1590873591,1505152
1590873594,1505152
1590873597,1505152
1590873600,1505152
1590873603,1505152
1590873606,1505152
1590873609,1505152
1590873612,1505152
1590873615,1505152
1590873618,1505152
1590873621,1505152
1590873624,1505152
1590873627,1505152
1590873630,1505152
1590873633,1505152
1590873636,1505152
1590873639,1505152
1590873642,1505152
1590873645,1505152
1590873648,1505152
1590873651,1505152
1590873654,1505152
1590873657,1505152
1590873660,1505152
1590873663,1505152
1590873666,1505152
1590873669,1505152
1590873672,1505152
1590873675,1505152
1590873678,1505152
1590873681,1513728
1590873684,1513728
1590873687,1513728
1590873690,1513728
1590873693,1513728
1590873696,1513728
1590873699,1513728
1590873702,1513728
1590873705,1513728
1590873708,1513728
1590873711,1513728
1590873714,1513728
1590873717,1513728
1590873720,1513728
1590873723,1518720
1590873726,1518720
1590873729,1518720
1590873732,1518720
1590873735,1518720
1590873738,1518720
1590873741,1518720
1590873744,1518720
1590873747,1518720
1590873750,1518720
1590873753,1518720
1590873756,1518720
1590873759,1518720
1590873762,1518720
1590873765,1518720
1590873768,1518720
1590873771,1518720
1590873774,1518720
1590873777,1518720
1590873780,1518720
1590873783,1518720
1590873786,1518720
1590873789,1518720
1590873792,1518720
1590873795,1518720
1590873798,1518720
1590873801,1518720
1590873804,1518720
1590873807,1518720
1590873810,1518720
1590873813,1518720
1590873816,1518720
1590873819,1518720
1590873822,1518720
1590873825,1518720
1590873828,1520000
1590873831,1520000
1590873834,1520000
1590873837,1520000
1590873840,1520000
1590873843,1520000
1590873846,1520000
1590873849,1520000
1590873852,1520000
1590873855,1520000
1590873858,1520000
1590873861,1520000
1590873864,1520000
1590873867,1520000
1590873870,1520000
1590873873,1520000
1590873876,1520000
1590873879,1520000
1590873882,1520000
1590873885,1520000
1590873888,1520000
1590873891,1520000
1590873894,1520000
1590873897,1520000
1590873900,1520000
1590873903,1520000
1590873906,1520000
1590873909,1520000
1590873912,1520000
1590873915,1520000
1590873918,1520000
1590873921,1520000
1590873924,1520000
1590873927,1520000
1590873930,1520000
1590873933,1520000
1590873936,1520000
1590873939,1520000
1590873942,1520000
1590873945,1520000
1590873948,1520000
1590873951,1520000
1590873954,1520000
1590873957,1520000
1590873960,1520000
1590873963,1520000
1590873966,1520000
1590873969,1520000
1590873972,1520000
1590873975,1520000
1590873978,1520000
1590873981,1520000
1590873984,1520000
1590873987,1520000
1590873990,1520000
1590873993,1520000
1590873996,1520000
1590873999,1520000
1590874002,1520000
1590874005,1520000
1590874008,1520000
1590874011,1520000
1590874014,1520000
1590874017,1520000
1590874020,1520000
1590874023,1520000
1590874026,1520000
1590874029,1520000
1590874032,1520000
