t,value
1590873117,2981120
1590873120,3432704
1590873123,3928448
1590873126,4007936
1590873129,4809472
1590873132,4908928
1590873135,4926720
1590873138,5029376
1590873141,5073024
1590873144,5126400
1590873147,5256192
1590873150,5265536
1590873153,5277184
1590873156,5282944
1590873159,5390720
1590873162,5392512
1590873165,5402752
1590873168,5530240
1590873171,5551488
1590873174,5610624
1590873177,5641728
1590873180,5691520
1590873183,5694592
1590873186,5715968
1590873189,5791232
1590873192,5807744
1590873195,5808384
1590873198,5820288
1590873201,5820288
1590873204,5820288
1590873207,5857280
1590873210,5868672
1590873213,5870464
1590873216,5873152
1590873219,5873152
1590873222,5879424
1590873225,5884928
1590873228,6037504
1590873231,6044288
1590873234,6068864
1590873237,6068864
1590873240,6079360
1590873243,6090496
1590873246,6095872
1590873249,6153088
1590873252,6154624
1590873255,6155392
1590873258,6161024
1590873261,6161024
1590873264,6188672
1590873267,6230400
1590873270,6239872
1590873273,6240768
1590873276,6240768
1590873279,6250112
1590873282,6252800
1590873285,6278784
1590873288,6366720
1590873291,6370560
1590873294,6418944
1590873297,6419584
1590873300,6424064
1590873303,6425856
1590873306,6455296
1590873309,6507264
1590873312,6520576
1590873315,6520576
1590873318,6521472
1590873321,6574848
1590873324,6582912
1590873327,6633600
1590873330,6634880
1590873333,6644096
1590873336,6644096
1590873339,6645248
1590873342,6646144
1590873345,6646144
1590873348,6707200
1590873351,6707200
1590873354,6709248
1590873357,6710272
1590873360,6710272
1590873363,6714112
1590873366,6714112
1590873369,6743936
1590873372,6743936
1590873375,6744960
1590873378,6754304
1590873381,6776064
1590873384,6780288
1590873387,6811648
1590873390,6824576
1590873393,6844928
1590873396,6873472
1590873399,6892032
1590873402,6896768
1590873405,6896768
1590873408,6909696
1590873411,6909696
1590873414,6909696
1590873417,6909696
1590873420,6912256
1590873423,6915584
1590873426,6920448
1590873429,6948736
1590873432,6961536
1590873435,6982400
1590873438,6982400
1590873441,6992128
1590873444,6997120
1590873447,7009792
1590873450,7011328
1590873453,7096064
1590873456,7119104
1590873459,7119104
1590873462,7119104
1590873465,7119104
1590873468,7140864
1590873471,7140864
1590873474,7148672
1590873477,7148672
1590873480,7148672
1590873483,7148672
1590873486,7148672
1590873489,7159296
1590873492,7160192
1590873495,7160192
1590873498,7160192
1590873501,7160192
1590873504,7160192
1590873507,7211520
1590873510,7216384
1590873513,7227008
1590873516,7232128
1590873519,7244288
1590873522,7244288
1590873525,7251072
1590873528,7300736
1590873531,7305088
1590873534,7305728
1590873537,7326848
1590873540,7344512
1590873543,7353472
1590873546,7394432
1590873549,7435776
1590873552,7435776
1590873555,7435776
1590873558,7436544
1590873561,7436544
1590873564,7436544
1590873567,7483520
1590873570,7503232
1590873573,7505664
1590873576,7505664
1590873579,7505664
1590873582,7505664
1590873585,7505664
1590873588,7512192
1590873591,7512192
1590873594,7512192
1590873597,7512192
1590873600,7512192
1590873603,7512192
1590873606,7512192
1590873609,7538176
1590873612,7538176
1590873615,7538176
1590873618,7539456
1590873621,7539456
1590873624,7539456
1590873627,7557760
1590873630,7558656
1590873633,7558656
1590873636,7558656
1590873639,7558656
1590873642,7558656
1590873645,7558656
1590873648,7579136
1590873651,7580928
1590873654,7577728
1590873657,7577728
1590873660,7584512
1590873663,7585152
1590873666,7586048
1590873669,7593600
1590873672,7593600
1590873675,7593600
1590873678,7593600
1590873681,7647872
1590873684,7648512
1590873687,7687168
1590873690,7691264
1590873693,7691264
1590873696,7692288
1590873699,7692288
1590873702,7693952
1590873705,7693952
1590873708,7698560
1590873711,7698560
1590873714,7699328
1590873717,7699328
1590873720,7700608
1590873723,7708032
1590873726,7708032
1590873729,7720320
1590873732,7758720
1590873735,7759872
1590873738,7784320
1590873741,7784320
1590873744,7785216
1590873747,7787008
1590873750,7787008
1590873753,7787008
1590873756,7787008
1590873759,7789312
1590873762,7789312
1590873765,7789312
1590873768,7790720
1590873771,7796480
1590873774,7836288
1590873777,7847424
1590873780,7847424
1590873783,7847424
1590873786,7847424
1590873789,7857920
1590873792,7883904
1590873795,7923200
1590873798,7923200
1590873801,7923200
1590873804,7946624
1590873807,7971456
1590873810,8001280
1590873813,8011904
1590873816,8011904
1590873819,8014464
1590873822,8014464
1590873825,8025728
1590873828,8064768
1590873831,8064768
1590873834,8074624
1590873837,8094976
1590873840,8095872
1590873843,8098560
1590873846,8098560
1590873849,8101888
1590873852,8101888
1590873855,8101888
1590873858,8101888
1590873861,8101888
1590873864,8106368
1590873867,8117376
1590873870,8146176
1590873873,8156416
1590873876,8157696
1590873879,8157696
1590873882,8161536
1590873885,8172544
1590873888,8195456
1590873891,8207872
1590873894,8207872
1590873897,8207872
1590873900,8232320
1590873903,8235776
1590873906,8246400
1590873909,8247936
1590873912,8256384
1590873915,8256384
1590873918,8256384
1590873921,8256384
1590873924,8351872
1590873927,8355584
1590873930,8357504
1590873933,8361088
1590873936,8361088
1590873939,8361088
1590873942,8361088
1590873945,8379136
1590873948,8379904
1590873951,8379904
1590873954,8379904
1590873957,8379904
1590873960,8379904
1590873963,8379904
1590873966,8379904
1590873969,8417920
1590873972,8417920
1590873975,8420096
1590873978,8426752
1590873981,8430464
1590873984,8447232
1590873987,8450816
1590873990,8451712
1590873993,8453760
1590873996,8454400
1590873999,8454400
1590874002,8454400
1590874005,8454400
1590874008,8460800
1590874011,8477184
1590874014,8477184
1590874017,8477184
1590874020,8477184
1590874023,8477184
1590874026,8477184
1590874029,8225792
1590874032,8225792
1590874035,8225792
1590874038,8225792
1590874041,8225792
1590874044,8225792
1590874047,8070272
1590874050,8109824
1590874053,8109824
1590874056,8109824
1590874059,8109824
1590874062,8109824
1590874065,8109824
1590874068,7904768
1590874071,7904768
1590874074,7904768
1590874077,7904768
1590874080,7904768
1590874083,7904768
1590874086,7904768
1590874089,7920896
1590874092,7920896
1590874095,7920896
1590874098,7920896
1590874101,7924352
1590874104,7924352
1590874107,7926144
1590874110,7933952
1590874113,7933952
1590874116,7933952
