t,value
1590873117,11129728
1590873120,12496128
1590873123,14753664
1590873126,15248512
1590873129,18934784
1590873132,19282432
1590873135,19309056
1590873138,19563008
1590873141,19656448
1590873144,19771392
1590873147,20042880
1590873150,20080384
1590873153,20082176
1590873156,20085376
1590873159,20362368
1590873162,20386176
1590873165,20470016
1590873168,20967424
1590873171,21033472
1590873174,21149568
1590873177,21243648
1590873180,21471360
1590873183,21481728
1590873186,21483264
1590873189,21726208
1590873192,21875968
1590873195,21875968
1590873198,21877504
1590873201,21887488
1590873204,21890432
1590873207,22006656
1590873210,22009984
1590873213,22020096
1590873216,22029568
1590873219,22032896
1590873222,22034688
1590873225,22034688
1590873228,22672640
1590873231,22672640
1590873234,22732544
1590873237,22736896
1590873240,22736896
1590873243,22741120
1590873246,22754944
1590873249,22885504
1590873252,22885504
1590873255,22888192
1590873258,22888192
1590873261,22888192
1590873264,22888192
1590873267,22984320
1590873270,22984320
1590873273,22991744
1590873276,22991744
1590873279,23067520
1590873282,23067520
1590873285,23146880
1590873288,23366784
1590873291,23406720
1590873294,23541632
1590873297,23552896
1590873300,23579392
1590873303,23608192
1590873306,23715200
1590873309,23841536
1590873312,23980928
1590873315,23980928
1590873318,23993344
1590873321,24094848
1590873324,24117888
1590873327,24297216
1590873330,24297216
1590873333,24303616
1590873336,24303616
1590873339,24303616
1590873342,24303616
1590873345,24303616
1590873348,24393088
1590873351,24393088
1590873354,24412160
1590873357,24412160
1590873360,24412160
1590873363,24412160
1590873366,24428928
1590873369,24517760
1590873372,24517760
1590873375,24527872
1590873378,24527872
1590873381,24612096
1590873384,24612096
1590873387,24635648
1590873390,24851456
1590873393,25124864
1590873396,25144192
1590873399,25156736
1590873402,25167360
1590873405,25176832
1590873408,25284480
1590873411,25285760
1590873414,25312000
1590873417,25312000
1590873420,25312000
1590873423,25393792
1590873426,25414528
1590873429,25487616
1590873432,25513600
1590873435,25542528
1590873438,25542528
1590873441,25621632
1590873444,25621632
1590873447,25667200
1590873450,25707776
1590873453,25801600
1590873456,25879808
1590873459,25889664
1590873462,25889664
1590873465,25889664
1590873468,25950208
1590873471,25953408
1590873474,25962496
1590873477,25962496
1590873480,25962496
1590873483,25962496
1590873486,25964928
1590873489,26006272
1590873492,26007680
1590873495,26015232
1590873498,26025216
1590873501,26043776
1590873504,26046848
1590873507,26197120
1590873510,26241920
1590873513,26280448
1590873516,26298368
1590873519,26310272
1590873522,26310272
1590873525,26313088
1590873528,26420608
1590873531,26440576
1590873534,26440576
1590873537,26479360
1590873540,26508672
1590873543,26530944
1590873546,26598912
1590873549,26658560
1590873552,26658560
1590873555,26658560
1590873558,26658560
1590873561,26658560
1590873564,26693760
1590873567,26837120
1590873570,27247104
1590873573,27256320
1590873576,27256320
1590873579,27256320
1590873582,27256320
1590873585,27256320
1590873588,27300864
1590873591,27300864
1590873594,27300864
1590873597,27300864
1590873600,27300864
1590873603,27300864
1590873606,27300864
1590873609,27322624
1590873612,27322624
1590873615,27322624
1590873618,27322624
1590873621,27322624
1590873624,27322624
1590873627,27376384
1590873630,27388160
1590873633,27388160
1590873636,27388160
1590873639,27388160
1590873642,27388160
1590873645,27388160
1590873648,27482496
1590873651,27482496
1590873654,27279488
1590873657,27279488
1590873660,27279488
1590873663,27279488
1590873666,27279488
1590873669,27317248
1590873672,27317248
1590873675,27318272
1590873678,27318272
1590873681,27474560
1590873684,27495168
1590873687,27510272
1590873690,27536768
1590873693,27548928
1590873696,27548928
1590873699,27548928
1590873702,27548928
1590873705,27548928
1590873708,27607680
1590873711,27607680
1590873714,27608960
1590873717,27608960
1590873720,27608960
1590873723,27642880
1590873726,27642880
1590873729,27708800
1590873732,27740416
1590873735,27748352
1590873738,27846144
1590873741,27846144
1590873744,27846144
1590873747,27875456
1590873750,27880576
1590873753,27882368
1590873756,27882368
1590873759,27882368
1590873762,27882368
1590873765,27882368
1590873768,27974144
1590873771,27979904
1590873774,28144896
1590873777,28228352
1590873780,28228352
1590873783,28228352
1590873786,28228352
1590873789,28252416
1590873792,28384896
1590873795,28612608
1590873798,28615552
1590873801,28615552
1590873804,28726656
1590873807,29091968
1590873810,29300992
1590873813,29336704
1590873816,29336704
1590873819,29370368
1590873822,29370368
1590873825,29538560
1590873828,29698048
1590873831,29698048
1590873834,29701376
1590873837,29701376
1590873840,29701376
1590873843,29723392
1590873846,29731584
1590873849,29778304
1590873852,29778304
1590873855,29778304
1590873858,29781632
1590873861,29781632
1590873864,29802112
1590873867,29879552
1590873870,29954304
1590873873,30268544
1590873876,30269568
1590873879,30274304
1590873882,30334720
1590873885,30431616
1590873888,30459776
1590873891,30525184
1590873894,30525184
1590873897,30537984
1590873900,30571776
1590873903,30588928
1590873906,30658816
1590873909,30715392
1590873912,30736512
1590873915,30737792
1590873918,30740480
1590873921,30740480
1590873924,31171712
1590873927,31189888
1590873930,31231872
1590873933,31237760
1590873936,31237760
1590873939,31237760
1590873942,31237760
1590873945,31301632
1590873948,31356800
1590873951,31356800
1590873954,31356800
1590873957,31359744
1590873960,31359744
1590873963,31359744
1590873966,31359744
