t,value
1590873117,10113208
1590873120,12862064
1590873123,14274328
1590873126,14470064
1590873129,15113304
1590873132,15278288
1590873135,15278288
1590873138,15295128
1590873141,15296648
1590873144,15302088
1590873147,15302088
1590873150,15302088
1590873153,15302088
1590873156,15302088
1590873159,15302088
1590873162,15302088
1590873165,15302088
1590873168,15302680
1590873171,15302680
1590873174,15304336
1590873177,15304336
1590873180,15304888
1590873183,15304888
1590873186,15304888
1590873189,15304888
1590873192,15304888
1590873195,15304888
1590873198,15304888
1590873201,15304888
1590873204,15304888
1590873207,15304888
1590873210,15304888
1590873213,15304888
1590873216,15304888
1590873219,15304888
1590873222,15304888
1590873225,15304888
1590873228,15675448
1590873231,15675448
1590873234,15675448
1590873237,15675448
1590873240,15675448
1590873243,15675448
1590873246,15675448
1590873249,15675448
1590873252,15675448
1590873255,15675448
1590873258,15675448
1590873261,15675448
1590873264,15675448
1590873267,15675448
1590873270,15675448
1590873273,15675448
1590873276,15675448
1590873279,15676552
1590873282,15676552
1590873285,15676552
1590873288,15677656
1590873291,15677656
1590873294,15677656
1590873297,15677656
1590873300,15677656
1590873303,15677656
1590873306,15677656
1590873309,15677656
1590873312,15677656
1590873315,15677656
1590873318,15677656
1590873321,15677656
1590873324,15677656
1590873327,15677656
1590873330,15677656
1590873333,15677656
1590873336,15677656
1590873339,15677656
1590873342,15677656
1590873345,15677656
1590873348,15678176
1590873351,15678176
1590873354,15678176
1590873357,15678176
1590873360,15678176
1590873363,15678176
1590873366,15678176
1590873369,15678176
1590873372,15678176
1590873375,15678176
1590873378,15678176
1590873381,15678176
1590873384,15678176
1590873387,15678760
1590873390,15678760
1590873393,15679768
1590873396,15679768
1590873399,15679768
1590873402,15679768
1590873405,15679768
1590873408,15679768
1590873411,15679768
1590873414,15680272
1590873417,15680272
1590873420,15680272
1590873423,15680272
1590873426,15680272
1590873429,15680272
1590873432,15680272
1590873435,15680272
1590873438,15680272
1590873441,15680272
1590873444,15680272
1590873447,15680272
1590873450,15680272
1590873453,15680272
1590873456,15680272
1590873459,15680272
1590873462,15680272
1590873465,15680272
1590873468,15680272
1590873471,15680272
1590873474,15680272
1590873477,15680272
1590873480,15680272
1590873483,15680272
1590873486,15680272
1590873489,15680272
1590873492,15680272
1590873495,15680272
1590873498,15680272
1590873501,15680272
1590873504,15680272
1590873507,15777816
1590873510,15777816
1590873513,15778320
1590873516,15778320
1590873519,15778320
1590873522,15778320
1590873525,15778320
1590873528,15778320
1590873531,15778320
1590873534,15778872
1590873537,15778872
1590873540,15778872
1590873543,15778872
1590873546,15778872
1590873549,15778872
1590873552,15778872
1590873555,15778872
1590873558,15778872
1590873561,15778872
1590873564,15778872
1590873567,15799696
1590873570,15804680
1590873573,15804680
1590873576,15804680
1590873579,15804680
1590873582,15804680
1590873585,15804680
1590873588,15804680
1590873591,15804680
1590873594,15804680
1590873597,15804680
1590873600,15804680
1590873603,15804680
1590873606,15804680
1590873609,15804680
1590873612,15804680
1590873615,15804680
1590873618,15804680
1590873621,15804680
1590873624,15804680
1590873627,15804680
1590873630,15804680
1590873633,15804680
1590873636,15804680
1590873639,15804680
1590873642,15804680
1590873645,15804680
1590873648,15804680
1590873651,15804680
1590873654,15804680
1590873657,15804680
1590873660,15804680
1590873663,15804680
1590873666,15804680
1590873669,15804680
1590873672,15804680
1590873675,15804680
