t,value
1590873117,65011712
1590873120,131072000
1590873123,198180864
1590873126,10485760
1590873129,77594624
1590873132,84934656
1590873135,85983232
1590873138,89128960
1590873141,90177536
1590873144,92274688
1590873147,95420416
1590873150,96468992
1590873153,97517568
1590873156,98566144
1590873159,101711872
1590873162,102760448
1590873165,103809024
1590873168,116391936
1590873171,118489088
1590873174,127926272
1590873177,130023424
1590873180,133169152
1590873183,134217728
1590873186,135266304
1590873189,140509184
1590873192,142606336
1590873195,143654912
1590873198,143654912
1590873201,144703488
1590873204,145752064
1590873207,148897792
1590873210,149946368
1590873213,149946368
1590873216,150994944
1590873219,150994944
1590873222,152043520
1590873225,152043520
1590873228,182452224
1590873231,183500800
1590873234,190840832
1590873237,191889408
1590873240,192937984
1590873243,192937984
1590873246,193986560
1590873249,197132288
1590873252,198180864
1590873255,198180864
1590873258,199229440
1590873261,200278016
1590873264,200278016
1590873267,203423744
1590873270,204472320
1590873273,204472320
1590873276,205520896
1590873279,207618048
1590873282,207618048
1590873285,210763776
1590873288,224395264
1590873291,225443840
1590873294,233832448
1590873297,234881024
1590873300,235929600
1590873303,238026752
1590873306,240123904
1590873309,243269632
1590873312,246415360
1590873315,247463936
1590873318,248512512
1590873321,0
1590873324,2097152
1590873327,8388608
1590873330,8388608
1590873333,10485760
1590873336,10485760
1590873339,11534336
1590873342,11534336
1590873345,12582912
1590873348,25165824
1590873351,25165824
1590873354,33554432
1590873357,34603008
1590873360,34603008
1590873363,35651584
1590873366,35651584
1590873369,39845888
1590873372,39845888
1590873375,40894464
1590873378,40894464
1590873381,44040192
1590873384,45088768
1590873387,47185920
1590873390,49283072
1590873393,51380224
1590873396,53477376
1590873399,54525952
1590873402,54525952
1590873405,55574528
1590873408,67108864
1590873411,68157440
1590873414,75497472
1590873417,76546048
1590873420,76546048
1590873423,79691776
1590873426,81788928
1590873429,84934656
1590873432,87031808
1590873435,88080384
1590873438,89128960
1590873441,92274688
1590873444,92274688
1590873447,94371840
1590873450,96468992
1590873453,98566144
1590873456,102760448
1590873459,102760448
1590873462,103809024
1590873465,104857600
1590873468,115343360
