t,value
1590873117,26098688
1590873120,38553600
1590873123,38553600
1590873126,38553600
1590873129,38553600
1590873132,38553600
1590873135,38553600
1590873138,38553600
1590873141,38553600
1590873144,38553600
1590873147,38553600
1590873150,38553600
1590873153,38553600
1590873156,38553600
1590873159,38553600
1590873162,38553600
1590873165,38553600
1590873168,38553600
1590873171,38553600
1590873174,38553600
1590873177,38553600
1590873180,38553600
1590873183,38553600
1590873186,38553600
1590873189,38553600
1590873192,38553600
1590873195,38553600
1590873198,38553600
1590873201,38553600
1590873204,38553600
1590873207,38553600
1590873210,38553600
1590873213,38553600
1590873216,38553600
1590873219,38553600
1590873222,38553600
1590873225,38553600
1590873228,38553600
1590873231,38553600
1590873234,38553600
1590873237,38553600
1590873240,38553600
1590873243,38553600
1590873246,38553600
1590873249,38553600
1590873252,38553600
1590873255,38553600
1590873258,38553600
1590873261,38553600
1590873264,38553600
1590873267,38553600
1590873270,38553600
1590873273,38553600
1590873276,38553600
1590873279,38553600
1590873282,38553600
1590873285,38553600
1590873288,38553600
1590873291,38553600
1590873294,38553600
1590873297,38553600
1590873300,38553600
1590873303,38553600
1590873306,38553600
1590873309,38553600
1590873312,38553600
1590873315,38553600
1590873318,38553600
1590873321,39077888
1590873324,39077888
1590873327,39077888
1590873330,39077888
1590873333,39077888
1590873336,39077888
1590873339,39077888
1590873342,39077888
1590873345,39077888
1590873348,39077888
1590873351,39077888
1590873354,39077888
1590873357,39077888
1590873360,39077888
1590873363,39077888
1590873366,39077888
1590873369,39077888
1590873372,39077888
1590873375,39077888
1590873378,39077888
1590873381,39077888
1590873384,39077888
1590873387,39077888
1590873390,39077888
1590873393,39077888
1590873396,39077888
1590873399,39077888
1590873402,39077888
1590873405,39077888
1590873408,39077888
1590873411,39077888
1590873414,39077888
1590873417,39077888
1590873420,39077888
1590873423,39077888
1590873426,39077888
1590873429,39077888
1590873432,39077888
1590873435,39077888
1590873438,39077888
1590873441,39077888
1590873444,39077888
1590873447,39077888
1590873450,39077888
1590873453,39077888
1590873456,39077888
1590873459,39077888
1590873462,39077888
1590873465,39077888
1590873468,39077888
1590873471,39077888
1590873474,39077888
1590873477,39077888
1590873480,39077888
1590873483,39077888
1590873486,39077888
1590873489,39077888
1590873492,39077888
1590873495,39077888
1590873498,39077888
1590873501,39077888
1590873504,39077888
1590873507,39077888
1590873510,39077888
1590873513,39077888
1590873516,39077888
1590873519,39077888
1590873522,39077888
1590873525,39077888
1590873528,39077888
1590873531,39077888
1590873534,39077888
1590873537,39077888
1590873540,39077888
1590873543,39077888
1590873546,39077888
1590873549,39077888
1590873552,39077888
