t,value
1590873117,19922944
1590873120,7340032
1590873123,7340032
1590873126,13631488
1590873129,13631488
1590873132,13631488
1590873135,13631488
1590873138,13631488
1590873141,13631488
1590873144,13631488
1590873147,13631488
1590873150,13631488
1590873153,13631488
1590873156,13631488
1590873159,13631488
1590873162,13631488
1590873165,13631488
1590873168,13631488
1590873171,13631488
1590873174,13631488
1590873177,13631488
1590873180,13631488
1590873183,13631488
1590873186,13631488
1590873189,13631488
1590873192,13631488
1590873195,13631488
1590873198,13631488
1590873201,13631488
1590873204,13631488
1590873207,13631488
1590873210,13631488
1590873213,13631488
1590873216,13631488
1590873219,13631488
1590873222,13631488
1590873225,13631488
1590873228,13631488
1590873231,13631488
1590873234,13631488
1590873237,13631488
1590873240,13631488
1590873243,13631488
1590873246,13631488
1590873249,13631488
1590873252,13631488
1590873255,13631488
1590873258,13631488
1590873261,13631488
1590873264,13631488
1590873267,13631488
1590873270,13631488
1590873273,13631488
1590873276,13631488
1590873279,13631488
1590873282,13631488
1590873285,13631488
1590873288,13631488
1590873291,13631488
1590873294,13631488
1590873297,13631488
1590873300,13631488
1590873303,13631488
1590873306,13631488
1590873309,13631488
1590873312,13631488
1590873315,13631488
1590873318,13631488
1590873321,18874368
1590873324,18874368
1590873327,18874368
1590873330,18874368
1590873333,18874368
1590873336,18874368
1590873339,18874368
1590873342,18874368
1590873345,18874368
1590873348,18874368
1590873351,18874368
1590873354,18874368
1590873357,18874368
1590873360,18874368
1590873363,18874368
1590873366,18874368
1590873369,18874368
1590873372,18874368
1590873375,18874368
1590873378,18874368
1590873381,18874368
1590873384,18874368
1590873387,18874368
1590873390,18874368
1590873393,18874368
1590873396,18874368
1590873399,18874368
1590873402,18874368
1590873405,18874368
1590873408,18874368
1590873411,18874368
1590873414,18874368
1590873417,18874368
1590873420,18874368
1590873423,18874368
1590873426,18874368
1590873429,18874368
1590873432,18874368
1590873435,18874368
1590873438,18874368
1590873441,18874368
1590873444,18874368
1590873447,18874368
1590873450,18874368
1590873453,18874368
1590873456,18874368
1590873459,18874368
1590873462,18874368
1590873465,18874368
1590873468,18874368
1590873471,18874368
1590873474,18874368
1590873477,18874368
1590873480,18874368
1590873483,18874368
1590873486,18874368
1590873489,18874368
1590873492,18874368
1590873495,18874368
1590873498,18874368
1590873501,18874368
1590873504,18874368
1590873507,18874368
1590873510,18874368
1590873513,18874368
1590873516,18874368
1590873519,18874368
1590873522,18874368
1590873525,18874368
1590873528,18874368
1590873531,18874368
1590873534,18874368
1590873537,18874368
1590873540,18874368
1590873543,18874368
1590873546,18874368
1590873549,18874368
1590873552,18874368
1590873555,18874368
1590873558,18874368
1590873561,18874368
1590873564,18874368
1590873567,18874368
1590873570,18874368
1590873573,18874368
1590873576,18874368
1590873579,18874368
1590873582,18874368
1590873585,18874368
1590873588,18874368
1590873591,18874368
1590873594,18874368
1590873597,18874368
1590873600,18874368
1590873603,18874368
1590873606,18874368
1590873609,18874368
1590873612,18874368
1590873615,18874368
1590873618,18874368
1590873621,18874368
1590873624,18874368
1590873627,18874368
1590873630,18874368
1590873633,18874368
1590873636,18874368
1590873639,18874368
1590873642,18874368
1590873645,18874368
1590873648,18874368
1590873651,18874368
1590873654,18874368
1590873657,18874368
1590873660,18874368
1590873663,18874368
1590873666,18874368
1590873669,18874368
1590873672,18874368
1590873675,18874368
1590873678,18874368
1590873681,18874368
1590873684,18874368
1590873687,18874368
1590873690,18874368
1590873693,18874368
1590873696,18874368
1590873699,18874368
1590873702,18874368
1590873705,18874368
1590873708,18874368
1590873711,18874368
1590873714,18874368
1590873717,18874368
1590873720,18874368
