t,value
1590873117,75290640
1590873120,90611096
1590873123,99581208
1590873126,101288568
1590873129,104728920
1590873132,105764576
1590873135,105775920
1590873138,105906248
1590873141,105936056
1590873144,105984784
1590873147,106050176
1590873150,106061784
1590873153,106061784
1590873156,106062464
1590873159,106161144
1590873162,106164016
1590873165,106197216
1590873168,106337728
1590873171,106356976
1590873174,106401744
1590873177,106429120
1590873180,106493504
1590873183,106497816
1590873186,106498256
1590873189,106552152
1590873192,106593072
1590873195,106593072
1590873198,106594496
1590873201,106596728
1590873204,106597664
1590873207,106638704
1590873210,106640312
1590873213,106642720
1590873216,106644120
1590873219,106644120
1590873222,106644776
1590873225,106644776
1590873228,108214256
1590873231,108214256
1590873234,108222520
1590873237,108223776
1590873240,108223776
1590873243,108224760
1590873246,108229752
1590873249,108267072
1590873252,108267072
1590873255,108267072
1590873258,108267072
1590873261,108267072
1590873264,108267072
1590873267,108300848
1590873270,108300848
1590873273,108303104
1590873276,108303104
1590873279,108328168
1590873282,108328168
1590873285,108348712
1590873288,108409464
1590873291,108421088
1590873294,108440640
1590873297,108441536
1590873300,108446056
1590873303,108456480
1590873306,108487728
1590873309,108546328
1590873312,108588152
1590873315,108588152
1590873318,108591024
1590873321,108620320
1590873324,108626328
1590873327,108687152
1590873330,108687152
1590873333,108689160
1590873336,108689160
1590873339,108689160
1590873342,108689160
1590873345,108689160
1590873348,108710680
1590873351,108710680
1590873354,108717200
1590873357,108717200
1590873360,108717200
1590873363,108717200
1590873366,108723560
1590873369,108740312
1590873372,108740312
1590873375,108744272
1590873378,108744272
1590873381,108773592
1590873384,108773592
1590873387,108789216
1590873390,108860808
1590873393,108983024
1590873396,108989304
1590873399,108994024
1590873402,108997152
1590873405,109000672
1590873408,109039928
1590873411,109040368
1590873414,109046152
1590873417,109046152
1590873420,109046152
1590873423,109080480
1590873426,109086352
1590873429,109104872
1590873432,109114040
1590873435,109121856
1590873438,109121856
1590873441,109144640
1590873444,109144640
1590873447,109158416
1590873450,109169480
1590873453,109199528
1590873456,109218672
1590873459,109220472
1590873462,109220472
1590873465,109220472
1590873468,109232752
1590873471,109232752
1590873474,109235560
1590873477,109235560
1590873480,109235560
1590873483,109235560
1590873486,109236488
1590873489,109248984
1590873492,109249400
1590873495,109252008
1590873498,109262440
1590873501,109267696
1590873504,109269016
1590873507,109760216
1590873510,109770560
1590873513,109785704
1590873516,109793552
1590873519,109797064
1590873522,109797064
1590873525,109798360
1590873528,109829952
1590873531,109832656
1590873534,109836728
1590873537,109844128
1590873540,109853992
1590873543,109862232
1590873546,109879008
1590873549,109900176
1590873552,109900176
1590873555,109900176
1590873558,109900176
1590873561,109900176
1590873564,109909448
1590873567,110080824
1590873570,110148352
1590873573,110150256
1590873576,110150256
1590873579,110150256
1590873582,110150256
1590873585,110150256
1590873588,110162568
1590873591,110162568
1590873594,110162568
1590873597,110162568
1590873600,110162568
1590873603,110162568
1590873606,110162568
1590873609,110172600
1590873612,110172600
