t,value
1590873117,41
1590873120,45
1590873123,45
1590873126,47
1590873129,54
1590873132,54
1590873135,54
1590873138,54
1590873141,54
1590873144,54
1590873147,54
1590873150,54
1590873153,54
1590873156,54
1590873159,54
1590873162,54
1590873165,54
1590873168,54
1590873171,54
1590873174,51
1590873177,48
1590873180,48
1590873183,48
1590873186,48
1590873189,48
1590873192,48
1590873195,48
1590873198,48
1590873201,48
1590873204,48
1590873207,48
1590873210,48
1590873213,48
1590873216,48
1590873219,48
1590873222,48
1590873225,48
1590873228,48
1590873231,48
1590873234,48
1590873237,48
1590873240,48
1590873243,48
1590873246,48
1590873249,48
1590873252,48
1590873255,48
1590873258,48
1590873261,48
1590873264,48
1590873267,48
1590873270,48
1590873273,48
1590873276,48
1590873279,48
1590873282,48
1590873285,48
1590873288,48
1590873291,48
1590873294,48
1590873297,48
1590873300,48
1590873303,48
1590873306,48
1590873309,48
1590873312,48
1590873315,48
1590873318,48
1590873321,48
1590873324,48
1590873327,48
1590873330,48
1590873333,48
1590873336,48
1590873339,48
1590873342,48
1590873345,48
1590873348,48
1590873351,48
1590873354,48
1590873357,48
1590873360,48
1590873363,48
1590873366,48
1590873369,48
1590873372,48
1590873375,48
1590873378,48
1590873381,48
1590873384,48
1590873387,48
1590873390,48
1590873393,48
1590873396,48
1590873399,48
1590873402,48
1590873405,48
1590873408,48
1590873411,48
1590873414,48
1590873417,48
1590873420,48
1590873423,48
1590873426,48
1590873429,48
1590873432,48
1590873435,48
1590873438,48
1590873441,48
1590873444,48
1590873447,48
1590873450,48
1590873453,48
1590873456,48
1590873459,48
1590873462,48
1590873465,48
1590873468,48
1590873471,48
1590873474,48
1590873477,48
1590873480,48
1590873483,48
1590873486,48
1590873489,48
1590873492,48
1590873495,48
1590873498,48
1590873501,48
1590873504,48
1590873507,48
1590873510,48
1590873513,48
1590873516,48
1590873519,48
1590873522,48
1590873525,48
1590873528,48
1590873531,48
1590873534,48
1590873537,48
1590873540,48
1590873543,48
1590873546,48
1590873549,48
1590873552,48
1590873555,48
1590873558,48
1590873561,48
1590873564,48
1590873567,48
1590873570,48
1590873573,48
1590873576,48
1590873579,48
1590873582,48
1590873585,48
1590873588,48
1590873591,48
1590873594,48
1590873597,48
1590873600,48
1590873603,48
1590873606,48
1590873609,48
1590873612,48
1590873615,48
1590873618,48
1590873621,48
1590873624,48
1590873627,48
1590873630,48
1590873633,48
1590873636,48
1590873639,48
1590873642,48
1590873645,48
1590873648,48
1590873651,48
1590873654,48
1590873657,48
1590873660,48
1590873663,48
1590873666,48
1590873669,48
1590873672,48
1590873675,48
1590873678,48
1590873681,48
1590873684,48
1590873687,48
1590873690,48
1590873693,48
1590873696,48
1590873699,48
1590873702,48
1590873705,48
1590873708,48
1590873711,48
1590873714,48
1590873717,48
1590873720,48
1590873723,48
1590873726,48
1590873729,48
1590873732,48
1590873735,48
1590873738,48
1590873741,48
1590873744,48
1590873747,48
1590873750,48
1590873753,48
1590873756,48
1590873759,48
1590873762,48
1590873765,48
1590873768,48
1590873771,48
1590873774,48
1590873777,48
1590873780,48
1590873783,48
1590873786,48
1590873789,48
1590873792,48
1590873795,48
1590873798,48
1590873801,48
1590873804,48
1590873807,48
1590873810,48
1590873813,48
1590873816,48
1590873819,48
1590873822,48
1590873825,48
1590873828,48
1590873831,48
1590873834,48
1590873837,48
1590873840,48
1590873843,48
1590873846,48
1590873849,48
1590873852,48
1590873855,48
1590873858,48
1590873861,48
1590873864,48
1590873867,48
1590873870,48
1590873873,48
1590873876,48
1590873879,48
1590873882,48
1590873885,48
1590873888,48
1590873891,48
1590873894,48
1590873897,48
1590873900,48
1590873903,48
1590873906,48
1590873909,48
1590873912,48
1590873915,48
1590873918,48
1590873921,48
1590873924,48
1590873927,48
1590873930,48
1590873933,48
1590873936,48
1590873939,48
1590873942,48
1590873945,48
1590873948,48
1590873951,48
1590873954,48
1590873957,48
1590873960,48
1590873963,48
1590873966,48
1590873969,48
1590873972,48
1590873975,48
1590873978,48
1590873981,48
1590873984,48
1590873987,48
1590873990,48
1590873993,48
1590873996,48
1590873999,48
1590874002,48
1590874005,48
1590874008,48
1590874011,48
1590874014,48
1590874017,48
1590874020,48
1590874023,48
1590874026,48
1590874029,48
1590874032,48
1590874035,48
1590874038,48
1590874041,48
1590874044,48
1590874047,48
1590874050,48
1590874053,48
1590874056,48
1590874059,48
1590874062,48
1590874065,48
1590874068,48
1590874071,48
1590874074,48
1590874077,48
1590874080,48
1590874083,48
1590874086,48
1590874089,48
1590874092,48
1590874095,48
1590874098,48
1590874101,48
1590874104,48
1590874107,48
1590874110,48
1590874113,48
1590874116,48
