t,value
1590873117,47
1590873120,51
1590873123,51
1590873126,53
1590873129,60
1590873132,60
1590873135,60
1590873138,60
1590873141,60
1590873144,60
1590873147,60
1590873150,60
1590873153,60
1590873156,60
1590873159,60
1590873162,60
1590873165,60
1590873168,60
1590873171,60
1590873174,57
1590873177,54
1590873180,54
1590873183,54
1590873186,54
1590873189,54
1590873192,54
1590873195,54
1590873198,54
1590873201,54
1590873204,54
1590873207,54
1590873210,54
1590873213,54
1590873216,54
1590873219,54
1590873222,54
1590873225,54
1590873228,54
1590873231,54
1590873234,54
1590873237,54
1590873240,54
1590873243,54
1590873246,54
1590873249,54
1590873252,54
1590873255,54
1590873258,54
1590873261,54
1590873264,54
1590873267,54
1590873270,54
1590873273,54
1590873276,54
1590873279,54
1590873282,54
1590873285,54
1590873288,54
1590873291,54
1590873294,54
1590873297,54
1590873300,54
1590873303,54
1590873306,54
1590873309,54
1590873312,54
1590873315,54
1590873318,54
1590873321,54
1590873324,54
1590873327,54
1590873330,54
1590873333,54
1590873336,54
1590873339,54
1590873342,54
1590873345,54
1590873348,54
1590873351,54
1590873354,54
1590873357,54
1590873360,54
1590873363,54
1590873366,54
1590873369,54
1590873372,54
1590873375,54
1590873378,54
1590873381,54
1590873384,54
1590873387,54
1590873390,54
1590873393,54
1590873396,54
1590873399,54
1590873402,54
1590873405,54
1590873408,54
1590873411,54
1590873414,54
1590873417,54
1590873420,54
1590873423,54
1590873426,54
1590873429,54
1590873432,54
1590873435,54
1590873438,54
1590873441,54
1590873444,54
1590873447,54
1590873450,54
1590873453,54
1590873456,54
1590873459,54
1590873462,54
1590873465,54
1590873468,54
1590873471,54
1590873474,54
1590873477,54
1590873480,54
1590873483,54
1590873486,54
1590873489,54
1590873492,54
1590873495,54
1590873498,54
1590873501,54
1590873504,54
1590873507,54
1590873510,54
1590873513,54
1590873516,54
1590873519,54
1590873522,54
1590873525,54
1590873528,54
1590873531,54
1590873534,54
1590873537,54
1590873540,54
1590873543,54
1590873546,54
1590873549,54
1590873552,54
1590873555,54
1590873558,54
1590873561,54
1590873564,54
1590873567,54
1590873570,54
1590873573,54
1590873576,54
1590873579,54
1590873582,54
1590873585,54
1590873588,54
1590873591,54
1590873594,54
1590873597,54
1590873600,54
1590873603,54
1590873606,54
1590873609,54
1590873612,54
1590873615,54
1590873618,54
1590873621,54
1590873624,54
1590873627,54
1590873630,54
1590873633,54
1590873636,54
1590873639,54
1590873642,54
1590873645,54
1590873648,54
1590873651,54
1590873654,54
1590873657,54
1590873660,54
1590873663,54
1590873666,54
1590873669,54
1590873672,54
1590873675,54
1590873678,54
1590873681,54
1590873684,54
1590873687,54
1590873690,54
1590873693,54
1590873696,54
1590873699,54
1590873702,54
1590873705,54
1590873708,54
1590873711,54
1590873714,54
1590873717,54
1590873720,54
1590873723,54
1590873726,54
1590873729,54
1590873732,54
1590873735,54
1590873738,54
1590873741,54
1590873744,54
1590873747,54
1590873750,54
1590873753,54
1590873756,54
1590873759,54
1590873762,54
1590873765,54
1590873768,54
1590873771,54
1590873774,54
1590873777,54
1590873780,54
1590873783,54
1590873786,54
1590873789,54
1590873792,54
1590873795,54
1590873798,54
1590873801,54
1590873804,54
1590873807,54
1590873810,54
1590873813,54
1590873816,54
1590873819,54
1590873822,54
1590873825,54
1590873828,54
1590873831,54
1590873834,54
1590873837,54
1590873840,54
1590873843,54
1590873846,54
1590873849,54
1590873852,54
1590873855,54
1590873858,54
1590873861,54
1590873864,54
1590873867,54
1590873870,54
1590873873,54
1590873876,54
1590873879,54
1590873882,54
1590873885,54
1590873888,54
1590873891,54
1590873894,54
1590873897,54
1590873900,54
1590873903,54
1590873906,54
1590873909,54
1590873912,54
1590873915,54
1590873918,54
1590873921,54
1590873924,54
1590873927,54
1590873930,54
1590873933,54
1590873936,54
1590873939,54
1590873942,54
1590873945,54
1590873948,54
1590873951,54
1590873954,54
1590873957,54
1590873960,54
1590873963,54
1590873966,54
1590873969,54
1590873972,54
1590873975,54
1590873978,54
1590873981,54
1590873984,54
1590873987,54
1590873990,54
1590873993,54
1590873996,54
1590873999,54
1590874002,54
1590874005,54
1590874008,54
1590874011,54
1590874014,54
1590874017,54
1590874020,54
1590874023,54
1590874026,54
1590874029,54
1590874032,54
1590874035,54
1590874038,54
1590874041,54
1590874044,54
1590874047,54
1590874050,54
1590874053,54
1590874056,54
1590874059,54
1590874062,54
1590874065,54
1590874068,54
1590874071,54
1590874074,54
1590874077,54
1590874080,54
1590874083,54
1590874086,54
1590874089,54
1590874092,54
1590874095,54
1590874098,54
1590874101,54
1590874104,54
1590874107,54
1590874110,54
1590874113,54
1590874116,54
